datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,321.40447,360.12597
2026-05-22T01:00:00.000000000,304.66984,357.94902
2026-05-22T02:00:00.000000000,350.36849,352.03718
2026-05-22T03:00:00.000000000,340.07478,346.138
2026-05-22T04:00:00.000000000,329.02854,338.87917
2026-05-22T05:00:00.000000000,306.74536,331.02384
2026-05-22T06:00:00.000000000,258.07016,326.40911
2026-05-22T07:00:00.000000000,247.10036,321.73003
2026-05-22T08:00:00.000000000,272.34332,318.14246
2026-05-22T09:00:00.000000000,309.70565,317.53601
2026-05-22T10:00:00.000000000,299.34633,314.37747
2026-05-22T11:00:00.000000000,298.83449,311.81807
2026-05-22T12:00:00.000000000,298.08207,307.19583
2026-05-22T13:00:00.000000000,296.25452,305.79947
2026-05-22T14:00:00.000000000,298.91208,304.78863
2026-05-22T15:00:00.000000000,264.85692,304.32642
2026-05-22T16:00:00.000000000,257.03797,301.72005
2026-05-22T17:00:00.000000000,263.99399,299.61338
2026-05-22T18:00:00.000000000,261.04263,299.41829
2026-05-22T19:00:00.000000000,253.77193,299.33991
2026-05-22T20:00:00.000000000,241.61652,302.40886
2026-05-22T21:00:00.000000000,239.96247,309.33422
2026-05-22T22:00:00.000000000,238.47817,313.14497
2026-05-22T23:00:00.000000000,243.59408,311.51354
2026-05-23T00:00:00.000000000,275.65377,355.14651
2026-05-23T01:00:00.000000000,308.498,354.94881
2026-05-23T02:00:00.000000000,363.25403,350.76117
2026-05-23T03:00:00.000000000,387.41024,346.01061
2026-05-23T04:00:00.000000000,392.01121,338.90098
2026-05-23T05:00:00.000000000,394.57343,330.82947
2026-05-23T06:00:00.000000000,386.6789,326.01958
2026-05-23T07:00:00.000000000,387.70216,321.79687
2026-05-23T08:00:00.000000000,351.86469,319.04135
2026-05-23T09:00:00.000000000,342.67384,319.58358
2026-05-23T10:00:00.000000000,338.15794,317.89885
2026-05-23T11:00:00.000000000,336.69822,316.17046
2026-05-23T12:00:00.000000000,331.18076,312.21744
2026-05-23T13:00:00.000000000,332.09383,311.71741
2026-05-23T14:00:00.000000000,302.654,310.25245
2026-05-23T15:00:00.000000000,243.24456,309.04015
2026-05-23T16:00:00.000000000,229.78423,304.93645
2026-05-23T17:00:00.000000000,214.25348,301.4444
2026-05-23T18:00:00.000000000,220.2498,299.84673
2026-05-23T19:00:00.000000000,214.73611,298.72677
2026-05-23T20:00:00.000000000,204.58395,301.15416
2026-05-23T21:00:00.000000000,211.68591,307.96785
2026-05-23T22:00:00.000000000,211.0057,312.7549
2026-05-23T23:00:00.000000000,208.22384,312.58241
2026-05-24T00:00:00.000000000,213.69742,355.57586
2026-05-24T01:00:00.000000000,224.13742,357.77322
2026-05-24T02:00:00.000000000,257.42002,356.04812
2026-05-24T03:00:00.000000000,285.72043,353.35244
2026-05-24T04:00:00.000000000,290.39078,346.91622
2026-05-24T05:00:00.000000000,276.70623,339.19953
2026-05-24T06:00:00.000000000,267.35198,334.3621
2026-05-24T07:00:00.000000000,237.42101,330.45201
2026-05-24T08:00:00.000000000,218.29446,328.85186
2026-05-24T09:00:00.000000000,216.84988,329.68464
2026-05-24T10:00:00.000000000,207.00706,329.26555
2026-05-24T11:00:00.000000000,208.25649,328.66389
2026-05-24T12:00:00.000000000,204.78943,325.48813
2026-05-24T13:00:00.000000000,191.56139,326.08889
2026-05-24T14:00:00.000000000,183.04144,324.57502
2026-05-24T15:00:00.000000000,178.78668,323.49452
2026-05-24T16:00:00.000000000,189.86252,319.02567
2026-05-24T17:00:00.000000000,172.54352,314.88437
2026-05-24T18:00:00.000000000,150.77928,311.76669
2026-05-24T19:00:00.000000000,129.84199,309.13459
2026-05-24T20:00:00.000000000,125.96786,310.43396
2026-05-24T21:00:00.000000000,130.41532,316.73816
2026-05-24T22:00:00.000000000,132.05553,322.03097
2026-05-24T23:00:00.000000000,138.7206,322.54849
2026-05-25T00:00:00.000000000,162.40833,349.26761
2026-05-25T01:00:00.000000000,181.84604,349.55204
2026-05-25T02:00:00.000000000,225.67291,345.6978
2026-05-25T03:00:00.000000000,300.43792,341.29893
2026-05-25T04:00:00.000000000,312.15385,334.60334
2026-05-25T05:00:00.000000000,322.42359,327.09142
2026-05-25T06:00:00.000000000,332.58501,322.66901
2026-05-25T07:00:00.000000000,334.95203,318.72245
2026-05-25T08:00:00.000000000,341.96086,316.0007
2026-05-25T09:00:00.000000000,339.69787,316.6258
2026-05-25T10:00:00.000000000,340.57169,314.72303
2026-05-25T11:00:00.000000000,339.22781,312.65367
2026-05-25T12:00:00.000000000,404.73423,308.4688
2026-05-25T13:00:00.000000000,403.01399,307.75215
2026-05-25T14:00:00.000000000,384.2063,306.13454
2026-05-25T15:00:00.000000000,388.92329,304.96496
2026-05-25T16:00:00.000000000,386.04591,301.02384
2026-05-25T17:00:00.000000000,390.7139,297.75191
2026-05-25T18:00:00.000000000,386.48118,296.25886
2026-05-25T19:00:00.000000000,387.32027,295.53846
2026-05-25T20:00:00.000000000,379.51511,298.2
2026-05-25T21:00:00.000000000,370.05359,305.07792
2026-05-25T22:00:00.000000000,363.73168,309.92825
2026-05-25T23:00:00.000000000,392.85029,309.95318
2026-05-26T00:00:00.000000000,380.04003,331.1089
2026-05-26T01:00:00.000000000,389.89833,330.96169
2026-05-26T02:00:00.000000000,364.25969,327.0348
