datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,370.68349,287.04153
2026-05-22T01:00:00.000000000,352.20788,277.61055
2026-05-22T02:00:00.000000000,402.13896,282.75422
2026-05-22T03:00:00.000000000,393.3404,275.54579
2026-05-22T04:00:00.000000000,378.6995,278.06099
2026-05-22T05:00:00.000000000,352.1113,282.13462
2026-05-22T06:00:00.000000000,302.35595,284.628
2026-05-22T07:00:00.000000000,290.50484,291.80881
2026-05-22T08:00:00.000000000,318.46594,286.49381
2026-05-22T09:00:00.000000000,360.27844,284.12741
2026-05-22T10:00:00.000000000,348.43058,290.91481
2026-05-22T11:00:00.000000000,348.15166,280.18949
2026-05-22T12:00:00.000000000,347.67705,281.46219
2026-05-22T13:00:00.000000000,346.17771,287.23152
2026-05-22T14:00:00.000000000,346.36741,289.56793
2026-05-22T15:00:00.000000000,312.21617,298.93537
2026-05-22T16:00:00.000000000,303.30752,300.24711
2026-05-22T17:00:00.000000000,311.26802,294.32307
2026-05-22T18:00:00.000000000,307.55497,298.19862
2026-05-22T19:00:00.000000000,299.57383,303.07903
2026-05-22T20:00:00.000000000,285.76767,299.90057
2026-05-22T21:00:00.000000000,283.99861,309.48504
2026-05-22T22:00:00.000000000,281.9009,296.55658
2026-05-22T23:00:00.000000000,286.78083,296.87696
2026-05-23T00:00:00.000000000,320.06585,270.95555
2026-05-23T01:00:00.000000000,355.12716,265.37641
2026-05-23T02:00:00.000000000,416.11276,264.26147
2026-05-23T03:00:00.000000000,445.51388,262.34987
2026-05-23T04:00:00.000000000,450.64984,260.05142
2026-05-23T05:00:00.000000000,452.83153,265.43858
2026-05-23T06:00:00.000000000,445.50812,267.29476
2026-05-23T07:00:00.000000000,447.11765,277.1944
2026-05-23T08:00:00.000000000,411.73102,273.91012
2026-05-23T09:00:00.000000000,401.81209,268.64039
2026-05-23T10:00:00.000000000,396.22278,278.56367
2026-05-23T11:00:00.000000000,393.27473,268.08317
2026-05-23T12:00:00.000000000,387.31675,274.82793
2026-05-23T13:00:00.000000000,389.20412,277.75867
2026-05-23T14:00:00.000000000,352.82329,275.04189
