datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-21T06:00:00.000000000,190.40083,206.69109
2026-05-21T07:00:00.000000000,182.06043,208.10853
2026-05-21T08:00:00.000000000,181.92625,209.95823
2026-05-21T09:00:00.000000000,183.38632,210.05748
2026-05-21T10:00:00.000000000,188.03083,209.05098
2026-05-21T11:00:00.000000000,184.885,209.4665
2026-05-21T12:00:00.000000000,186.35195,208.71425
2026-05-21T13:00:00.000000000,195.90797,208.87709
2026-05-21T14:00:00.000000000,193.85448,208.62733
2026-05-21T15:00:00.000000000,191.70853,206.75999
2026-05-21T16:00:00.000000000,189.26135,205.26391
2026-05-21T17:00:00.000000000,194.62915,204.21405
2026-05-21T18:00:00.000000000,192.88555,204.66982
2026-05-21T19:00:00.000000000,191.16051,206.30976
2026-05-21T20:00:00.000000000,194.69401,208.0597
2026-05-21T21:00:00.000000000,198.73704,209.52915
2026-05-21T22:00:00.000000000,197.13148,212.67373
2026-05-21T23:00:00.000000000,191.90399,211.61569
2026-05-22T00:00:00.000000000,193.32522,208.09595
2026-05-22T01:00:00.000000000,194.67714,207.42294
2026-05-22T02:00:00.000000000,191.12648,204.82583
2026-05-22T03:00:00.000000000,189.36952,203.89686
2026-05-22T04:00:00.000000000,180.56096,203.22118
2026-05-22T05:00:00.000000000,176.84976,204.63382
2026-05-22T06:00:00.000000000,167.89093,203.90403
2026-05-22T07:00:00.000000000,165.86194,205.38854
2026-05-22T08:00:00.000000000,164.32608,207.31725
2026-05-22T09:00:00.000000000,166.62732,207.50105
2026-05-22T10:00:00.000000000,172.75442,206.61014
2026-05-22T11:00:00.000000000,182.97185,207.13118
2026-05-22T12:00:00.000000000,187.50039,206.51093
2026-05-22T13:00:00.000000000,187.72545,206.91697
2026-05-22T14:00:00.000000000,186.42259,206.57916
2026-05-22T15:00:00.000000000,179.71637,204.81778
2026-05-22T16:00:00.000000000,177.59183,203.5002
2026-05-22T17:00:00.000000000,177.89627,202.62831
2026-05-22T18:00:00.000000000,178.76572,203.15759
2026-05-22T19:00:00.000000000,179.50455,204.76401
2026-05-22T20:00:00.000000000,180.12983,206.50086
2026-05-22T21:00:00.000000000,186.25768,207.92181
2026-05-22T22:00:00.000000000,192.97056,210.79708
2026-05-22T23:00:00.000000000,195.15983,209.69045
2026-05-23T00:00:00.000000000,192.17005,206.2104
2026-05-23T01:00:00.000000000,196.14226,205.47643
2026-05-23T02:00:00.000000000,195.1386,202.83411
2026-05-23T03:00:00.000000000,190.89587,201.84159
2026-05-23T04:00:00.000000000,181.61357,201.12688
2026-05-23T05:00:00.000000000,165.82982,202.52516
2026-05-23T06:00:00.000000000,162.95783,202.65049
2026-05-23T07:00:00.000000000,159.09967,204.242
2026-05-23T08:00:00.000000000,152.58304,206.29915
2026-05-23T09:00:00.000000000,150.46592,206.62704
2026-05-23T10:00:00.000000000,152.1972,205.84351
2026-05-23T11:00:00.000000000,164.00771,206.47854
2026-05-23T12:00:00.000000000,167.33931,205.98313
2026-05-23T13:00:00.000000000,165.11351,206.54003
2026-05-23T14:00:00.000000000,168.35385,206.22972
2026-05-23T15:00:00.000000000,163.86234,204.55874
2026-05-23T16:00:00.000000000,165.62195,203.3348
2026-05-23T17:00:00.000000000,161.27322,202.55606
2026-05-23T18:00:00.000000000,163.07105,203.10901
2026-05-23T19:00:00.000000000,163.16799,204.69688
2026-05-23T20:00:00.000000000,164.97546,206.39361
2026-05-23T21:00:00.000000000,163.76673,207.75791
2026-05-23T22:00:00.000000000,167.90047,210.48869
2026-05-23T23:00:00.000000000,172.62112,209.30415
2026-05-24T00:00:00.000000000,172.22059,205.74477
2026-05-24T01:00:00.000000000,170.8128,204.87148
2026-05-24T02:00:00.000000000,167.88204,202.10409
2026-05-24T03:00:00.000000000,169.99781,200.97546
2026-05-24T04:00:00.000000000,163.82364,200.14832
2026-05-24T05:00:00.000000000,174.63002,201.50926
2026-05-24T06:00:00.000000000,177.20301,198.77747
2026-05-24T07:00:00.000000000,160.17926,200.48747
2026-05-24T08:00:00.000000000,159.29983,202.68933
2026-05-24T09:00:00.000000000,161.06269,203.16768
2026-05-24T10:00:00.000000000,163.30453,202.55706
2026-05-24T11:00:00.000000000,160.83564,203.35859
2026-05-24T12:00:00.000000000,167.96684,203.06712
2026-05-24T13:00:00.000000000,162.73786,203.97654
2026-05-24T14:00:00.000000000,169.72434,203.55838
2026-05-24T15:00:00.000000000,171.96548,202.0395
2026-05-24T16:00:00.000000000,169.70888,201.07578
2026-05-24T17:00:00.000000000,170.31649,200.54951
2026-05-24T18:00:00.000000000,168.0321,201.20503
2026-05-24T19:00:00.000000000,174.08474,202.74582
2026-05-24T20:00:00.000000000,173.43543,204.41771
2026-05-24T21:00:00.000000000,171.77945,205.70524
2026-05-24T22:00:00.000000000,169.86662,208.04058
2026-05-24T23:00:00.000000000,175.42999,206.77039
2026-05-25T00:00:00.000000000,177.50035,203.23491
2026-05-25T01:00:00.000000000,173.96304,202.24295
2026-05-25T02:00:00.000000000,175.64684,199.3839
2026-05-25T03:00:00.000000000,171.8258,198.13693
2026-05-25T04:00:00.000000000,170.51507,197.2248
2026-05-25T05:00:00.000000000,151.39097,198.55153
2026-05-25T06:00:00.000000000,146.3829,196.6202
2026-05-25T07:00:00.000000000,147.62378,198.33325
2026-05-25T08:00:00.000000000,150.68522,200.55412
2026-05-25T09:00:00.000000000,150.51873,201.04533
2026-05-25T10:00:00.000000000,150.55341,200.49389
2026-05-25T11:00:00.000000000,162.13192,201.3458
2026-05-25T12:00:00.000000000,165.64836,201.12507
2026-05-25T13:00:00.000000000,172.0896,202.20265
2026-05-25T14:00:00.000000000,174.3894,201.6773
2026-05-25T15:00:00.000000000,170.85213,200.20998
2026-05-25T16:00:00.000000000,162.83511,199.3882
2026-05-25T17:00:00.000000000,163.20068,198.99843
2026-05-25T18:00:00.000000000,166.68002,199.71975
2026-05-25T19:00:00.000000000,169.93967,201.23481
2026-05-25T20:00:00.000000000,184.92293,202.91549
2026-05-25T21:00:00.000000000,182.57014,204.18453
2026-05-25T22:00:00.000000000,182.41478,206.30702
2026-05-25T23:00:00.000000000,193.57984,205.02766
2026-05-26T00:00:00.000000000,194.24206,201.57238
2026-05-26T01:00:00.000000000,187.96828,200.59239
2026-05-26T02:00:00.000000000,185.9749,197.75264
2026-05-26T03:00:00.000000000,184.7579,196.51528
2026-05-26T04:00:00.000000000,179.99413,195.62063
2026-05-26T05:00:00.000000000,158.73133,196.94717
2026-05-26T06:00:00.000000000,163.64119,197.97018
2026-05-26T07:00:00.000000000,169.84974,199.85218
2026-05-26T08:00:00.000000000,176.68029,202.23086
2026-05-26T09:00:00.000000000,175.16006,202.90386
2026-05-26T10:00:00.000000000,172.5843,202.41245
2026-05-26T11:00:00.000000000,182.46347,203.34557
2026-05-26T12:00:00.000000000,184.1319,203.19429
2026-05-26T13:00:00.000000000,179.82765,204.23984
2026-05-26T14:00:00.000000000,180.67881,203.90195
2026-05-26T15:00:00.000000000,173.92725,202.48211
2026-05-26T16:00:00.000000000,175.28159,201.58724
2026-05-26T17:00:00.000000000,175.18725,201.12428
2026-05-26T18:00:00.000000000,177.43238,201.78386
2026-05-26T19:00:00.000000000,177.39797,203.31271
2026-05-26T20:00:00.000000000,182.73371,204.93088
2026-05-26T21:00:00.000000000,191.26299,206.14932
2026-05-26T22:00:00.000000000,199.24038,208.37527
2026-05-26T23:00:00.000000000,197.28011,207.00329
2026-05-27T00:00:00.000000000,197.11482,203.32355
2026-05-27T01:00:00.000000000,196.72178,202.13347
2026-05-27T02:00:00.000000000,193.46045,199.09829
2026-05-27T03:00:00.000000000,188.18692,197.6583
2026-05-27T04:00:00.000000000,180.55851,196.58024
2026-05-27T05:00:00.000000000,175.17729,197.85055
2026-05-27T06:00:00.000000000,170.26039,198.49696
2026-05-27T07:00:00.000000000,163.04281,200.57088
2026-05-27T08:00:00.000000000,154.96017,203.11784
2026-05-27T09:00:00.000000000,155.67454,203.97895
2026-05-27T10:00:00.000000000,173.25311,203.57289
2026-05-27T11:00:00.000000000,176.16658,204.60421
2026-05-27T12:00:00.000000000,184.07906,204.54718
2026-05-27T13:00:00.000000000,189.07705,205.6196
2026-05-27T14:00:00.000000000,195.86842,205.42922
2026-05-27T15:00:00.000000000,200.25293,204.07586
2026-05-27T16:00:00.000000000,200.85562,203.15911
