datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-21T06:00:00.000000000,259.46041,295.60668
2026-05-21T07:00:00.000000000,248.75465,296.39609
2026-05-21T08:00:00.000000000,248.55216,292.2651
2026-05-21T09:00:00.000000000,250.4434,296.46233
2026-05-21T10:00:00.000000000,256.46657,290.52453
2026-05-21T11:00:00.000000000,252.60831,286.84306
2026-05-21T12:00:00.000000000,254.20561,290.26152
2026-05-21T13:00:00.000000000,266.0037,288.2308
2026-05-21T14:00:00.000000000,263.07511,287.93421
2026-05-21T15:00:00.000000000,260.00244,288.27451
2026-05-21T16:00:00.000000000,256.68105,288.91575
2026-05-21T17:00:00.000000000,263.41451,290.16067
2026-05-21T18:00:00.000000000,261.25911,291.32646
2026-05-21T19:00:00.000000000,259.05842,287.63731
2026-05-21T20:00:00.000000000,263.93402,288.58151
2026-05-21T21:00:00.000000000,269.44789,287.27649
2026-05-21T22:00:00.000000000,267.56602,291.42669
2026-05-21T23:00:00.000000000,261.26921,294.53586
2026-05-22T00:00:00.000000000,263.6956,292.86982
2026-05-22T01:00:00.000000000,265.6662,296.10938
2026-05-22T02:00:00.000000000,261.05033,293.79048
2026-05-22T03:00:00.000000000,258.56615,291.80838
2026-05-22T04:00:00.000000000,246.94494,293.31728
2026-05-22T05:00:00.000000000,241.99027,293.84102
2026-05-22T06:00:00.000000000,230.43317,295.637
2026-05-22T07:00:00.000000000,227.56631,293.85332
2026-05-22T08:00:00.000000000,225.36243,289.17664
2026-05-22T09:00:00.000000000,228.29138,294.11226
2026-05-22T10:00:00.000000000,236.13093,287.78191
2026-05-22T11:00:00.000000000,249.26392,284.18358
2026-05-22T12:00:00.000000000,254.65004,286.20453
2026-05-22T13:00:00.000000000,254.39297,284.04112
2026-05-22T14:00:00.000000000,252.27782,284.15975
2026-05-22T15:00:00.000000000,244.27344,286.37038
2026-05-22T16:00:00.000000000,240.71403,288.94717
2026-05-22T17:00:00.000000000,241.0943,290.74071
2026-05-22T18:00:00.000000000,242.49494,290.92332
2026-05-22T19:00:00.000000000,243.74689,288.58571
2026-05-22T20:00:00.000000000,245.012,288.32389
2026-05-22T21:00:00.000000000,253.24247,288.5438
2026-05-22T22:00:00.000000000,262.2075,292.04113
2026-05-22T23:00:00.000000000,265.58295,290.98003
2026-05-23T00:00:00.000000000,262.32492,290.15123
2026-05-23T01:00:00.000000000,267.36646,296.15726
2026-05-23T02:00:00.000000000,265.9502,293.46037
2026-05-23T03:00:00.000000000,260.09421,292.52567
2026-05-23T04:00:00.000000000,247.76657,291.89878
2026-05-23T05:00:00.000000000,227.64706,289.87651
2026-05-23T06:00:00.000000000,223.75613,290.50946
2026-05-23T07:00:00.000000000,218.72159,290.3023
2026-05-23T08:00:00.000000000,210.29031,286.63247
2026-05-23T09:00:00.000000000,207.42937,291.65151
2026-05-23T10:00:00.000000000,209.66431,286.31921
2026-05-23T11:00:00.000000000,224.73935,283.04966
2026-05-23T12:00:00.000000000,228.80803,286.02382
2026-05-23T13:00:00.000000000,226.24195,283.8343
2026-05-23T14:00:00.000000000,230.42055,282.08276
2026-05-23T15:00:00.000000000,224.42318,284.91285
2026-05-23T16:00:00.000000000,226.73207,287.41314
2026-05-23T17:00:00.000000000,221.11429,287.80365
2026-05-23T18:00:00.000000000,223.59521,287.8989
2026-05-23T19:00:00.000000000,223.9211,285.77072
2026-05-23T20:00:00.000000000,226.36411,284.78396
2026-05-23T21:00:00.000000000,224.95626,284.22948
2026-05-23T22:00:00.000000000,230.45651,287.87647
2026-05-23T23:00:00.000000000,236.6543,287.77006
2026-05-24T00:00:00.000000000,236.14602,287.50944
2026-05-24T01:00:00.000000000,234.28398,291.63378
2026-05-24T02:00:00.000000000,230.52865,289.89232
2026-05-24T03:00:00.000000000,232.92241,288.85695
2026-05-24T04:00:00.000000000,224.73434,289.4652
2026-05-24T05:00:00.000000000,238.14669,288.2176
2026-05-24T06:00:00.000000000,241.37267,287.95146
2026-05-24T07:00:00.000000000,219.53568,287.03822
2026-05-24T08:00:00.000000000,218.47955,283.22987
2026-05-24T09:00:00.000000000,220.48176,288.14178
2026-05-24T10:00:00.000000000,223.33833,282.93795
2026-05-24T11:00:00.000000000,220.09609,280.35902
2026-05-24T12:00:00.000000000,229.21033,283.43597
2026-05-24T13:00:00.000000000,222.98511,281.26283
2026-05-24T14:00:00.000000000,231.92634,280.79347
2026-05-24T15:00:00.000000000,234.82804,283.20068
2026-05-24T16:00:00.000000000,231.93546,284.50365
2026-05-24T17:00:00.000000000,232.77182,285.16464
2026-05-24T18:00:00.000000000,229.7777,285.24765
2026-05-24T19:00:00.000000000,237.55064,282.84859
2026-05-24T20:00:00.000000000,236.93383,283.14752
2026-05-24T21:00:00.000000000,235.07008,282.22722
2026-05-24T22:00:00.000000000,233.0256,286.0085
2026-05-24T23:00:00.000000000,240.40487,287.09621
2026-05-25T00:00:00.000000000,243.19838,286.06705
2026-05-25T01:00:00.000000000,238.73489,290.10859
2026-05-25T02:00:00.000000000,240.77664,288.30006
2026-05-25T03:00:00.000000000,235.68993,287.02107
2026-05-25T04:00:00.000000000,233.70978,287.42467
2026-05-25T05:00:00.000000000,209.58383,286.23559
2026-05-25T06:00:00.000000000,203.20214,293.18067
2026-05-25T07:00:00.000000000,204.66135,291.59605
2026-05-25T08:00:00.000000000,208.58536,287.27239
2026-05-25T09:00:00.000000000,208.3788,291.40263
2026-05-25T10:00:00.000000000,208.53905,284.28649
2026-05-25T11:00:00.000000000,223.19562,281.04357
2026-05-25T12:00:00.000000000,227.7468,284.13413
2026-05-25T13:00:00.000000000,235.72204,281.48504
2026-05-25T14:00:00.000000000,238.65341,282.22942
2026-05-25T15:00:00.000000000,233.7789,284.54068
2026-05-25T16:00:00.000000000,222.95005,285.94281
2026-05-25T17:00:00.000000000,223.00452,287.65296
2026-05-25T18:00:00.000000000,227.07416,288.83445
2026-05-25T19:00:00.000000000,231.29533,286.00299
2026-05-25T20:00:00.000000000,249.90382,286.63222
2026-05-25T21:00:00.000000000,247.40163,287.00153
2026-05-25T22:00:00.000000000,247.98973,290.13846
2026-05-25T23:00:00.000000000,263.05526,289.98893
2026-05-26T00:00:00.000000000,264.88788,289.74111
2026-05-26T01:00:00.000000000,257.21514,294.71213
2026-05-26T02:00:00.000000000,254.58723,291.05633
2026-05-26T03:00:00.000000000,252.63851,290.70858
2026-05-26T04:00:00.000000000,246.10426,289.93338
2026-05-26T05:00:00.000000000,218.93762,289.22229
2026-05-26T06:00:00.000000000,224.9156,294.97482
2026-05-26T07:00:00.000000000,232.64317,293.50407
2026-05-26T08:00:00.000000000,241.12856,289.75502
2026-05-26T09:00:00.000000000,239.29837,294.55743
2026-05-26T10:00:00.000000000,236.29306,288.51239
2026-05-26T11:00:00.000000000,248.90422,284.93606
2026-05-26T12:00:00.000000000,250.61073,287.26188
2026-05-26T13:00:00.000000000,244.67813,285.17996
2026-05-26T14:00:00.000000000,245.39205,284.97958
2026-05-26T15:00:00.000000000,236.53851,287.05519
2026-05-26T16:00:00.000000000,238.18976,289.06852
2026-05-26T17:00:00.000000000,238.2169,290.56616
2026-05-26T18:00:00.000000000,241.21233,290.75251
2026-05-26T19:00:00.000000000,241.54969,288.07323
2026-05-26T20:00:00.000000000,248.4831,288.27248
2026-05-26T21:00:00.000000000,259.77814,288.33188
2026-05-26T22:00:00.000000000,270.42354,291.94605
2026-05-26T23:00:00.000000000,268.59494,291.52625
2026-05-27T00:00:00.000000000,268.87137,290.50951
2026-05-27T01:00:00.000000000,268.36589,295.68769
2026-05-27T02:00:00.000000000,263.93524,293.07156
2026-05-27T03:00:00.000000000,256.81652,292.02439
2026-05-27T04:00:00.000000000,246.73645,291.73437
2026-05-27T05:00:00.000000000,239.67804,290.35611
2026-05-27T06:00:00.000000000,233.03757,296.97166
2026-05-27T07:00:00.000000000,223.83158,295.4586
2026-05-27T08:00:00.000000000,213.83244,291.52153
2026-05-27T09:00:00.000000000,214.83944,296.34238
2026-05-27T10:00:00.000000000,237.29228,290.30844
2026-05-27T11:00:00.000000000,241.28428,286.61061
2026-05-27T12:00:00.000000000,251.64986,288.75144
2026-05-27T13:00:00.000000000,258.11803,286.70952
2026-05-27T14:00:00.000000000,265.93386,286.59639
2026-05-27T15:00:00.000000000,271.32669,288.55614
2026-05-27T16:00:00.000000000,271.96863,290.701
