datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,151.35334,247.51755
2026-05-22T01:00:00.000000000,175.66736,286.53883
2026-05-22T02:00:00.000000000,299.16272,380.37235
2026-05-22T03:00:00.000000000,409.9145,481.9753
2026-05-22T04:00:00.000000000,410.14155,523.36031
2026-05-22T05:00:00.000000000,403.06832,516.04068
2026-05-22T06:00:00.000000000,412.33354,504.82941
2026-05-22T07:00:00.000000000,424.63228,500.41985
2026-05-22T08:00:00.000000000,411.60052,496.10479
2026-05-22T09:00:00.000000000,423.16706,490.55652
2026-05-22T10:00:00.000000000,431.24218,493.74439
2026-05-22T11:00:00.000000000,401.01817,518.495
2026-05-22T12:00:00.000000000,381.58507,522.13278
2026-05-22T13:00:00.000000000,401.03291,449.88813
2026-05-22T14:00:00.000000000,374.43453,327.19497
2026-05-22T15:00:00.000000000,278.73187,234.279
2026-05-22T16:00:00.000000000,190.51157,211.56965
2026-05-22T17:00:00.000000000,161.36875,221.70697
2026-05-22T18:00:00.000000000,157.00065,221.78685
2026-05-22T19:00:00.000000000,159.36931,219.31854
2026-05-22T20:00:00.000000000,158.01551,227.89676
2026-05-22T21:00:00.000000000,159.14479,241.90005
2026-05-22T22:00:00.000000000,172.89248,247.2627
2026-05-22T23:00:00.000000000,201.1477,245.88081
2026-05-23T00:00:00.000000000,230.03382,292.99705
2026-05-23T01:00:00.000000000,287.22096,344.84464
2026-05-23T02:00:00.000000000,430.96447,420.83202
2026-05-23T03:00:00.000000000,583.20616,490.639
2026-05-23T04:00:00.000000000,601.38195,516.67286
2026-05-23T05:00:00.000000000,597.80681,511.15422
2026-05-23T06:00:00.000000000,588.81661,502.3951
2026-05-23T07:00:00.000000000,576.30722,496.88591
2026-05-23T08:00:00.000000000,562.48381,492.64905
2026-05-23T09:00:00.000000000,565.43257,489.54115
2026-05-23T10:00:00.000000000,559.30844,492.88895
2026-05-23T11:00:00.000000000,553.179,510.5857
2026-05-23T12:00:00.000000000,549.47556,511.61288
2026-05-23T13:00:00.000000000,524.51598,453.50366
2026-05-23T14:00:00.000000000,376.69707,351.59519
2026-05-23T15:00:00.000000000,264.53063,264.2914
2026-05-23T16:00:00.000000000,181.2126,229.49545
2026-05-23T17:00:00.000000000,139.58712,230.22376
2026-05-23T18:00:00.000000000,121.71947,235.43118
2026-05-23T19:00:00.000000000,148.39883,241.47121
2026-05-23T20:00:00.000000000,135.8828,249.30028
2026-05-23T21:00:00.000000000,133.71861,253.84277
2026-05-23T22:00:00.000000000,129.10445,253.91026
2026-05-23T23:00:00.000000000,159.30761,262.79434
2026-05-24T00:00:00.000000000,185.20649,297.888
2026-05-24T01:00:00.000000000,246.53657,344.87877
2026-05-24T02:00:00.000000000,389.06767,421.10289
2026-05-24T03:00:00.000000000,474.75547,492.86363
2026-05-24T04:00:00.000000000,486.49286,516.74282
2026-05-24T05:00:00.000000000,462.5848,506.45504
2026-05-24T06:00:00.000000000,452.51864,494.59747
2026-05-24T07:00:00.000000000,458.65768,489.07341
2026-05-24T08:00:00.000000000,458.91734,485.17221
2026-05-24T09:00:00.000000000,455.63987,480.64275
2026-05-24T10:00:00.000000000,456.34372,483.31003
2026-05-24T11:00:00.000000000,475.68849,504.21952
2026-05-24T12:00:00.000000000,512.31516,510.78405
2026-05-24T13:00:00.000000000,520.5245,455.05136
2026-05-24T14:00:00.000000000,369.49482,351.49153
2026-05-24T15:00:00.000000000,258.05761,263.74545
2026-05-24T16:00:00.000000000,207.47904,232.40773
2026-05-24T17:00:00.000000000,166.88045,236.72651
2026-05-24T18:00:00.000000000,146.12486,243.09306
2026-05-24T19:00:00.000000000,131.68597,248.46309
2026-05-24T20:00:00.000000000,126.36852,256.86695
2026-05-24T21:00:00.000000000,129.94546,264.16003
