datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,192.53084,303.38161
2026-05-22T01:00:00.000000000,219.88414,373.31902
2026-05-22T02:00:00.000000000,348.04309,434.4602
2026-05-22T03:00:00.000000000,463.6421,477.08344
2026-05-22T04:00:00.000000000,463.3507,519.4592
2026-05-22T05:00:00.000000000,454.85866,558.63866
2026-05-22T06:00:00.000000000,464.7302,588.873
2026-05-22T07:00:00.000000000,479.2631,584.78244
2026-05-22T08:00:00.000000000,464.18058,561.15873
2026-05-22T09:00:00.000000000,477.18235,534.43585
2026-05-22T10:00:00.000000000,486.35874,525.76216
2026-05-22T11:00:00.000000000,453.10589,523.9801
2026-05-22T12:00:00.000000000,433.48453,502.97893
2026-05-22T13:00:00.000000000,457.08733,439.03535
2026-05-22T14:00:00.000000000,429.08016,335.92445
2026-05-22T15:00:00.000000000,325.95008,256.7153
2026-05-22T16:00:00.000000000,230.60558,228.31073
2026-05-22T17:00:00.000000000,199.73615,245.20108
2026-05-22T18:00:00.000000000,195.63058,257.55445
2026-05-22T19:00:00.000000000,197.60956,252.2164
2026-05-22T20:00:00.000000000,196.15369,239.53886
2026-05-22T21:00:00.000000000,199.51224,232.83934
2026-05-22T22:00:00.000000000,217.28316,247.73618
2026-05-22T23:00:00.000000000,249.19805,276.33568
2026-05-23T00:00:00.000000000,282.9607,344.61486
2026-05-23T01:00:00.000000000,345.50219,400.05583
2026-05-23T02:00:00.000000000,496.09005,448.40004
2026-05-23T03:00:00.000000000,655.49185,481.38686
2026-05-23T04:00:00.000000000,673.11008,519.76845
2026-05-23T05:00:00.000000000,667.8485,559.29902
2026-05-23T06:00:00.000000000,657.93757,588.32341
2026-05-23T07:00:00.000000000,644.00809,584.2162
2026-05-23T08:00:00.000000000,628.82648,561.69048
2026-05-23T09:00:00.000000000,632.29676,537.58235
2026-05-23T10:00:00.000000000,624.91368,530.65915
2026-05-23T11:00:00.000000000,619.79996,530.66822
2026-05-23T12:00:00.000000000,614.35104,512.52936
2026-05-23T13:00:00.000000000,587.53279,449.94415
2026-05-23T14:00:00.000000000,432.11945,348.75715
2026-05-23T15:00:00.000000000,317.2505,276.01748
2026-05-23T16:00:00.000000000,225.65628,256.59
2026-05-23T17:00:00.000000000,179.67294,280.94001
2026-05-23T18:00:00.000000000,159.05889,300.06249
2026-05-23T19:00:00.000000000,188.27061,297.75502
2026-05-23T20:00:00.000000000,172.33895,284.81578
2026-05-23T21:00:00.000000000,169.57888,276.66644
2026-05-23T22:00:00.000000000,165.04062,290.66717
2026-05-23T23:00:00.000000000,199.11557,316.39751
2026-05-24T00:00:00.000000000,229.92751,386.21882
2026-05-24T01:00:00.000000000,298.26237,433.92566
2026-05-24T02:00:00.000000000,448.72094,470.46228
2026-05-24T03:00:00.000000000,537.31857,489.66248
2026-05-24T04:00:00.000000000,553.37687,514.32705
2026-05-24T05:00:00.000000000,521.6241,546.12496
2026-05-24T06:00:00.000000000,509.50454,572.70882
2026-05-24T07:00:00.000000000,516.03121,571.49279
2026-05-24T08:00:00.000000000,516.64927,549.66431
2026-05-24T09:00:00.000000000,513.82926,524.81559
2026-05-24T10:00:00.000000000,515.6598,517.62155
2026-05-24T11:00:00.000000000,536.61099,519.62716
2026-05-24T12:00:00.000000000,577.30194,507.43935
2026-05-24T13:00:00.000000000,586.33828,456.95419
2026-05-24T14:00:00.000000000,427.17572,376.60908
2026-05-24T15:00:00.000000000,309.3379,321.26069
2026-05-24T16:00:00.000000000,253.03512,306.37746
2026-05-24T17:00:00.000000000,209.9463,323.75785
2026-05-24T18:00:00.000000000,185.97411,336.2584
2026-05-24T19:00:00.000000000,169.59851,333.57547
2026-05-24T20:00:00.000000000,162.42949,325.44984
2026-05-24T21:00:00.000000000,165.3582,322.22836
2026-05-24T22:00:00.000000000,165.1154,334.95869
2026-05-24T23:00:00.000000000,179.13103,356.037
2026-05-25T00:00:00.000000000,214.26309,400.20327
2026-05-25T01:00:00.000000000,299.65712,441.49056
2026-05-25T02:00:00.000000000,411.27348,472.10492
2026-05-25T03:00:00.000000000,518.63009,488.25408
2026-05-25T04:00:00.000000000,524.53286,513.68575
2026-05-25T05:00:00.000000000,514.68652,548.96808
2026-05-25T06:00:00.000000000,529.38366,576.09875
2026-05-25T07:00:00.000000000,570.56269,575.58615
2026-05-25T08:00:00.000000000,556.32241,554.7993
2026-05-25T09:00:00.000000000,531.85281,532.32665
2026-05-25T10:00:00.000000000,527.42359,527.45978
2026-05-25T11:00:00.000000000,524.10181,535.5848
2026-05-25T12:00:00.000000000,544.00788,532.98166
2026-05-25T13:00:00.000000000,572.70903,488.95901
2026-05-25T14:00:00.000000000,437.13056,410.8888
2026-05-25T15:00:00.000000000,278.51013,354.13384
2026-05-25T16:00:00.000000000,238.46964,338.19834
2026-05-25T17:00:00.000000000,237.46434,353.66559
2026-05-25T18:00:00.000000000,274.29288,362.48279
2026-05-25T19:00:00.000000000,287.44219,355.16872
2026-05-25T20:00:00.000000000,375.86096,343.00259
2026-05-25T21:00:00.000000000,422.25966,336.79233
2026-05-25T22:00:00.000000000,367.65449,347.80889
2026-05-25T23:00:00.000000000,410.07105,367.55958
2026-05-26T00:00:00.000000000,468.42253,404.18757
2026-05-26T01:00:00.000000000,520.73074,450.67661
2026-05-26T02:00:00.000000000,532.19327,484.17801
2026-05-26T03:00:00.000000000,530.8238,498.87087
2026-05-26T04:00:00.000000000,607.20285,520.56981
2026-05-26T05:00:00.000000000,601.02529,552.02908
2026-05-26T06:00:00.000000000,587.37634,577.0097
2026-05-26T07:00:00.000000000,559.40353,578.13407
2026-05-26T08:00:00.000000000,524.19824,560.42992
2026-05-26T09:00:00.000000000,496.84709,539.86774
2026-05-26T10:00:00.000000000,531.59823,534.94711
2026-05-26T11:00:00.000000000,571.52397,544.57523
2026-05-26T12:00:00.000000000,581.00496,544.86412
2026-05-26T13:00:00.000000000,554.41955,500.92085
2026-05-26T14:00:00.000000000,442.04088,418.90319
2026-05-26T15:00:00.000000000,341.50628,358.07132
2026-05-26T16:00:00.000000000,299.2921,342.24539
2026-05-26T17:00:00.000000000,239.76927,359.78599
2026-05-26T18:00:00.000000000,222.02222,368.39827
2026-05-26T19:00:00.000000000,212.15406,356.00767
2026-05-26T20:00:00.000000000,239.15758,336.77988
2026-05-26T21:00:00.000000000,263.44677,325.64213
2026-05-26T22:00:00.000000000,266.85301,337.86092
2026-05-26T23:00:00.000000000,224.7375,362.98994
2026-05-27T00:00:00.000000000,251.5217,405.3268
2026-05-27T01:00:00.000000000,309.25565,454.3857
2026-05-27T02:00:00.000000000,429.22999,489.30988
2026-05-27T03:00:00.000000000,527.72309,503.21025
2026-05-27T04:00:00.000000000,526.43513,522.17897
2026-05-27T05:00:00.000000000,519.9049,550.9779
2026-05-27T06:00:00.000000000,511.81229,575.09752
2026-05-27T07:00:00.000000000,502.52928,577.21187
