datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,207.05364,215.60068
2026-05-22T01:00:00.000000000,211.59671,214.94845
2026-05-22T02:00:00.000000000,228.81778,212.52449
2026-05-22T03:00:00.000000000,213.77483,209.93167
2026-05-22T04:00:00.000000000,216.79466,206.75975
2026-05-22T05:00:00.000000000,219.50799,205.11227
2026-05-22T06:00:00.000000000,265.52217,202.95649
2026-05-22T07:00:00.000000000,311.95429,200.53723
2026-05-22T08:00:00.000000000,232.67007,202.51616
2026-05-22T09:00:00.000000000,221.88525,197.78638
2026-05-22T10:00:00.000000000,308.99175,196.37162
2026-05-22T11:00:00.000000000,315.96659,198.27217
2026-05-22T12:00:00.000000000,227.97881,197.48892
2026-05-22T13:00:00.000000000,220.91653,197.96972
2026-05-22T14:00:00.000000000,203.37597,192.38597
2026-05-22T15:00:00.000000000,216.81221,191.33431
2026-05-22T16:00:00.000000000,216.35417,189.05505
2026-05-22T17:00:00.000000000,215.28263,185.99585
2026-05-22T18:00:00.000000000,203.28547,185.81847
2026-05-22T19:00:00.000000000,197.35498,189.209
2026-05-22T20:00:00.000000000,206.25724,190.25634
2026-05-22T21:00:00.000000000,208.91466,184.91661
2026-05-22T22:00:00.000000000,205.7131,187.41472
2026-05-22T23:00:00.000000000,207.88043,193.82826
2026-05-23T00:00:00.000000000,211.01255,210.64608
2026-05-23T01:00:00.000000000,213.14286,211.28978
2026-05-23T02:00:00.000000000,180.03514,208.36859
2026-05-23T03:00:00.000000000,242.80636,206.29251
2026-05-23T04:00:00.000000000,224.20675,204.55817
2026-05-23T05:00:00.000000000,217.57131,203.60814
2026-05-23T06:00:00.000000000,226.31055,202.51723
2026-05-23T07:00:00.000000000,214.63415,200.46214
2026-05-23T08:00:00.000000000,204.81481,203.05975
2026-05-23T09:00:00.000000000,188.19901,198.34512
2026-05-23T10:00:00.000000000,160.03506,196.65618
2026-05-23T11:00:00.000000000,206.48249,198.50922
2026-05-23T12:00:00.000000000,205.29755,197.44969
2026-05-23T13:00:00.000000000,180.40501,197.88852
2026-05-23T14:00:00.000000000,177.02752,192.78872
2026-05-23T15:00:00.000000000,134.6298,191.66494
2026-05-23T16:00:00.000000000,121.51163,189.89667
2026-05-23T17:00:00.000000000,122.35046,186.82923
2026-05-23T18:00:00.000000000,116.90537,186.17765
2026-05-23T19:00:00.000000000,111.24897,188.78228
2026-05-23T20:00:00.000000000,110.68611,188.54049
2026-05-23T21:00:00.000000000,114.00636,182.93762
2026-05-23T22:00:00.000000000,132.8353,185.11539
2026-05-23T23:00:00.000000000,136.1934,191.3407
2026-05-24T00:00:00.000000000,133.74263,175.65082
2026-05-24T01:00:00.000000000,159.94835,179.11728
2026-05-24T02:00:00.000000000,170.96847,178.54376
2026-05-24T03:00:00.000000000,179.79282,178.06944
2026-05-24T04:00:00.000000000,195.83523,178.38062
2026-05-24T05:00:00.000000000,193.75368,178.85749
2026-05-24T06:00:00.000000000,176.29455,179.17748
2026-05-24T07:00:00.000000000,183.83263,178.1165
2026-05-24T08:00:00.000000000,189.72568,181.3562
2026-05-24T09:00:00.000000000,176.1406,177.54046
2026-05-24T10:00:00.000000000,181.88283,176.95252
2026-05-24T11:00:00.000000000,178.67427,179.26333
2026-05-24T12:00:00.000000000,192.58712,178.23156
2026-05-24T13:00:00.000000000,193.45098,178.43285
2026-05-24T14:00:00.000000000,149.18931,174.09979
2026-05-24T15:00:00.000000000,115.6401,172.61402
2026-05-24T16:00:00.000000000,100.92989,171.49578
2026-05-24T17:00:00.000000000,93.86009,168.99428
2026-05-24T18:00:00.000000000,100.20415,168.16355
2026-05-24T19:00:00.000000000,95.68115,170.89811
2026-05-24T20:00:00.000000000,109.53412,170.14888
2026-05-24T21:00:00.000000000,124.40447,164.73155
2026-05-24T22:00:00.000000000,146.55838,166.78667
