datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,290.31385,243.84626
2026-05-22T01:00:00.000000000,295.907,246.81842
2026-05-22T02:00:00.000000000,316.56444,252.78504
2026-05-22T03:00:00.000000000,293.56788,252.28895
2026-05-22T04:00:00.000000000,295.41903,260.79978
2026-05-22T05:00:00.000000000,298.87889,263.77985
2026-05-22T06:00:00.000000000,356.65025,260.13201
2026-05-22T07:00:00.000000000,415.13143,257.32366
2026-05-22T08:00:00.000000000,315.89116,253.1625
2026-05-22T09:00:00.000000000,302.27049,256.91476
2026-05-22T10:00:00.000000000,411.40094,256.56465
2026-05-22T11:00:00.000000000,420.20644,262.68154
2026-05-22T12:00:00.000000000,309.94576,266.21352
2026-05-22T13:00:00.000000000,301.12111,269.71776
2026-05-22T14:00:00.000000000,280.67829,260.11253
2026-05-22T15:00:00.000000000,301.76808,257.23399
2026-05-22T16:00:00.000000000,302.21615,254.49911
2026-05-22T17:00:00.000000000,301.15212,247.4001
2026-05-22T18:00:00.000000000,286.25169,250.89783
2026-05-22T19:00:00.000000000,278.871,239.45788
2026-05-22T20:00:00.000000000,289.95616,241.24371
2026-05-22T21:00:00.000000000,293.19056,237.59955
2026-05-22T22:00:00.000000000,289.18988,239.19861
2026-05-22T23:00:00.000000000,291.92475,245.02303
2026-05-23T00:00:00.000000000,295.7749,191.32441
2026-05-23T01:00:00.000000000,298.03361,194.06597
2026-05-23T02:00:00.000000000,254.39424,197.92843
2026-05-23T03:00:00.000000000,330.3508,195.51138
2026-05-23T04:00:00.000000000,305.09367,203.09926
2026-05-23T05:00:00.000000000,296.4458,211.6458
2026-05-23T06:00:00.000000000,307.359,214.42417
2026-05-23T07:00:00.000000000,292.83496,211.15817
2026-05-23T08:00:00.000000000,280.39738,207.41368
2026-05-23T09:00:00.000000000,258.85033,211.88827
2026-05-23T10:00:00.000000000,222.78002,205.75022
2026-05-23T11:00:00.000000000,279.6116,206.37222
2026-05-23T12:00:00.000000000,276.66628,210.45474
2026-05-23T13:00:00.000000000,245.66249,210.60511
2026-05-23T14:00:00.000000000,243.27798,200.38054
2026-05-23T15:00:00.000000000,194.33821,197.76653
2026-05-23T16:00:00.000000000,179.56229,193.2138
2026-05-23T17:00:00.000000000,181.21651,187.49308
2026-05-23T18:00:00.000000000,174.61125,190.5882
2026-05-23T19:00:00.000000000,167.15054,182.32908
2026-05-23T20:00:00.000000000,165.42892,185.70748
2026-05-23T21:00:00.000000000,169.38712,186.14149
2026-05-23T22:00:00.000000000,192.24114,186.4834
2026-05-23T23:00:00.000000000,196.1216,189.31023
2026-05-24T00:00:00.000000000,192.85658,149.41523
2026-05-24T01:00:00.000000000,225.58102,151.1136
2026-05-24T02:00:00.000000000,238.89447,152.60946
2026-05-24T03:00:00.000000000,247.26312,148.59592
2026-05-24T04:00:00.000000000,264.55201,155.42972
2026-05-24T05:00:00.000000000,261.61176,166.76657
2026-05-24T06:00:00.000000000,240.36382,173.70769
2026-05-24T07:00:00.000000000,248.94023,170.15832
2026-05-24T08:00:00.000000000,256.6079,166.65477
2026-05-24T09:00:00.000000000,239.68508,170.8482
2026-05-24T10:00:00.000000000,246.42078,162.08682
2026-05-24T11:00:00.000000000,242.7712,160.15627
2026-05-24T12:00:00.000000000,260.20833,165.77501
2026-05-24T13:00:00.000000000,261.33882,164.2963
2026-05-24T14:00:00.000000000,206.84575,155.11796
2026-05-24T15:00:00.000000000,168.14251,153.64063
2026-05-24T16:00:00.000000000,151.31661,149.20031
2026-05-24T17:00:00.000000000,141.99929,145.09763
2026-05-24T18:00:00.000000000,150.3596,148.30525
2026-05-24T19:00:00.000000000,145.58837,142.84113
2026-05-24T20:00:00.000000000,163.05649,147.37344
2026-05-24T21:00:00.000000000,183.56824,149.87218
2026-05-24T22:00:00.000000000,211.87094,148.91669
2026-05-24T23:00:00.000000000,239.21423,148.5075
2026-05-25T00:00:00.000000000,266.08618,144.23361
2026-05-25T01:00:00.000000000,276.95058,145.28257
2026-05-25T02:00:00.000000000,276.14363,145.84512
