datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,444.06413,416.69124
2026-05-22T01:00:00.000000000,445.86344,410.11372
2026-05-22T02:00:00.000000000,407.54057,403.4878
2026-05-22T03:00:00.000000000,394.29559,404.05458
2026-05-22T04:00:00.000000000,417.09021,413.79009
2026-05-22T05:00:00.000000000,411.94616,405.38654
2026-05-22T06:00:00.000000000,425.50416,406.99725
2026-05-22T07:00:00.000000000,414.0,401.83023
2026-05-22T08:00:00.000000000,387.42694,399.33779
2026-05-22T09:00:00.000000000,411.23944,388.60766
2026-05-22T10:00:00.000000000,372.7216,385.06629
2026-05-22T11:00:00.000000000,373.62988,386.92879
2026-05-22T12:00:00.000000000,383.34845,386.93902
2026-05-22T13:00:00.000000000,376.814,384.55243
2026-05-22T14:00:00.000000000,400.18909,384.46465
2026-05-22T15:00:00.000000000,410.68085,391.14208
2026-05-22T16:00:00.000000000,438.39456,389.42567
2026-05-22T17:00:00.000000000,427.44966,398.90217
2026-05-22T18:00:00.000000000,424.93892,402.26682
2026-05-22T19:00:00.000000000,414.77953,406.76214
2026-05-22T20:00:00.000000000,412.33333,411.34722
2026-05-22T21:00:00.000000000,403.42661,416.17213
2026-05-22T22:00:00.000000000,419.25996,413.86414
2026-05-22T23:00:00.000000000,426.17492,409.13796
2026-05-23T00:00:00.000000000,433.66269,411.79168
2026-05-23T01:00:00.000000000,388.8799,406.74023
2026-05-23T02:00:00.000000000,424.51683,400.03761
2026-05-23T03:00:00.000000000,458.06577,400.72874
2026-05-23T04:00:00.000000000,437.78528,410.9224
2026-05-23T05:00:00.000000000,416.55034,402.86616
2026-05-23T06:00:00.000000000,389.21996,404.36498
2026-05-23T07:00:00.000000000,420.75502,400.19065
2026-05-23T08:00:00.000000000,427.64986,397.55271
2026-05-23T09:00:00.000000000,424.90875,386.93788
2026-05-23T10:00:00.000000000,400.25428,384.14267
2026-05-23T11:00:00.000000000,392.03163,386.47236
2026-05-23T12:00:00.000000000,391.87199,386.27936
2026-05-23T13:00:00.000000000,449.56322,384.10151
2026-05-23T14:00:00.000000000,412.82058,384.11732
2026-05-23T15:00:00.000000000,392.56364,389.46128
2026-05-23T16:00:00.000000000,364.01303,387.53203
2026-05-23T17:00:00.000000000,366.55629,395.28814
2026-05-23T18:00:00.000000000,363.33557,398.46821
2026-05-23T19:00:00.000000000,364.05405,402.04181
2026-05-23T20:00:00.000000000,363.33557,407.36664
2026-05-23T21:00:00.000000000,365.62838,411.80894
2026-05-23T22:00:00.000000000,364.47811,410.36344
2026-05-23T23:00:00.000000000,359.52,406.53429
2026-05-24T00:00:00.000000000,292.22812,395.99806
2026-05-24T01:00:00.000000000,368.49407,392.67654
2026-05-24T02:00:00.000000000,432.56853,388.2642
2026-05-24T03:00:00.000000000,475.48477,389.80119
2026-05-24T04:00:00.000000000,492.11471,400.76772
2026-05-24T05:00:00.000000000,481.55812,394.6279
2026-05-24T06:00:00.000000000,420.79065,396.76925
2026-05-24T07:00:00.000000000,399.44903,391.94506
2026-05-24T08:00:00.000000000,381.06494,387.6361
2026-05-24T09:00:00.000000000,379.13464,377.1642
2026-05-24T10:00:00.000000000,362.38414,371.46401
2026-05-24T11:00:00.000000000,361.22924,372.00008
2026-05-24T12:00:00.000000000,361.54759,374.46594
2026-05-24T13:00:00.000000000,361.38861,371.66352
2026-05-24T14:00:00.000000000,373.34811,372.32828
2026-05-24T15:00:00.000000000,395.18615,376.63634
2026-05-24T16:00:00.000000000,364.71475,375.38232
2026-05-24T17:00:00.000000000,368.3661,384.58441
2026-05-24T18:00:00.000000000,356.63816,386.49339
2026-05-24T19:00:00.000000000,366.78644,390.01814
2026-05-24T20:00:00.000000000,363.33557,394.18694
2026-05-24T21:00:00.000000000,364.47811,398.33364
2026-05-24T22:00:00.000000000,363.33557,397.36614
2026-05-24T23:00:00.000000000,361.23684,392.67141
2026-05-25T00:00:00.000000000,288.02611,388.68391
2026-05-25T01:00:00.000000000,305.5644,386.21968
2026-05-25T02:00:00.000000000,405.13123,382.46567
2026-05-25T03:00:00.000000000,447.65337,384.93739
2026-05-25T04:00:00.000000000,467.48526,396.2272
2026-05-25T05:00:00.000000000,448.15399,390.7436
2026-05-25T06:00:00.000000000,435.55534,392.46369
2026-05-25T07:00:00.000000000,382.8929,388.11601
2026-05-25T08:00:00.000000000,394.23058,383.70129
2026-05-25T09:00:00.000000000,380.81643,373.06461
2026-05-25T10:00:00.000000000,362.09899,367.36774
2026-05-25T11:00:00.000000000,364.47811,368.14134
2026-05-25T12:00:00.000000000,360.18202,371.11357
2026-05-25T13:00:00.000000000,433.14058,368.84427
2026-05-25T14:00:00.000000000,395.3985,369.52173
2026-05-25T15:00:00.000000000,352.44578,373.36686
2026-05-25T16:00:00.000000000,351.98089,372.5108
2026-05-25T17:00:00.000000000,364.71475,381.14442
2026-05-25T18:00:00.000000000,368.16993,382.13364
2026-05-25T19:00:00.000000000,423.42316,384.9162
2026-05-25T20:00:00.000000000,470.55594,388.72145
2026-05-25T21:00:00.000000000,408.5531,392.16642
2026-05-25T22:00:00.000000000,389.59116,391.25553
2026-05-25T23:00:00.000000000,370.39333,386.86187
2026-05-26T00:00:00.000000000,366.46309,399.28194
2026-05-26T01:00:00.000000000,366.73548,391.28486
2026-05-26T02:00:00.000000000,328.85981,383.51521
2026-05-26T03:00:00.000000000,346.06259,382.95901
2026-05-26T04:00:00.000000000,342.33333,392.45594
2026-05-26T05:00:00.000000000,452.80163,385.93007
2026-05-26T06:00:00.000000000,499.04149,388.8289
2026-05-26T07:00:00.000000000,504.29495,387.13892
2026-05-26T08:00:00.000000000,404.39138,386.01583
2026-05-26T09:00:00.000000000,383.22718,375.75171
2026-05-26T10:00:00.000000000,319.99349,370.60083
2026-05-26T11:00:00.000000000,312.47619,370.77804
2026-05-26T12:00:00.000000000,312.28814,370.16678
2026-05-26T13:00:00.000000000,334.90166,365.37298
2026-05-26T14:00:00.000000000,375.06376,363.73198
2026-05-26T15:00:00.000000000,431.57042,368.4126
2026-05-26T16:00:00.000000000,396.95748,366.76553
2026-05-26T17:00:00.000000000,372.65217,377.54068
2026-05-26T18:00:00.000000000,430.63836,381.79274
2026-05-26T19:00:00.000000000,398.1362,386.4258
2026-05-26T20:00:00.000000000,434.98151,393.6764
2026-05-26T21:00:00.000000000,430.23817,400.18872
2026-05-26T22:00:00.000000000,434.55723,397.96319
2026-05-26T23:00:00.000000000,446.05955,392.70514
2026-05-27T00:00:00.000000000,447.88181,405.48358
2026-05-27T01:00:00.000000000,439.00137,399.01979
2026-05-27T02:00:00.000000000,455.56497,390.91378
2026-05-27T03:00:00.000000000,467.1034,392.73356
2026-05-27T04:00:00.000000000,437.14286,401.61316
2026-05-27T05:00:00.000000000,451.75371,395.54917
2026-05-27T06:00:00.000000000,442.25149,395.90899
2026-05-27T07:00:00.000000000,413.26531,393.39666
2026-05-27T08:00:00.000000000,416.67885,391.46934
2026-05-27T09:00:00.000000000,379.60691,380.80123
2026-05-27T10:00:00.000000000,351.77748,377.29494
2026-05-27T11:00:00.000000000,371.10069,379.69041
2026-05-27T12:00:00.000000000,387.16501,378.81332
2026-05-27T13:00:00.000000000,393.18504,376.90685
2026-05-27T14:00:00.000000000,387.0427,376.75444
2026-05-27T15:00:00.000000000,365.57068,383.315
2026-05-27T16:00:00.000000000,396.92837,383.61771
2026-05-27T17:00:00.000000000,393.52572,393.45568
2026-05-27T18:00:00.000000000,413.06901,396.56944
2026-05-27T19:00:00.000000000,390.14286,398.79759
2026-05-27T20:00:00.000000000,423.6779,404.16816
2026-05-27T21:00:00.000000000,421.93258,407.08288
2026-05-27T22:00:00.000000000,429.15041,404.09266
2026-05-27T23:00:00.000000000,430.93972,399.52417
2026-05-28T00:00:00.000000000,441.95876,405.8454
2026-05-28T01:00:00.000000000,423.94181,399.075
2026-05-28T02:00:00.000000000,431.12557,391.78466
2026-05-28T03:00:00.000000000,462.26062,392.91406
2026-05-28T04:00:00.000000000,481.43918,402.45579
2026-05-28T05:00:00.000000000,491.9341,395.80809
2026-05-28T06:00:00.000000000,502.33194,397.87005
2026-05-28T07:00:00.000000000,465.32991,394.6907
2026-05-28T08:00:00.000000000,472.86832,393.02933
2026-05-28T09:00:00.000000000,451.58296,382.31842
2026-05-28T10:00:00.000000000,394.46568,378.35323
2026-05-28T11:00:00.000000000,394.80966,379.94616
2026-05-28T12:00:00.000000000,392.56764,379.40843
2026-05-28T13:00:00.000000000,391.89474,376.05284
2026-05-28T14:00:00.000000000,411.69672,375.70844
2026-05-28T15:00:00.000000000,400.34672,381.40914
2026-05-28T16:00:00.000000000,403.24468,380.40218
2026-05-28T17:00:00.000000000,423.27964,389.97004
2026-05-28T18:00:00.000000000,448.51665,393.35001
2026-05-28T19:00:00.000000000,431.21065,397.02919
2026-05-28T20:00:00.000000000,443.17703,402.6643
2026-05-28T21:00:00.000000000,444.41304,406.99749
2026-05-28T22:00:00.000000000,445.32282,404.47831
2026-05-28T23:00:00.000000000,444.02436,400.0893
2026-05-23T00:00:00.000000000,433.66269,414.89442
