datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T01:00:00.000000000,257.13245,273.2535
2026-05-22T02:00:00.000000000,262.94432,275.27005
2026-05-22T03:00:00.000000000,260.69765,276.30695
2026-05-22T04:00:00.000000000,262.55068,275.17616
2026-05-22T05:00:00.000000000,260.24813,272.81109
2026-05-22T06:00:00.000000000,253.01242,270.28196
2026-05-22T07:00:00.000000000,248.39215,267.92673
2026-05-22T08:00:00.000000000,248.49343,265.70916
2026-05-22T09:00:00.000000000,249.10175,263.41104
2026-05-22T10:00:00.000000000,248.41684,262.00355
2026-05-22T11:00:00.000000000,249.79689,260.27607
2026-05-22T12:00:00.000000000,249.01794,258.13288
2026-05-22T13:00:00.000000000,246.13425,256.73107
2026-05-22T14:00:00.000000000,242.34354,252.88484
2026-05-22T15:00:00.000000000,244.87438,248.32046
2026-05-22T16:00:00.000000000,245.28736,245.61765
2026-05-22T17:00:00.000000000,245.7502,245.39303
2026-05-22T18:00:00.000000000,246.36011,245.52258
2026-05-22T19:00:00.000000000,246.15157,247.14141
2026-05-22T20:00:00.000000000,250.80839,249.81631
2026-05-22T21:00:00.000000000,253.44178,254.32334
2026-05-22T22:00:00.000000000,257.34306,259.5155
2026-05-22T23:00:00.000000000,255.59798,263.67333
2026-05-23T00:00:00.000000000,247.24327,267.83004
2026-05-23T01:00:00.000000000,250.28085,279.83204
2026-05-23T02:00:00.000000000,256.88068,280.34385
2026-05-23T03:00:00.000000000,257.72605,278.95733
2026-05-23T04:00:00.000000000,252.96564,275.23523
2026-05-23T05:00:00.000000000,248.59677,270.48389
2026-05-23T06:00:00.000000000,247.25403,266.27998
2026-05-23T07:00:00.000000000,247.36827,263.61541
2026-05-23T08:00:00.000000000,247.27063,261.31829
2026-05-23T09:00:00.000000000,248.77698,258.59619
2026-05-23T10:00:00.000000000,249.55616,256.38643
2026-05-23T11:00:00.000000000,249.09905,253.38855
2026-05-23T12:00:00.000000000,247.45684,250.07279
2026-05-23T13:00:00.000000000,249.03883,247.83017
2026-05-23T14:00:00.000000000,255.58071,243.3682
2026-05-23T15:00:00.000000000,259.22578,238.64065
2026-05-23T16:00:00.000000000,256.8266,236.36346
