datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T01:00:00.000000000,322.7905,334.06219
2026-05-22T02:00:00.000000000,329.73906,331.09492
2026-05-22T03:00:00.000000000,326.62416,327.87092
2026-05-22T04:00:00.000000000,327.86198,324.55797
2026-05-22T05:00:00.000000000,324.22898,321.88572
2026-05-22T06:00:00.000000000,316.02587,320.54861
2026-05-22T07:00:00.000000000,310.74973,318.98664
2026-05-22T08:00:00.000000000,310.79358,318.65289
2026-05-22T09:00:00.000000000,311.4294,318.72593
2026-05-22T10:00:00.000000000,310.5136,318.699
2026-05-22T11:00:00.000000000,312.09693,319.70607
2026-05-22T12:00:00.000000000,312.26558,319.95179
2026-05-22T13:00:00.000000000,309.21826,318.41453
2026-05-22T14:00:00.000000000,305.30035,315.91051
2026-05-22T15:00:00.000000000,308.1317,313.74642
2026-05-22T16:00:00.000000000,308.14839,312.43301
2026-05-22T17:00:00.000000000,308.13249,313.54436
2026-05-22T18:00:00.000000000,308.40208,314.62976
2026-05-22T19:00:00.000000000,308.21532,317.14122
2026-05-22T20:00:00.000000000,313.80848,321.53369
2026-05-22T21:00:00.000000000,315.91595,327.48834
2026-05-22T22:00:00.000000000,320.46454,333.13718
2026-05-22T23:00:00.000000000,318.60814,337.33665
2026-05-23T00:00:00.000000000,309.69923,339.69887
2026-05-23T01:00:00.000000000,312.99273,342.14167
2026-05-23T02:00:00.000000000,320.29215,341.16919
2026-05-23T03:00:00.000000000,321.3134,341.73443
2026-05-23T04:00:00.000000000,316.30618,342.32158
2026-05-23T05:00:00.000000000,311.60361,342.40561
2026-05-23T06:00:00.000000000,310.62473,342.70159
2026-05-23T07:00:00.000000000,310.87078,341.73297
2026-05-23T08:00:00.000000000,310.99747,339.96559
2026-05-23T09:00:00.000000000,312.84176,337.58172
2026-05-23T10:00:00.000000000,313.87822,334.65691
2026-05-23T11:00:00.000000000,313.10734,331.94893
2026-05-23T12:00:00.000000000,311.39728,330.10627
2026-05-23T13:00:00.000000000,313.68577,329.41029
2026-05-23T14:00:00.000000000,320.93651,329.38427
2026-05-23T15:00:00.000000000,324.51406,331.22257
2026-05-23T16:00:00.000000000,321.46046,334.09684
2026-05-23T17:00:00.000000000,310.5876,337.74616
2026-05-23T18:00:00.000000000,308.85676,340.54258
2026-05-23T19:00:00.000000000,306.3765,342.96477
2026-05-23T20:00:00.000000000,309.62323,345.29181
2026-05-23T21:00:00.000000000,314.26296,347.32783
2026-05-23T22:00:00.000000000,320.41896,348.07633
2026-05-23T23:00:00.000000000,321.26491,347.6255
2026-05-24T00:00:00.000000000,316.21801,346.56335
2026-05-24T01:00:00.000000000,321.53278,351.57691
2026-05-24T02:00:00.000000000,325.7345,350.54696
2026-05-24T03:00:00.000000000,331.33033,351.21138
2026-05-24T04:00:00.000000000,334.55085,352.52884
2026-05-24T05:00:00.000000000,328.75753,353.12882
2026-05-24T06:00:00.000000000,323.94247,353.80248
2026-05-24T07:00:00.000000000,318.79218,353.43736
2026-05-24T08:00:00.000000000,316.25737,351.93418
2026-05-24T09:00:00.000000000,313.80884,350.02982
2026-05-24T10:00:00.000000000,311.88518,347.8698
2026-05-24T11:00:00.000000000,311.42853,345.9346
2026-05-24T12:00:00.000000000,309.57984,344.28131
2026-05-24T13:00:00.000000000,309.4467,343.65887
2026-05-24T14:00:00.000000000,313.97808,343.4016
2026-05-24T15:00:00.000000000,313.69994,345.16576
2026-05-24T16:00:00.000000000,310.65937,348.06755
2026-05-24T17:00:00.000000000,302.71141,350.95549
2026-05-24T18:00:00.000000000,298.63683,353.31835
2026-05-24T19:00:00.000000000,301.94778,354.95403
2026-05-24T20:00:00.000000000,305.78535,356.39116
2026-05-24T21:00:00.000000000,310.26924,357.12726
2026-05-24T22:00:00.000000000,313.72189,356.70964
2026-05-24T23:00:00.000000000,317.56747,355.43383
2026-05-25T00:00:00.000000000,325.77731,353.75142
2026-05-25T01:00:00.000000000,338.3961,365.37858
2026-05-25T02:00:00.000000000,342.22525,363.93714
2026-05-25T03:00:00.000000000,342.71619,364.64192
2026-05-25T04:00:00.000000000,339.05144,366.51501
2026-05-25T05:00:00.000000000,331.90862,367.94636
2026-05-25T06:00:00.000000000,326.44195,369.65521
2026-05-25T07:00:00.000000000,324.78899,370.93012
2026-05-25T08:00:00.000000000,321.90417,370.76249
2026-05-25T09:00:00.000000000,323.74364,369.80318
2026-05-25T10:00:00.000000000,327.37607,368.41761
2026-05-25T11:00:00.000000000,326.96073,365.90171
2026-05-25T12:00:00.000000000,322.21668,362.53674
2026-05-25T13:00:00.000000000,318.49175,360.48322
2026-05-25T14:00:00.000000000,314.64604,358.84208
2026-05-25T15:00:00.000000000,310.30791,359.85145
2026-05-25T16:00:00.000000000,308.13698,362.58961
2026-05-25T17:00:00.000000000,306.39065,365.19488
2026-05-25T18:00:00.000000000,300.63955,367.55146
2026-05-25T19:00:00.000000000,298.76153,369.11056
2026-05-25T20:00:00.000000000,297.78021,370.14854
2026-05-25T21:00:00.000000000,303.25191,369.80891
2026-05-25T22:00:00.000000000,312.45538,368.18624
2026-05-25T23:00:00.000000000,326.07888,366.28421
2026-05-26T00:00:00.000000000,344.97151,364.63102
2026-05-26T01:00:00.000000000,357.76615,364.05552
2026-05-26T02:00:00.000000000,360.59577,363.17725
2026-05-26T03:00:00.000000000,356.0321,364.21548
2026-05-26T04:00:00.000000000,351.349,366.18241
2026-05-26T05:00:00.000000000,341.3002,367.56751
2026-05-26T06:00:00.000000000,338.60262,369.19723
2026-05-26T07:00:00.000000000,337.5994,370.40566
2026-05-26T08:00:00.000000000,339.35444,370.02579
2026-05-26T09:00:00.000000000,342.66287,368.73302
2026-05-26T10:00:00.000000000,350.6982,366.88356
2026-05-26T11:00:00.000000000,360.72349,363.94882
2026-05-26T12:00:00.000000000,363.07418,360.36716
2026-05-26T13:00:00.000000000,359.7823,358.17968
2026-05-26T14:00:00.000000000,357.96069,356.47718
2026-05-26T15:00:00.000000000,353.90822,357.41806
2026-05-26T16:00:00.000000000,352.12196,360.03671
2026-05-26T17:00:00.000000000,349.53791,362.32562
2026-05-26T18:00:00.000000000,354.71533,364.4025
2026-05-26T19:00:00.000000000,358.96047,365.84227
2026-05-26T20:00:00.000000000,355.92348,366.97465
2026-05-26T21:00:00.000000000,361.67904,367.03716
2026-05-26T22:00:00.000000000,373.33165,365.99985
2026-05-26T23:00:00.000000000,380.21221,364.64631
2026-05-27T00:00:00.000000000,385.70281,363.41071
2026-05-27T01:00:00.000000000,390.23971,365.23181
2026-05-27T02:00:00.000000000,389.70763,364.3882
2026-05-27T03:00:00.000000000,389.99281,365.02738
2026-05-27T04:00:00.000000000,389.33803,366.25184
2026-05-27T05:00:00.000000000,382.39452,366.63889
2026-05-27T06:00:00.000000000,378.45722,367.21958
2026-05-27T07:00:00.000000000,372.17879,367.40681
2026-05-27T08:00:00.000000000,366.66158,366.2522
2026-05-27T09:00:00.000000000,367.2463,364.59541
2026-05-27T10:00:00.000000000,373.66375,362.70232
2026-05-27T11:00:00.000000000,382.00127,360.1804
2026-05-27T12:00:00.000000000,383.11214,357.23742
2026-05-27T13:00:00.000000000,381.31458,355.61949
2026-05-27T14:00:00.000000000,374.92718,354.38465
2026-05-27T15:00:00.000000000,368.94178,355.51956
2026-05-27T16:00:00.000000000,367.91204,358.07856
2026-05-27T17:00:00.000000000,365.38282,360.24341
2026-05-27T18:00:00.000000000,367.6861,362.24463
2026-05-27T19:00:00.000000000,366.47953,363.77393
2026-05-27T20:00:00.000000000,368.29984,365.32523
2026-05-27T21:00:00.000000000,369.448,366.16461
2026-05-27T22:00:00.000000000,377.31144,365.93586
2026-05-27T23:00:00.000000000,377.56158,365.3086
2026-05-28T00:00:00.000000000,384.42066,364.54539
2026-05-28T01:00:00.000000000,390.53895,365.77271
2026-05-28T02:00:00.000000000,391.05831,365.86828
2026-05-28T03:00:00.000000000,386.55355,367.1484
2026-05-28T04:00:00.000000000,381.6256,368.51117
2026-05-28T05:00:00.000000000,376.46701,368.50343
2026-05-28T06:00:00.000000000,371.92211,368.29024
2026-05-28T07:00:00.000000000,365.10037,367.39317
2026-05-28T08:00:00.000000000,356.43533,365.11217
2026-05-28T09:00:00.000000000,351.50986,362.6327
2026-05-28T10:00:00.000000000,353.85687,360.28452
2026-05-28T11:00:00.000000000,354.08667,357.8409
2026-05-28T12:00:00.000000000,339.39122,355.47299
2026-05-28T13:00:00.000000000,328.06795,354.58729
2026-05-28T14:00:00.000000000,319.54801,354.01058
2026-05-28T15:00:00.000000000,320.08256,355.57183
2026-05-28T16:00:00.000000000,322.1006,358.17095
2026-05-28T17:00:00.000000000,328.02452,360.00757
2026-05-28T18:00:00.000000000,329.93758,361.54985
2026-05-28T19:00:00.000000000,327.32382,362.67033
2026-05-28T20:00:00.000000000,320.07738,364.09486
2026-05-28T21:00:00.000000000,321.3981,365.08632
2026-05-28T22:00:00.000000000,322.09823,365.10124
2026-05-28T23:00:00.000000000,324.92938,364.88614
2026-05-29T00:00:00.000000000,342.48739,364.6884
2026-05-23T01:00:00.000000000,312.99273,319.14698
2026-05-23T02:00:00.000000000,320.29215,317.6922
2026-05-23T03:00:00.000000000,321.3134,318.45553
2026-05-23T04:00:00.000000000,316.30618,319.60506
2026-05-23T05:00:00.000000000,311.60361,320.75553
2026-05-23T06:00:00.000000000,310.62473,322.42096
2026-05-23T07:00:00.000000000,310.87078,322.79983
2026-05-23T08:00:00.000000000,310.99747,323.1273
2026-05-23T09:00:00.000000000,312.84176,322.95023
2026-05-23T10:00:00.000000000,313.87822,322.05188
2026-05-23T11:00:00.000000000,313.10734,321.28395
2026-05-23T12:00:00.000000000,311.39728,321.29756
2026-05-23T13:00:00.000000000,313.68577,321.7417
2026-05-23T14:00:00.000000000,320.93651,322.53676
2026-05-23T15:00:00.000000000,324.51406,324.74725
2026-05-23T16:00:00.000000000,321.46046,327.4139
2026-05-23T17:00:00.000000000,310.5876,331.05761
2026-05-23T18:00:00.000000000,308.85676,332.86713
2026-05-23T19:00:00.000000000,306.3765,333.91987
2026-05-23T20:00:00.000000000,309.62323,334.7252
2026-05-23T21:00:00.000000000,314.26296,335.34415
2026-05-23T22:00:00.000000000,320.41896,335.13775
2026-05-23T23:00:00.000000000,321.26491,333.59689
2026-05-24T00:00:00.000000000,316.21801,331.07111
2026-05-24T01:00:00.000000000,321.53278,339.04018
2026-05-24T02:00:00.000000000,325.7345,339.25527
2026-05-24T03:00:00.000000000,331.33033,341.16447
2026-05-24T04:00:00.000000000,334.55085,343.24051
2026-05-24T05:00:00.000000000,328.75753,344.1502
2026-05-24T06:00:00.000000000,323.94247,344.68797
2026-05-24T07:00:00.000000000,318.79218,343.69179
2026-05-24T08:00:00.000000000,316.25737,341.86092
2026-05-24T09:00:00.000000000,313.80884,339.84386
2026-05-24T10:00:00.000000000,311.88518,337.82075
2026-05-24T11:00:00.000000000,311.42853,336.76545
2026-05-24T12:00:00.000000000,309.57984,336.5186
2026-05-24T13:00:00.000000000,309.4467,336.92561
2026-05-24T14:00:00.000000000,313.97808,337.49525
2026-05-24T15:00:00.000000000,313.69994,339.57044
2026-05-24T16:00:00.000000000,310.65937,342.05803
2026-05-24T17:00:00.000000000,302.71141,344.41699
2026-05-24T18:00:00.000000000,298.63683,345.60769
2026-05-24T19:00:00.000000000,301.94778,346.14821
2026-05-24T20:00:00.000000000,305.78535,346.73892
2026-05-24T21:00:00.000000000,310.26924,346.94802
2026-05-24T22:00:00.000000000,313.72189,346.2395
2026-05-24T23:00:00.000000000,317.56747,344.81399
2026-05-25T00:00:00.000000000,325.77731,343.16554
2026-05-25T01:00:00.000000000,338.3961,357.41167
2026-05-25T02:00:00.000000000,342.22525,356.89782
2026-05-25T03:00:00.000000000,342.71619,358.27334
2026-05-25T04:00:00.000000000,339.05144,360.42572
2026-05-25T05:00:00.000000000,331.90862,361.7118
2026-05-25T06:00:00.000000000,326.44195,362.88059
2026-05-25T07:00:00.000000000,324.78899,362.97923
2026-05-25T08:00:00.000000000,321.90417,361.53728
2026-05-25T09:00:00.000000000,323.74364,359.40353
2026-05-25T10:00:00.000000000,327.37607,356.9555
2026-05-25T11:00:00.000000000,326.96073,354.29564
2026-05-25T12:00:00.000000000,322.21668,351.76078
2026-05-25T13:00:00.000000000,318.49175,350.65294
2026-05-25T14:00:00.000000000,314.64604,350.06828
2026-05-25T15:00:00.000000000,310.30791,351.78044
2026-05-25T16:00:00.000000000,308.13698,354.73844
2026-05-25T17:00:00.000000000,306.39065,357.24954
2026-05-25T18:00:00.000000000,300.63955,359.1455
2026-05-25T19:00:00.000000000,298.76153,360.17458
2026-05-25T20:00:00.000000000,297.78021,360.97037
2026-05-25T21:00:00.000000000,303.25191,361.06269
2026-05-25T22:00:00.000000000,312.45538,360.18691
2026-05-25T23:00:00.000000000,326.07888,358.84428
2026-05-26T00:00:00.000000000,344.97151,357.53514
2026-05-26T01:00:00.000000000,357.76615,360.37243
2026-05-26T02:00:00.000000000,360.59577,360.16537
2026-05-26T03:00:00.000000000,356.0321,361.6075
2026-05-26T04:00:00.000000000,351.349,363.63896
2026-05-26T05:00:00.000000000,341.3002,364.5967
2026-05-26T06:00:00.000000000,338.60262,365.3521
2026-05-26T07:00:00.000000000,337.5994,365.09392
2026-05-26T08:00:00.000000000,339.35444,363.13058
2026-05-26T09:00:00.000000000,342.66287,360.47424
2026-05-26T10:00:00.000000000,350.6982,357.57036
2026-05-26T11:00:00.000000000,360.72349,354.58519
2026-05-26T12:00:00.000000000,363.07418,351.91043
2026-05-26T13:00:00.000000000,359.7823,350.85888
2026-05-26T14:00:00.000000000,357.96069,350.40363
2026-05-26T15:00:00.000000000,353.90822,352.26504
2026-05-26T16:00:00.000000000,352.12196,355.31823
2026-05-26T17:00:00.000000000,349.53791,357.72637
2026-05-26T18:00:00.000000000,354.71533,359.61682
2026-05-26T19:00:00.000000000,358.96047,360.81557
2026-05-26T20:00:00.000000000,355.92348,362.00629
2026-05-26T21:00:00.000000000,361.67904,362.61575
2026-05-26T22:00:00.000000000,373.33165,362.26235
2026-05-26T23:00:00.000000000,380.21221,361.4559
2026-05-27T00:00:00.000000000,385.70281,360.53057
2026-05-27T01:00:00.000000000,390.23971,362.30844
2026-05-27T02:00:00.000000000,389.70763,362.60623
2026-05-27T03:00:00.000000000,389.99281,364.22043
2026-05-27T04:00:00.000000000,389.33803,365.97613
2026-05-27T05:00:00.000000000,382.39452,366.31978
2026-05-27T06:00:00.000000000,378.45722,366.31047
2026-05-27T07:00:00.000000000,372.17879,365.30317
2026-05-27T08:00:00.000000000,366.66158,362.77652
2026-05-27T09:00:00.000000000,367.2463,359.93663
2026-05-27T10:00:00.000000000,373.66375,357.17525
2026-05-27T11:00:00.000000000,382.00127,354.56379
2026-05-27T12:00:00.000000000,383.11214,352.34852
2026-05-27T13:00:00.000000000,381.31458,351.70913
2026-05-27T14:00:00.000000000,374.92718,351.47044
2026-05-27T15:00:00.000000000,368.94178,353.33267
2026-05-27T16:00:00.000000000,367.91204,356.14409
2026-05-27T17:00:00.000000000,365.38282,358.13445
2026-05-27T18:00:00.000000000,367.6861,359.63998
