datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,636.76544,593.34213
2026-05-20T04:00:00.000000000,618.21822,583.69303
2026-05-20T05:00:00.000000000,582.18408,567.48449
2026-05-20T06:00:00.000000000,529.5044,543.33694
2026-05-20T07:00:00.000000000,455.71273,498.77983
2026-05-20T08:00:00.000000000,383.47312,443.64759
2026-05-20T09:00:00.000000000,299.29076,396.41792
2026-05-20T10:00:00.000000000,269.57303,351.3999
2026-05-20T11:00:00.000000000,257.37197,314.86743
2026-05-20T12:00:00.000000000,273.52801,286.22252
2026-05-20T13:00:00.000000000,292.99434,278.12494
2026-05-20T14:00:00.000000000,320.1502,286.7401
2026-05-20T15:00:00.000000000,342.41639,316.26975
2026-05-20T16:00:00.000000000,394.85852,356.95416
2026-05-20T17:00:00.000000000,475.03128,409.24216
2026-05-20T18:00:00.000000000,521.83211,461.6972
2026-05-20T19:00:00.000000000,555.13942,505.15174
2026-05-20T20:00:00.000000000,581.69488,546.29943
2026-05-20T21:00:00.000000000,587.01628,569.59649
2026-05-20T22:00:00.000000000,597.35432,578.82667
2026-05-20T23:00:00.000000000,605.92548,576.49979
2026-05-21T00:00:00.000000000,609.21139,575.88477
2026-05-21T01:00:00.000000000,609.82107,575.10932
2026-05-21T02:00:00.000000000,598.46761,575.72083
2026-05-21T03:00:00.000000000,593.58814,523.13626
2026-05-21T04:00:00.000000000,587.79302,517.59179
2026-05-21T05:00:00.000000000,565.19622,510.10068
2026-05-21T06:00:00.000000000,523.51501,490.86464
2026-05-21T07:00:00.000000000,472.52944,462.74406
2026-05-21T08:00:00.000000000,404.15446,419.26906
2026-05-21T09:00:00.000000000,327.14199,378.78018
2026-05-21T10:00:00.000000000,275.32814,337.79535
2026-05-21T11:00:00.000000000,271.9853,301.91982
2026-05-21T12:00:00.000000000,276.06415,277.46141
2026-05-21T13:00:00.000000000,300.13441,270.24306
2026-05-21T14:00:00.000000000,301.17035,273.37322
2026-05-21T15:00:00.000000000,311.80409,296.1504
2026-05-21T16:00:00.000000000,357.48757,334.68737
2026-05-21T17:00:00.000000000,417.37918,377.72127
2026-05-21T18:00:00.000000000,480.37626,423.36477
2026-05-21T19:00:00.000000000,524.85202,465.84598
2026-05-21T20:00:00.000000000,559.06079,505.20803
2026-05-21T21:00:00.000000000,564.80254,532.34795
2026-05-21T22:00:00.000000000,568.29476,545.63656
2026-05-21T23:00:00.000000000,576.74457,549.85288
2026-05-22T00:00:00.000000000,587.2551,546.34327
2026-05-22T01:00:00.000000000,597.7454,544.11501
2026-05-22T02:00:00.000000000,608.36546,538.79556
2026-05-22T03:00:00.000000000,607.34651,492.35488
