datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,707.82421,648.28915
2026-05-20T04:00:00.000000000,688.55941,641.42202
2026-05-20T05:00:00.000000000,652.69398,623.73378
2026-05-20T06:00:00.000000000,598.19739,594.4069
2026-05-20T07:00:00.000000000,521.76021,551.63064
2026-05-20T08:00:00.000000000,446.89055,496.93475
2026-05-20T09:00:00.000000000,360.24175,443.85168
2026-05-20T10:00:00.000000000,328.86333,402.75444
2026-05-20T11:00:00.000000000,316.13574,380.5049
2026-05-20T12:00:00.000000000,333.02628,363.74571
2026-05-20T13:00:00.000000000,353.51791,366.84636
2026-05-20T14:00:00.000000000,381.54657,372.46028
2026-05-20T15:00:00.000000000,404.7479,401.01729
2026-05-20T16:00:00.000000000,459.82253,435.67537
2026-05-20T17:00:00.000000000,543.2797,488.64161
2026-05-20T18:00:00.000000000,591.78361,547.87603
2026-05-20T19:00:00.000000000,626.56589,598.67747
2026-05-20T20:00:00.000000000,655.0514,635.49778
2026-05-20T21:00:00.000000000,660.28047,654.34806
2026-05-20T22:00:00.000000000,671.33113,657.58147
2026-05-20T23:00:00.000000000,679.50399,656.14597
2026-05-21T00:00:00.000000000,680.41808,651.77502
2026-05-21T01:00:00.000000000,680.41434,642.69265
2026-05-21T02:00:00.000000000,668.3927,638.99935
2026-05-21T03:00:00.000000000,662.64927,637.21166
2026-05-21T04:00:00.000000000,656.66302,630.00546
2026-05-21T05:00:00.000000000,633.55862,612.48614
2026-05-21T06:00:00.000000000,590.74547,583.44439
2026-05-21T07:00:00.000000000,537.55382,541.56592
2026-05-21T08:00:00.000000000,467.17873,488.29182
2026-05-21T09:00:00.000000000,387.53111,437.01226
2026-05-21T10:00:00.000000000,333.1319,397.58715
2026-05-21T11:00:00.000000000,329.26585,376.14724
2026-05-21T12:00:00.000000000,333.14934,359.79537
2026-05-21T13:00:00.000000000,357.84648,362.70004
2026-05-21T14:00:00.000000000,359.24192,367.97442
2026-05-21T15:00:00.000000000,371.07401,396.50301
2026-05-21T16:00:00.000000000,417.95284,431.41512
2026-05-21T17:00:00.000000000,480.82545,484.75986
2026-05-21T18:00:00.000000000,546.25314,544.91776
2026-05-21T19:00:00.000000000,593.04536,596.55217
2026-05-21T20:00:00.000000000,628.85664,634.03542
2026-05-21T21:00:00.000000000,634.74258,653.05389
2026-05-21T22:00:00.000000000,637.56926,656.30893
2026-05-21T23:00:00.000000000,646.95312,654.46193
2026-05-22T00:00:00.000000000,657.97263,649.31878
2026-05-22T01:00:00.000000000,667.63986,639.54547
2026-05-22T02:00:00.000000000,678.78098,634.98893
2026-05-22T03:00:00.000000000,678.5775,634.23118
2026-05-22T04:00:00.000000000,669.0124,627.20008
2026-05-22T05:00:00.000000000,642.6546,609.7672
2026-05-22T06:00:00.000000000,577.63261,580.84841
2026-05-22T07:00:00.000000000,507.18298,539.16361
2026-05-22T08:00:00.000000000,420.70823,486.41613
2026-05-22T09:00:00.000000000,335.02749,435.94153
2026-05-22T10:00:00.000000000,323.89152,397.43372
2026-05-22T11:00:00.000000000,338.5361,376.64694
2026-05-22T12:00:00.000000000,330.02392,360.78857
2026-05-22T13:00:00.000000000,331.69868,363.80235
2026-05-22T14:00:00.000000000,340.06077,369.00692
2026-05-22T15:00:00.000000000,362.83039,397.32393
2026-05-22T16:00:00.000000000,415.61863,431.84413
2026-05-22T17:00:00.000000000,475.99961,484.58026
2026-05-22T18:00:00.000000000,555.93853,543.9734
2026-05-22T19:00:00.000000000,612.19031,594.84308
2026-05-22T20:00:00.000000000,647.65853,631.70246
2026-05-22T21:00:00.000000000,660.13083,650.43711
2026-05-22T22:00:00.000000000,667.99599,653.69031
2026-05-22T23:00:00.000000000,681.43523,652.06736
2026-05-23T00:00:00.000000000,684.60929,647.17474
2026-05-23T01:00:00.000000000,707.082,637.71117
2026-05-23T02:00:00.000000000,721.34567,633.33304
2026-05-23T03:00:00.000000000,727.44149,620.45304
2026-05-23T04:00:00.000000000,724.83661,612.55234
2026-05-23T05:00:00.000000000,695.13953,593.43112
2026-05-23T06:00:00.000000000,602.81146,562.8692
2026-05-23T07:00:00.000000000,487.19736,519.69796
2026-05-23T08:00:00.000000000,388.58167,466.87332
2026-05-23T09:00:00.000000000,339.74898,417.74446
2026-05-23T10:00:00.000000000,310.0105,382.32812
2026-05-23T11:00:00.000000000,325.70317,364.92129
2026-05-23T12:00:00.000000000,309.63356,352.96569
2026-05-23T13:00:00.000000000,311.63526,358.21464
2026-05-23T14:00:00.000000000,320.28354,364.66648
2026-05-23T15:00:00.000000000,341.32931,393.63703
2026-05-23T16:00:00.000000000,363.76139,428.36869
2026-05-23T17:00:00.000000000,453.57562,481.77907
2026-05-23T18:00:00.000000000,542.44963,541.41231
2026-05-23T19:00:00.000000000,608.07835,591.74405
2026-05-23T20:00:00.000000000,649.39603,627.1225
2026-05-23T21:00:00.000000000,660.90304,643.7546
2026-05-23T22:00:00.000000000,667.33344,645.87479
2026-05-23T23:00:00.000000000,672.98767,644.23329
2026-05-24T00:00:00.000000000,684.05541,639.83761
2026-05-24T01:00:00.000000000,694.11237,631.28769
2026-05-24T02:00:00.000000000,698.31626,626.86502
2026-05-24T03:00:00.000000000,690.50121,629.98905
2026-05-24T04:00:00.000000000,669.92353,621.31839
2026-05-24T05:00:00.000000000,629.99252,601.18875
2026-05-24T06:00:00.000000000,541.05213,569.73263
2026-05-24T07:00:00.000000000,425.17681,525.74627
2026-05-24T08:00:00.000000000,376.81107,472.02899
2026-05-24T09:00:00.000000000,358.8646,423.21336
2026-05-24T10:00:00.000000000,350.71368,388.31077
2026-05-24T11:00:00.000000000,335.12153,371.89824
2026-05-24T12:00:00.000000000,325.49851,361.05764
2026-05-24T13:00:00.000000000,332.82143,367.60962
2026-05-24T14:00:00.000000000,343.53631,375.42958
2026-05-24T15:00:00.000000000,397.67406,405.46249
2026-05-24T16:00:00.000000000,369.60705,441.35394
2026-05-24T17:00:00.000000000,392.15037,495.50776
2026-05-24T18:00:00.000000000,439.58327,554.24441
2026-05-24T19:00:00.000000000,504.05964,602.68127
2026-05-24T20:00:00.000000000,553.80959,635.10593
2026-05-24T21:00:00.000000000,568.73536,649.87386
2026-05-24T22:00:00.000000000,564.48409,650.83667
2026-05-24T23:00:00.000000000,561.6939,649.35391
2026-05-25T00:00:00.000000000,570.617,645.7066
2026-05-25T01:00:00.000000000,584.72539,637.39363
2026-05-25T02:00:00.000000000,597.89166,632.81411
2026-05-25T03:00:00.000000000,611.59741,638.62271
2026-05-25T04:00:00.000000000,621.27394,629.88189
2026-05-25T05:00:00.000000000,600.49576,610.04415
2026-05-25T06:00:00.000000000,551.92609,579.03688
2026-05-25T07:00:00.000000000,456.03522,535.50431
2026-05-25T08:00:00.000000000,371.22905,481.56673
2026-05-25T09:00:00.000000000,335.36567,431.67139
2026-05-25T10:00:00.000000000,303.42281,394.98722
2026-05-25T11:00:00.000000000,296.77762,376.82191
2026-05-25T12:00:00.000000000,314.44988,364.24622
2026-05-25T13:00:00.000000000,316.61237,369.9869
2026-05-25T14:00:00.000000000,310.3517,377.52267
2026-05-25T15:00:00.000000000,330.53282,407.56493
2026-05-25T16:00:00.000000000,330.72844,443.73718
2026-05-25T17:00:00.000000000,392.32567,498.19134
2026-05-25T18:00:00.000000000,479.21384,557.37799
2026-05-25T19:00:00.000000000,550.47149,606.61505
2026-05-25T20:00:00.000000000,573.56075,639.87997
2026-05-25T21:00:00.000000000,565.22263,655.39427
2026-05-25T22:00:00.000000000,564.53066,656.47951
2026-05-25T23:00:00.000000000,560.19123,654.72444
2026-05-26T00:00:00.000000000,550.7637,650.68974
2026-05-26T01:00:00.000000000,540.43511,641.85142
2026-05-26T02:00:00.000000000,532.90402,637.13577
2026-05-26T03:00:00.000000000,545.30879,636.97033
2026-05-26T04:00:00.000000000,542.37077,628.91954
2026-05-26T05:00:00.000000000,532.09459,609.5946
2026-05-26T06:00:00.000000000,498.40717,578.96132
2026-05-26T07:00:00.000000000,432.75296,535.78617
2026-05-26T08:00:00.000000000,343.92484,481.96533
2026-05-26T09:00:00.000000000,315.59325,431.80326
2026-05-26T10:00:00.000000000,286.05817,394.64458
2026-05-26T11:00:00.000000000,288.40595,375.93493
2026-05-26T12:00:00.000000000,285.39286,362.78601
2026-05-26T13:00:00.000000000,294.3829,368.18338
2026-05-26T14:00:00.000000000,315.57416,375.47889
2026-05-26T15:00:00.000000000,324.5375,405.22794
2026-05-26T16:00:00.000000000,348.01537,441.16735
2026-05-26T17:00:00.000000000,388.04021,495.44061
