datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,54.18882,117.54722
2026-05-22T01:00:00.000000000,68.14661,155.39673
2026-05-22T02:00:00.000000000,175.5181,191.64456
2026-05-22T03:00:00.000000000,255.74526,206.7403
2026-05-22T04:00:00.000000000,251.53982,212.18458
2026-05-22T05:00:00.000000000,215.98926,215.5697
2026-05-22T06:00:00.000000000,195.98086,214.93916
2026-05-22T07:00:00.000000000,219.36937,207.95328
2026-05-22T08:00:00.000000000,280.04614,211.20481
2026-05-22T09:00:00.000000000,257.54536,216.43574
2026-05-22T10:00:00.000000000,187.24273,217.42747
2026-05-22T11:00:00.000000000,152.9942,225.92517
2026-05-22T12:00:00.000000000,165.47354,227.03104
2026-05-22T13:00:00.000000000,142.30966,215.54676
2026-05-22T14:00:00.000000000,52.10225,176.33972
2026-05-22T15:00:00.000000000,35.84204,117.43037
2026-05-22T16:00:00.000000000,33.75153,83.53453
2026-05-22T17:00:00.000000000,34.73199,67.91084
2026-05-22T18:00:00.000000000,37.53585,60.07226
2026-05-22T19:00:00.000000000,42.27015,67.6819
2026-05-22T20:00:00.000000000,44.27989,67.52969
2026-05-22T21:00:00.000000000,45.98777,70.42527
2026-05-22T22:00:00.000000000,44.55509,80.90335
2026-05-22T23:00:00.000000000,46.87204,100.83031
2026-05-23T00:00:00.000000000,50.56982,120.53558
2026-05-23T01:00:00.000000000,105.60041,161.2515
2026-05-23T02:00:00.000000000,183.49641,200.47978
2026-05-23T03:00:00.000000000,214.06602,217.6181
2026-05-23T04:00:00.000000000,208.43682,218.67862
2026-05-23T05:00:00.000000000,211.89591,215.93462
2026-05-23T06:00:00.000000000,181.59682,213.56389
2026-05-23T07:00:00.000000000,150.03641,208.57118
2026-05-23T08:00:00.000000000,144.5338,212.3895
2026-05-23T09:00:00.000000000,152.62009,213.21946
2026-05-23T10:00:00.000000000,165.0888,209.986
2026-05-23T11:00:00.000000000,170.26648,218.60919
2026-05-23T12:00:00.000000000,210.13722,225.03946
2026-05-23T13:00:00.000000000,163.29749,216.72315
2026-05-23T14:00:00.000000000,52.35392,174.17365
2026-05-23T15:00:00.000000000,42.26002,111.09761
2026-05-23T16:00:00.000000000,39.85175,79.37836
2026-05-23T17:00:00.000000000,40.16465,69.64446
2026-05-23T18:00:00.000000000,40.53763,64.04003
2026-05-23T19:00:00.000000000,41.70202,68.48209
2026-05-23T20:00:00.000000000,46.49103,62.8409
2026-05-23T21:00:00.000000000,42.34359,61.47051
2026-05-23T22:00:00.000000000,40.53016,73.89626
2026-05-23T23:00:00.000000000,42.83246,100.43157
2026-05-24T00:00:00.000000000,40.70583,118.51602
2026-05-24T01:00:00.000000000,102.31891,159.07852
2026-05-24T02:00:00.000000000,251.48612,197.86008
2026-05-24T03:00:00.000000000,360.74589,214.83788
2026-05-24T04:00:00.000000000,394.47405,216.04885
2026-05-24T05:00:00.000000000,363.8151,213.53204
2026-05-24T06:00:00.000000000,310.20228,211.21706
2026-05-24T07:00:00.000000000,263.91863,206.0733
2026-05-24T08:00:00.000000000,228.77143,209.69196
2026-05-24T09:00:00.000000000,253.59743,210.2896
2026-05-24T10:00:00.000000000,229.4294,206.94379
2026-05-24T11:00:00.000000000,214.84629,215.47446
2026-05-24T12:00:00.000000000,234.98016,221.87258
2026-05-24T13:00:00.000000000,184.05097,213.97947
2026-05-24T14:00:00.000000000,66.91657,172.6467
2026-05-24T15:00:00.000000000,33.23556,111.08947
2026-05-24T16:00:00.000000000,35.09337,80.15751
2026-05-24T17:00:00.000000000,34.76168,70.20888
2026-05-24T18:00:00.000000000,37.66133,63.8155
2026-05-24T19:00:00.000000000,36.36776,67.14025
2026-05-24T20:00:00.000000000,43.36491,60.58755
2026-05-24T21:00:00.000000000,41.94551,58.80802
2026-05-24T22:00:00.000000000,47.23861,71.37462
2026-05-24T23:00:00.000000000,42.00378,98.27185
2026-05-25T00:00:00.000000000,61.82899,115.97767
2026-05-25T01:00:00.000000000,121.05292,156.20824
2026-05-25T02:00:00.000000000,187.41437,193.77797
2026-05-25T03:00:00.000000000,210.27565,210.099
2026-05-25T04:00:00.000000000,183.76381,211.46451
2026-05-25T05:00:00.000000000,189.66453,209.48835
2026-05-25T06:00:00.000000000,192.07761,207.33541
2026-05-25T07:00:00.000000000,172.87281,201.73746
2026-05-25T08:00:00.000000000,138.40563,204.7146
2026-05-25T09:00:00.000000000,142.15099,204.79461
2026-05-25T10:00:00.000000000,161.83687,201.33035
2026-05-25T11:00:00.000000000,199.71332,209.78465
2026-05-25T12:00:00.000000000,273.44074,215.95388
2026-05-25T13:00:00.000000000,283.96053,208.517
2026-05-25T14:00:00.000000000,180.61024,169.23879
2026-05-25T15:00:00.000000000,94.51732,110.49046
2026-05-25T16:00:00.000000000,50.68012,81.23675
2026-05-25T17:00:00.000000000,41.41582,71.22907
2026-05-25T18:00:00.000000000,37.38262,63.5187
2026-05-25T19:00:00.000000000,37.51406,64.58952
2026-05-25T20:00:00.000000000,30.58377,56.00827
2026-05-25T21:00:00.000000000,33.61876,53.39392
2026-05-25T22:00:00.000000000,43.85212,66.62746
2026-05-25T23:00:00.000000000,43.93417,94.86768
2026-05-26T00:00:00.000000000,46.73958,95.92929
2026-05-26T01:00:00.000000000,115.2073,136.29389
2026-05-26T02:00:00.000000000,175.36894,177.69336
2026-05-26T03:00:00.000000000,217.07555,198.66531
2026-05-26T04:00:00.000000000,201.42101,203.57897
2026-05-26T05:00:00.000000000,224.44257,202.83975
2026-05-26T06:00:00.000000000,216.79057,201.21314
2026-05-26T07:00:00.000000000,244.71074,196.34621
2026-05-26T08:00:00.000000000,249.86416,200.45046
2026-05-26T09:00:00.000000000,300.02525,200.95855
2026-05-26T10:00:00.000000000,419.9115,197.92265
2026-05-26T11:00:00.000000000,474.29142,206.3729
2026-05-26T12:00:00.000000000,464.47059,213.38623
2026-05-26T13:00:00.000000000,363.95659,208.05468
2026-05-26T14:00:00.000000000,189.57746,170.24482
2026-05-26T15:00:00.000000000,76.14179,112.31398
2026-05-26T16:00:00.000000000,60.48951,82.84915
2026-05-26T17:00:00.000000000,61.66558,71.42602
2026-05-26T18:00:00.000000000,55.81818,62.25625
2026-05-26T19:00:00.000000000,58.03326,63.50207
2026-05-26T20:00:00.000000000,97.84477,56.44138
2026-05-26T21:00:00.000000000,102.31025,53.10878
2026-05-26T22:00:00.000000000,140.73372,61.13418
2026-05-26T23:00:00.000000000,174.85368,81.84101
2026-05-27T00:00:00.000000000,112.80785,88.26819
2026-05-27T01:00:00.000000000,132.36111,128.66886
2026-05-27T02:00:00.000000000,225.87762,171.73039
2026-05-27T03:00:00.000000000,306.16953,194.68658
2026-05-27T04:00:00.000000000,379.46738,201.09393
2026-05-27T05:00:00.000000000,435.64885,200.86491
2026-05-27T06:00:00.000000000,439.5525,199.45414
2026-05-27T07:00:00.000000000,419.93186,194.88783
2026-05-27T08:00:00.000000000,421.36752,199.37462
2026-05-27T09:00:00.000000000,452.21805,199.95028
2026-05-27T10:00:00.000000000,470.07605,197.00279
2026-05-27T11:00:00.000000000,487.11462,205.55291
2026-05-27T12:00:00.000000000,515.4721,213.17707
2026-05-27T13:00:00.000000000,353.83838,208.84127
2026-05-27T14:00:00.000000000,102.61044,171.35516
2026-05-27T15:00:00.000000000,62.89514,113.24475
2026-05-27T16:00:00.000000000,59.74172,83.3548
2026-05-27T17:00:00.000000000,62.89514,71.2885
2026-05-27T18:00:00.000000000,62.1638,61.63266
2026-05-27T19:00:00.000000000,60.81108,63.16564
2026-05-27T20:00:00.000000000,58.02737,56.94805
2026-05-27T21:00:00.000000000,56.5452,53.50764
2026-05-27T22:00:00.000000000,58.81853,59.48442
2026-05-27T23:00:00.000000000,61.18512,77.09201
2026-05-28T00:00:00.000000000,62.91266,111.20831
2026-05-28T01:00:00.000000000,67.6848,151.68367
2026-05-28T02:00:00.000000000,154.55294,191.39828
2026-05-28T03:00:00.000000000,185.83333,209.77224
2026-05-28T04:00:00.000000000,190.91367,212.20439
2026-05-28T05:00:00.000000000,198.94617,210.17235
2026-05-28T06:00:00.000000000,161.08805,207.99501
2026-05-28T07:00:00.000000000,146.2173,202.90319
2026-05-28T08:00:00.000000000,159.40614,206.65181
2026-05-28T09:00:00.000000000,184.05594,207.14775
2026-05-28T10:00:00.000000000,197.80913,203.82061
2026-05-28T11:00:00.000000000,201.7432,212.29981
2026-05-28T12:00:00.000000000,267.28909,219.05312
2026-05-28T13:00:00.000000000,250.73671,212.25477
2026-05-28T14:00:00.000000000,97.04353,172.30173
2026-05-28T15:00:00.000000000,68.75731,112.02912
2026-05-28T16:00:00.000000000,67.65937,81.52187
2026-05-28T17:00:00.000000000,70.26394,70.89141
2026-05-28T18:00:00.000000000,71.95887,63.41652
2026-05-28T19:00:00.000000000,70.54563,65.9769
2026-05-28T20:00:00.000000000,65.86835,59.35238
2026-05-28T21:00:00.000000000,67.06856,57.23014
2026-05-28T22:00:00.000000000,73.63873,68.39304
2026-05-28T23:00:00.000000000,86.26804,93.19097
2026-05-23T00:00:00.000000000,50.56982,109.03854
2026-05-23T01:00:00.000000000,105.60041,140.85094
2026-05-23T02:00:00.000000000,183.49641,161.55407
2026-05-23T03:00:00.000000000,214.06602,162.91858
2026-05-23T04:00:00.000000000,208.43682,159.14663
2026-05-23T05:00:00.000000000,211.89591,161.0443
2026-05-23T06:00:00.000000000,181.59682,162.01172
2026-05-23T07:00:00.000000000,150.03641,156.69271
2026-05-23T08:00:00.000000000,144.5338,162.40817
2026-05-23T09:00:00.000000000,152.62009,172.73443
2026-05-23T10:00:00.000000000,165.0888,180.58893
2026-05-23T11:00:00.000000000,170.26648,186.2715
2026-05-23T12:00:00.000000000,210.13722,168.45939
2026-05-23T13:00:00.000000000,163.29749,137.32366
2026-05-23T14:00:00.000000000,52.35392,94.51085
2026-05-23T15:00:00.000000000,42.26002,53.05563
2026-05-23T16:00:00.000000000,39.85175,42.13292
2026-05-23T17:00:00.000000000,40.16465,46.70736
2026-05-23T18:00:00.000000000,40.53763,44.68027
2026-05-23T19:00:00.000000000,41.70202,47.74618
