datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,94.6289,113.10994
2026-05-22T01:00:00.000000000,108.54186,148.16279
2026-05-22T02:00:00.000000000,224.70974,185.0262
2026-05-22T03:00:00.000000000,312.46703,228.24232
2026-05-22T04:00:00.000000000,307.4708,272.15568
2026-05-22T05:00:00.000000000,265.33972,296.20655
2026-05-22T06:00:00.000000000,238.42903,289.41948
2026-05-22T07:00:00.000000000,265.61261,278.78475
2026-05-22T08:00:00.000000000,335.52595,280.86782
2026-05-22T09:00:00.000000000,309.23693,284.65715
2026-05-22T10:00:00.000000000,227.50903,283.99289
2026-05-22T11:00:00.000000000,187.95235,288.63839
2026-05-22T12:00:00.000000000,202.26602,298.54249
2026-05-22T13:00:00.000000000,179.36724,294.1287
2026-05-22T14:00:00.000000000,91.85236,257.20119
2026-05-22T15:00:00.000000000,78.26132,189.31038
2026-05-22T16:00:00.000000000,77.47855,123.542
2026-05-22T17:00:00.000000000,79.51214,96.90573
2026-05-22T18:00:00.000000000,83.64103,102.30556
2026-05-22T19:00:00.000000000,88.02527,111.12296
2026-05-22T20:00:00.000000000,89.11685,110.51573
2026-05-22T21:00:00.000000000,90.54657,106.36679
2026-05-22T22:00:00.000000000,87.82711,107.42275
2026-05-22T23:00:00.000000000,88.79526,122.4664
2026-05-23T00:00:00.000000000,89.49281,118.1181
2026-05-23T01:00:00.000000000,146.42288,153.93437
2026-05-23T02:00:00.000000000,231.46641,193.64959
2026-05-23T03:00:00.000000000,263.38035,235.27194
2026-05-23T04:00:00.000000000,256.74361,275.80459
2026-05-23T05:00:00.000000000,260.66171,298.80596
2026-05-23T06:00:00.000000000,222.1315,294.1747
2026-05-23T07:00:00.000000000,185.11226,285.95034
2026-05-23T08:00:00.000000000,178.68415,287.76982
2026-05-23T09:00:00.000000000,188.00125,292.16285
2026-05-23T10:00:00.000000000,202.18921,293.38608
2026-05-23T11:00:00.000000000,208.29173,300.35387
2026-05-23T12:00:00.000000000,254.74957,311.88762
2026-05-23T13:00:00.000000000,210.05018,306.45173
2026-05-23T14:00:00.000000000,97.58152,265.79067
2026-05-23T15:00:00.000000000,90.36673,194.77414
2026-05-23T16:00:00.000000000,89.04735,126.85214
2026-05-23T17:00:00.000000000,90.08426,97.12898
2026-05-23T18:00:00.000000000,90.85191,99.42323
2026-05-23T19:00:00.000000000,92.22424,108.81759
2026-05-23T20:00:00.000000000,97.662,114.30069
2026-05-23T21:00:00.000000000,89.11487,116.99063
2026-05-23T22:00:00.000000000,86.22519,120.60992
2026-05-23T23:00:00.000000000,88.60052,132.50846
2026-05-24T00:00:00.000000000,82.50911,109.63657
2026-05-24T01:00:00.000000000,147.25863,145.709
2026-05-24T02:00:00.000000000,315.50045,185.67861
2026-05-24T03:00:00.000000000,436.31353,227.80633
2026-05-24T04:00:00.000000000,475.66059,268.09059
2026-05-24T05:00:00.000000000,439.26562,290.93157
2026-05-24T06:00:00.000000000,371.10114,287.11569
2026-05-24T07:00:00.000000000,317.3469,279.60718
