datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,187.85816,220.79721
2026-05-22T01:00:00.000000000,180.01268,225.50941
2026-05-22T02:00:00.000000000,203.57458,240.97414
2026-05-22T03:00:00.000000000,208.03883,249.37204
2026-05-22T04:00:00.000000000,237.63347,253.98375
2026-05-22T05:00:00.000000000,213.05623,253.71996
2026-05-22T06:00:00.000000000,238.94375,257.48073
2026-05-22T07:00:00.000000000,235.80987,264.0155
2026-05-22T08:00:00.000000000,213.88556,268.14527
2026-05-22T09:00:00.000000000,201.17891,280.01684
2026-05-22T10:00:00.000000000,201.53626,278.63674
2026-05-22T11:00:00.000000000,215.59231,278.53463
2026-05-22T12:00:00.000000000,202.66848,275.98036
2026-05-22T13:00:00.000000000,196.39322,276.82046
2026-05-22T14:00:00.000000000,183.86116,269.2546
2026-05-22T15:00:00.000000000,169.50121,262.40567
2026-05-22T16:00:00.000000000,163.27905,251.7312
2026-05-22T17:00:00.000000000,169.41379,245.85215
2026-05-22T18:00:00.000000000,174.61721,232.92805
2026-05-22T19:00:00.000000000,179.87442,226.898
2026-05-22T20:00:00.000000000,196.21016,217.97825
2026-05-22T21:00:00.000000000,192.11121,217.98561
2026-05-22T22:00:00.000000000,203.92169,225.64781
2026-05-22T23:00:00.000000000,258.79628,229.71364
2026-05-23T00:00:00.000000000,327.61417,226.524
2026-05-23T01:00:00.000000000,396.90225,230.59433
2026-05-23T02:00:00.000000000,414.81713,242.54943
2026-05-23T03:00:00.000000000,434.59579,255.94587
2026-05-23T04:00:00.000000000,443.62426,259.81967
2026-05-23T05:00:00.000000000,375.91438,260.05503
2026-05-23T06:00:00.000000000,433.37807,268.08298
2026-05-23T07:00:00.000000000,393.64238,275.9411
2026-05-23T08:00:00.000000000,356.24629,280.59521
2026-05-23T09:00:00.000000000,361.28778,292.40408
2026-05-23T10:00:00.000000000,371.91409,291.05948
2026-05-23T11:00:00.000000000,394.30105,285.98442
2026-05-23T12:00:00.000000000,321.82116,285.80289
2026-05-23T13:00:00.000000000,280.12792,290.13098
2026-05-23T14:00:00.000000000,216.50574,283.47042
2026-05-23T15:00:00.000000000,187.60883,276.59439
2026-05-23T16:00:00.000000000,183.09422,262.73676
2026-05-23T17:00:00.000000000,188.40689,260.32982
2026-05-23T18:00:00.000000000,197.1011,252.81291
2026-05-23T19:00:00.000000000,209.15231,249.6031
2026-05-23T20:00:00.000000000,222.44754,244.62568
2026-05-23T21:00:00.000000000,215.15694,246.14999
2026-05-23T22:00:00.000000000,218.91941,249.91509
2026-05-23T23:00:00.000000000,244.24489,252.77705
2026-05-24T00:00:00.000000000,275.34656,223.47056
2026-05-24T01:00:00.000000000,343.47235,228.3715
2026-05-24T02:00:00.000000000,444.47653,245.60897
2026-05-24T03:00:00.000000000,421.09147,250.79871
2026-05-24T04:00:00.000000000,338.63288,259.19594
2026-05-24T05:00:00.000000000,228.39816,260.23322
2026-05-24T06:00:00.000000000,208.62992,263.46657
2026-05-24T07:00:00.000000000,196.98659,266.97216
2026-05-24T08:00:00.000000000,214.36968,267.51573
2026-05-24T09:00:00.000000000,205.43546,280.88823
2026-05-24T10:00:00.000000000,204.57867,279.01083
2026-05-24T11:00:00.000000000,212.05151,283.20781
2026-05-24T12:00:00.000000000,216.95874,277.60502
2026-05-24T13:00:00.000000000,215.88942,279.77915
2026-05-24T14:00:00.000000000,220.20332,275.77579
2026-05-24T15:00:00.000000000,233.0829,269.3381
2026-05-24T16:00:00.000000000,208.74971,260.12219
2026-05-24T17:00:00.000000000,206.01888,255.66903
2026-05-24T18:00:00.000000000,223.06721,238.60875
2026-05-24T19:00:00.000000000,200.54343,230.76496
2026-05-24T20:00:00.000000000,249.04248,223.03568
2026-05-24T21:00:00.000000000,271.92291,218.48599
2026-05-24T22:00:00.000000000,274.99891,223.65518
2026-05-24T23:00:00.000000000,282.11235,227.09933
2026-05-25T00:00:00.000000000,367.87249,213.32015
