datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,227.54858,265.09748
2026-05-22T01:00:00.000000000,219.2308,292.73162
2026-05-22T02:00:00.000000000,244.08542,314.06357
2026-05-22T03:00:00.000000000,249.02858,332.55898
2026-05-22T04:00:00.000000000,285.47463,335.86303
2026-05-22T05:00:00.000000000,253.49075,334.22379
2026-05-22T06:00:00.000000000,280.14856,327.97803
2026-05-22T07:00:00.000000000,277.30944,322.67073
2026-05-22T08:00:00.000000000,251.61971,312.85271
2026-05-22T09:00:00.000000000,238.13699,310.19518
2026-05-22T10:00:00.000000000,238.72789,309.7756
2026-05-22T11:00:00.000000000,255.08332,309.56583
2026-05-22T12:00:00.000000000,240.54597,313.38367
2026-05-22T13:00:00.000000000,233.79349,318.04105
2026-05-22T14:00:00.000000000,223.17298,321.00328
2026-05-22T15:00:00.000000000,208.73058,317.62482
2026-05-22T16:00:00.000000000,202.32571,305.49557
2026-05-22T17:00:00.000000000,208.60474,291.83535
2026-05-22T18:00:00.000000000,215.32636,276.85783
2026-05-22T19:00:00.000000000,221.95017,272.84359
2026-05-22T20:00:00.000000000,241.14904,267.00646
2026-05-22T21:00:00.000000000,237.70729,261.89216
2026-05-22T22:00:00.000000000,248.60455,261.28125
2026-05-22T23:00:00.000000000,313.53935,266.52096
2026-05-23T00:00:00.000000000,391.25139,298.6381
2026-05-23T01:00:00.000000000,470.58284,327.22991
2026-05-23T02:00:00.000000000,491.40833,349.62502
2026-05-23T03:00:00.000000000,513.09138,369.0883
2026-05-23T04:00:00.000000000,524.19403,370.47198
2026-05-23T05:00:00.000000000,446.16308,363.56083
2026-05-23T06:00:00.000000000,504.53708,351.89001
2026-05-23T07:00:00.000000000,460.90312,342.80093
2026-05-23T08:00:00.000000000,418.17112,331.15514
2026-05-23T09:00:00.000000000,426.57135,328.31838
2026-05-23T10:00:00.000000000,438.45342,328.5568
2026-05-23T11:00:00.000000000,462.67803,329.01336
2026-05-23T12:00:00.000000000,381.10664,333.62407
2026-05-23T13:00:00.000000000,328.81777,338.75457
2026-05-23T14:00:00.000000000,263.94869,343.68424
2026-05-23T15:00:00.000000000,231.53634,340.46069
2026-05-23T16:00:00.000000000,224.94711,325.91723
2026-05-23T17:00:00.000000000,231.5082,308.20106
2026-05-23T18:00:00.000000000,241.4611,288.88144
2026-05-23T19:00:00.000000000,257.59472,281.98123
2026-05-23T20:00:00.000000000,274.29616,275.4954
2026-05-23T21:00:00.000000000,267.8126,270.98527
2026-05-23T22:00:00.000000000,273.34151,272.08349
2026-05-23T23:00:00.000000000,304.73159,278.75
2026-05-24T00:00:00.000000000,340.81321,282.38688
2026-05-24T01:00:00.000000000,415.02235,310.305
2026-05-24T02:00:00.000000000,525.6834,331.38953
2026-05-24T03:00:00.000000000,496.10628,349.0285
2026-05-24T04:00:00.000000000,400.06154,349.66853
2026-05-24T05:00:00.000000000,270.50289,344.18801
2026-05-24T06:00:00.000000000,246.46614,335.13218
2026-05-24T07:00:00.000000000,234.4803,328.81768
2026-05-24T08:00:00.000000000,252.73044,319.57016
2026-05-24T09:00:00.000000000,243.2355,318.28591
2026-05-24T10:00:00.000000000,241.69314,318.58406
2026-05-24T11:00:00.000000000,250.25949,318.13122
2026-05-24T12:00:00.000000000,255.92125,320.69032
2026-05-24T13:00:00.000000000,255.94471,324.13667
2026-05-24T14:00:00.000000000,264.23534,327.02432
2026-05-24T15:00:00.000000000,280.58678,323.40845
2026-05-24T16:00:00.000000000,255.97737,309.25754
2026-05-24T17:00:00.000000000,254.86447,292.98535
2026-05-24T18:00:00.000000000,272.95174,275.74939
2026-05-24T19:00:00.000000000,253.77102,271.35731
2026-05-24T20:00:00.000000000,308.24433,267.69108
2026-05-24T21:00:00.000000000,334.8207,265.11801
2026-05-24T22:00:00.000000000,337.40548,266.41499
2026-05-24T23:00:00.000000000,345.08658,272.832
2026-05-25T00:00:00.000000000,439.96571,274.31134
2026-05-25T01:00:00.000000000,493.27119,301.97034
2026-05-25T02:00:00.000000000,490.93284,322.57621
2026-05-25T03:00:00.000000000,346.99338,339.61567
2026-05-25T04:00:00.000000000,278.66958,340.29953
2026-05-25T05:00:00.000000000,255.28931,335.72217
2026-05-25T06:00:00.000000000,298.84126,327.80733
2026-05-25T07:00:00.000000000,312.77815,322.42058
2026-05-25T08:00:00.000000000,349.62746,313.7651
2026-05-25T09:00:00.000000000,341.56286,312.68717
2026-05-25T10:00:00.000000000,308.55638,312.78836
2026-05-25T11:00:00.000000000,301.21736,311.91955
2026-05-25T12:00:00.000000000,313.22225,313.74987
2026-05-25T13:00:00.000000000,316.51244,316.6289
2026-05-25T14:00:00.000000000,313.59398,318.81813
2026-05-25T15:00:00.000000000,315.18856,315.28273
2026-05-25T16:00:00.000000000,318.9409,301.88923
2026-05-25T17:00:00.000000000,338.51329,286.79388
2026-05-25T18:00:00.000000000,316.0767,270.72018
2026-05-25T19:00:00.000000000,324.68181,267.31596
2026-05-25T20:00:00.000000000,282.47384,264.34801
2026-05-25T21:00:00.000000000,333.8189,262.12905
2026-05-25T22:00:00.000000000,335.69528,263.35216
2026-05-25T23:00:00.000000000,259.13307,269.56716
2026-05-26T00:00:00.000000000,260.17528,301.68787
2026-05-26T01:00:00.000000000,276.2002,329.91156
2026-05-26T02:00:00.000000000,239.17047,351.67089
2026-05-26T03:00:00.000000000,246.26577,370.32797
2026-05-26T04:00:00.000000000,235.99138,370.93066
2026-05-26T05:00:00.000000000,223.96169,363.53007
2026-05-26T06:00:00.000000000,232.23084,351.79246
2026-05-26T07:00:00.000000000,248.30789,342.81871
2026-05-26T08:00:00.000000000,289.31069,331.52505
2026-05-26T09:00:00.000000000,337.17074,329.06113
2026-05-26T10:00:00.000000000,377.86576,329.34987
2026-05-26T11:00:00.000000000,352.01952,329.57699
2026-05-26T12:00:00.000000000,299.42698,333.59928
2026-05-26T13:00:00.000000000,260.67914,338.0948
2026-05-26T14:00:00.000000000,274.10886,342.47978
2026-05-26T15:00:00.000000000,211.61893,338.99946
2026-05-26T16:00:00.000000000,191.76379,324.2264
2026-05-26T17:00:00.000000000,192.73494,306.5687
2026-05-26T18:00:00.000000000,198.98947,287.37146
2026-05-26T19:00:00.000000000,208.25496,280.86159
2026-05-26T20:00:00.000000000,202.69261,275.1457
2026-05-26T21:00:00.000000000,205.64518,271.26617
2026-05-26T22:00:00.000000000,204.3712,272.751
2026-05-26T23:00:00.000000000,203.0025,279.66972
2026-05-27T00:00:00.000000000,193.31931,319.41846
2026-05-27T01:00:00.000000000,196.25032,346.67868
2026-05-27T02:00:00.000000000,208.67122,367.24919
2026-05-27T03:00:00.000000000,227.24113,384.82144
2026-05-27T04:00:00.000000000,226.76849,384.26269
2026-05-27T05:00:00.000000000,250.72896,375.25822
2026-05-27T06:00:00.000000000,260.67865,361.99021
2026-05-27T07:00:00.000000000,284.24418,351.37898
2026-05-27T08:00:00.000000000,317.85976,339.01198
2026-05-27T09:00:00.000000000,342.07773,335.92423
2026-05-27T10:00:00.000000000,370.54552,335.86488
2026-05-27T11:00:00.000000000,404.71914,335.84316
2026-05-27T12:00:00.000000000,412.87187,339.56491
2026-05-27T13:00:00.000000000,444.0149,343.36491
2026-05-27T14:00:00.000000000,489.57775,347.56494
2026-05-27T15:00:00.000000000,481.67401,343.9055
2026-05-27T16:00:00.000000000,443.57392,329.25415
2026-05-27T17:00:00.000000000,372.56393,312.02134
2026-05-27T18:00:00.000000000,321.369,292.61091
2026-05-27T19:00:00.000000000,269.87181,285.75209
2026-05-27T20:00:00.000000000,252.7078,279.81828
2026-05-27T21:00:00.000000000,257.00097,275.82784
2026-05-27T22:00:00.000000000,300.34986,277.96689
2026-05-27T23:00:00.000000000,318.91343,285.47456
2026-05-28T00:00:00.000000000,379.23149,324.54572
2026-05-28T01:00:00.000000000,453.48025,351.78692
2026-05-28T02:00:00.000000000,532.17744,372.56484
2026-05-28T03:00:00.000000000,551.86172,390.60941
2026-05-28T04:00:00.000000000,569.78386,390.46301
2026-05-28T05:00:00.000000000,574.37242,381.28038
2026-05-28T06:00:00.000000000,586.14332,367.30975
2026-05-28T07:00:00.000000000,572.99645,355.63992
2026-05-28T08:00:00.000000000,556.42857,342.21353
2026-05-28T09:00:00.000000000,516.41847,338.30422
2026-05-28T10:00:00.000000000,519.84365,337.99029
2026-05-28T11:00:00.000000000,531.10036,338.11317
2026-05-28T12:00:00.000000000,535.98335,342.31445
2026-05-28T13:00:00.000000000,511.05171,346.39529
2026-05-28T14:00:00.000000000,475.28542,350.99296
2026-05-28T15:00:00.000000000,432.51609,347.4972
2026-05-28T16:00:00.000000000,348.72436,333.3057
2026-05-28T17:00:00.000000000,293.04983,316.47202
2026-05-28T18:00:00.000000000,247.83682,297.04838
2026-05-28T19:00:00.000000000,239.61704,289.69776
2026-05-28T20:00:00.000000000,237.72986,282.76682
2026-05-28T21:00:00.000000000,239.6694,277.92272
2026-05-28T22:00:00.000000000,231.9199,279.89489
2026-05-28T23:00:00.000000000,230.08415,287.38254
2026-05-23T00:00:00.000000000,391.25139,337.44184
2026-05-23T01:00:00.000000000,470.58284,361.27826
2026-05-23T02:00:00.000000000,491.40833,377.00626
2026-05-23T03:00:00.000000000,513.09138,389.48744
2026-05-23T04:00:00.000000000,524.19403,385.44173
2026-05-23T05:00:00.000000000,446.16308,375.33589
2026-05-23T06:00:00.000000000,504.53708,362.99636
2026-05-23T07:00:00.000000000,460.90312,353.38566
2026-05-23T08:00:00.000000000,418.17112,342.19351
2026-05-23T09:00:00.000000000,426.57135,339.57047
2026-05-23T10:00:00.000000000,438.45342,338.33667
2026-05-23T11:00:00.000000000,462.67803,336.23517
2026-05-23T12:00:00.000000000,381.10664,336.63956
2026-05-23T13:00:00.000000000,328.81777,336.781
2026-05-23T14:00:00.000000000,263.94869,337.87412
2026-05-23T15:00:00.000000000,231.53634,332.93093
2026-05-23T16:00:00.000000000,224.94711,318.60022
2026-05-23T17:00:00.000000000,231.5082,304.093
2026-05-23T18:00:00.000000000,241.4611,287.70391
2026-05-23T19:00:00.000000000,257.59472,284.31359
2026-05-23T20:00:00.000000000,274.29616,282.08772
2026-05-23T21:00:00.000000000,267.8126,280.6209
2026-05-23T22:00:00.000000000,273.34151,284.30568
2026-05-23T23:00:00.000000000,304.73159,292.45189
2026-05-24T00:00:00.000000000,340.81321,296.21553
2026-05-24T01:00:00.000000000,415.02235,323.61449
2026-05-24T02:00:00.000000000,525.6834,343.8731
2026-05-24T03:00:00.000000000,496.10628,360.64626
2026-05-24T04:00:00.000000000,400.06154,360.16409
2026-05-24T05:00:00.000000000,270.50289,353.25441
2026-05-24T06:00:00.000000000,246.46614,343.02615
2026-05-24T07:00:00.000000000,234.4803,335.70453
2026-05-24T08:00:00.000000000,252.73044,325.87608
2026-05-24T09:00:00.000000000,243.2355,324.3165
2026-05-24T10:00:00.000000000,241.69314,324.41745
2026-05-24T11:00:00.000000000,250.25949,323.80691
2026-05-24T12:00:00.000000000,255.92125,326.16405
2026-05-24T13:00:00.000000000,255.94471,329.08328
2026-05-24T14:00:00.000000000,264.23534,331.75467
2026-05-24T15:00:00.000000000,280.58678,327.71811
2026-05-24T16:00:00.000000000,255.97737,313.07005
2026-05-24T17:00:00.000000000,254.86447,296.60189
2026-05-24T18:00:00.000000000,272.95174,279.12624
2026-05-24T19:00:00.000000000,253.77102,274.68444
2026-05-24T20:00:00.000000000,308.24433,271.1874
2026-05-24T21:00:00.000000000,334.8207,268.85203
2026-05-24T22:00:00.000000000,337.40548,270.77815
2026-05-24T23:00:00.000000000,345.08658,277.74256
2026-05-25T00:00:00.000000000,439.96571,279.37608
2026-05-25T01:00:00.000000000,493.27119,306.78184
2026-05-25T02:00:00.000000000,490.93284,326.95789
2026-05-25T03:00:00.000000000,346.99338,343.53343
2026-05-25T04:00:00.000000000,278.66958,343.77019
2026-05-25T05:00:00.000000000,255.28931,338.78494
2026-05-25T06:00:00.000000000,298.84126,330.60629
2026-05-25T07:00:00.000000000,312.77815,324.94461
2026-05-25T08:00:00.000000000,349.62746,316.08042
2026-05-25T09:00:00.000000000,341.56286,314.86603
2026-05-25T10:00:00.000000000,308.55638,314.85833
2026-05-25T11:00:00.000000000,301.21736,313.91695
2026-05-25T12:00:00.000000000,313.22225,315.66281
2026-05-25T13:00:00.000000000,316.51244,318.2727
2026-05-25T14:00:00.000000000,313.59398,320.189
2026-05-25T15:00:00.000000000,315.18856,316.32273
2026-05-25T16:00:00.000000000,318.9409,302.6967
2026-05-25T17:00:00.000000000,338.51329,287.66334
2026-05-25T18:00:00.000000000,316.0767,271.74389
2026-05-25T19:00:00.000000000,324.68181,268.52963
2026-05-25T20:00:00.000000000,282.47384,265.69486
2026-05-25T21:00:00.000000000,333.8189,263.57422
2026-05-25T22:00:00.000000000,335.69528,265.04138
2026-05-25T23:00:00.000000000,259.13307,271.49465
2026-05-26T00:00:00.000000000,260.17528,303.56732
2026-05-26T01:00:00.000000000,276.2002,331.68763
2026-05-26T02:00:00.000000000,239.17047,353.3009
2026-05-26T03:00:00.000000000,246.26577,371.80962
2026-05-26T04:00:00.000000000,235.99138,372.25739
2026-05-26T05:00:00.000000000,223.96169,364.67598
2026-05-26T06:00:00.000000000,232.23084,352.78581
2026-05-26T07:00:00.000000000,248.30789,343.65889
2026-05-26T08:00:00.000000000,289.31069,332.2744
2026-05-26T09:00:00.000000000,337.17074,329.76344
2026-05-26T10:00:00.000000000,377.86576,330.01496
2026-05-26T11:00:00.000000000,352.01952,330.20561
2026-05-26T12:00:00.000000000,299.42698,334.16971
2026-05-26T13:00:00.000000000,260.67914,338.5598
2026-05-26T14:00:00.000000000,274.10886,342.88694
2026-05-26T15:00:00.000000000,211.61893,339.36
2026-05-26T16:00:00.000000000,191.76379,324.57589
2026-05-26T17:00:00.000000000,192.73494,306.965
2026-05-26T18:00:00.000000000,198.98947,287.7734
2026-05-26T19:00:00.000000000,208.25496,281.27044
2026-05-26T20:00:00.000000000,202.69261,275.57973
2026-05-26T21:00:00.000000000,205.64518,271.72587
2026-05-26T22:00:00.000000000,204.3712,273.29645
2026-05-26T23:00:00.000000000,203.0025,280.28758
2026-05-27T00:00:00.000000000,193.31931,320.00854
2026-05-27T01:00:00.000000000,196.25032,347.21387
2026-05-27T02:00:00.000000000,208.67122,367.71566
2026-05-27T03:00:00.000000000,227.24113,385.22374
2026-05-27T04:00:00.000000000,226.76849,384.61828
2026-05-27T05:00:00.000000000,250.72896,375.57496
2026-05-27T06:00:00.000000000,260.67865,362.27778
2026-05-27T07:00:00.000000000,284.24418,351.62356
2026-05-27T08:00:00.000000000,317.85976,339.22617
2026-05-27T09:00:00.000000000,342.07773,336.11623
2026-05-27T10:00:00.000000000,370.54552,336.03745
2026-05-27T11:00:00.000000000,404.71914,335.99673
2026-05-27T12:00:00.000000000,412.87187,339.69213
2026-05-27T13:00:00.000000000,444.0149,343.4498
2026-05-27T14:00:00.000000000,489.57775,347.6209
2026-05-27T15:00:00.000000000,481.67401,343.94859
2026-05-27T16:00:00.000000000,443.57392,329.31548
2026-05-27T17:00:00.000000000,372.56393,312.13041
2026-05-27T18:00:00.000000000,321.369,292.74436
2026-05-27T19:00:00.000000000,269.87181,285.89691
2026-05-27T20:00:00.000000000,252.7078,279.96933
2026-05-27T21:00:00.000000000,257.00097,275.97974
2026-05-27T22:00:00.000000000,300.34986,278.14117
2026-05-27T23:00:00.000000000,318.91343,285.66774
2026-05-28T00:00:00.000000000,379.23149,324.69835
2026-05-28T01:00:00.000000000,453.48025,351.9194
2026-05-28T02:00:00.000000000,532.17744,372.67298
2026-05-28T03:00:00.000000000,551.86172,390.69556
2026-05-28T04:00:00.000000000,569.78386,390.5378
2026-05-28T05:00:00.000000000,574.37242,381.35096
2026-05-28T06:00:00.000000000,586.14332,367.37799
2026-05-28T07:00:00.000000000,572.99645,355.69792
2026-05-28T08:00:00.000000000,556.42857,342.26287
2026-05-28T09:00:00.000000000,516.41847,338.34584
2026-05-28T10:00:00.000000000,519.84365,338.02391
2026-05-28T11:00:00.000000000,531.10036,338.13977
2026-05-28T12:00:00.000000000,535.98335,342.3303
2026-05-28T13:00:00.000000000,511.05171,346.39354
2026-05-28T14:00:00.000000000,475.28542,350.97493
2026-05-28T15:00:00.000000000,432.51609,347.47174
2026-05-28T16:00:00.000000000,348.72436,333.29006
2026-05-28T17:00:00.000000000,293.04983,316.4822
2026-05-28T18:00:00.000000000,247.83682,297.07934
2026-05-28T19:00:00.000000000,239.61704,289.74161
2026-05-28T20:00:00.000000000,237.72986,282.81559
2026-05-28T21:00:00.000000000,239.6694,277.97113
2026-05-28T22:00:00.000000000,231.9199,279.947
2026-05-28T23:00:00.000000000,230.08415,287.43735
2026-05-29T00:00:00.000000000,226.59073,323.69642
2026-05-29T01:00:00.000000000,221.11122,350.80694
2026-05-29T02:00:00.000000000,254.81475,371.28853
2026-05-29T03:00:00.000000000,294.18627,388.93325
2026-05-29T04:00:00.000000000,287.92636,388.49933
2026-05-29T05:00:00.000000000,280.29168,379.35036
2026-05-29T06:00:00.000000000,300.72185,365.66982
2026-05-29T07:00:00.000000000,335.19812,354.34053
2026-05-29T08:00:00.000000000,365.58958,341.23
2026-05-29T09:00:00.000000000,415.96037,337.54937
2026-05-29T10:00:00.000000000,398.4141,337.28987
2026-05-29T11:00:00.000000000,317.73125,337.31373
2026-05-29T12:00:00.000000000,315.79963,341.30727
2026-05-29T13:00:00.000000000,311.91573,345.23802
2026-05-29T14:00:00.000000000,282.94331,349.64248
2026-05-29T15:00:00.000000000,275.84464,346.08311
2026-05-29T16:00:00.000000000,252.5738,331.7913
2026-05-29T17:00:00.000000000,226.39727,314.93871
2026-05-29T18:00:00.000000000,217.7069,295.53519
2026-05-29T19:00:00.000000000,220.02006,288.31101
2026-05-29T20:00:00.000000000,213.10327,281.68415
2026-05-29T21:00:00.000000000,204.75773,277.11399
2026-05-29T22:00:00.000000000,200.5349,279.22036
2026-05-29T23:00:00.000000000,222.86655,286.81939
2026-05-24T00:00:00.000000000,340.81321,317.9327
2026-05-24T01:00:00.000000000,415.02235,342.43812
2026-05-24T02:00:00.000000000,525.6834,358.40273
2026-05-24T03:00:00.000000000,496.10628,371.64394
2026-05-24T04:00:00.000000000,400.06154,371.22765
2026-05-24T05:00:00.000000000,270.50289,366.7133
2026-05-24T06:00:00.000000000,246.46614,358.11698
2026-05-24T07:00:00.000000000,234.4803,348.25431
2026-05-24T08:00:00.000000000,252.73044,333.57624
2026-05-24T09:00:00.000000000,243.2355,326.80792
2026-05-24T10:00:00.000000000,241.69314,323.75199
2026-05-24T11:00:00.000000000,250.25949,322.01225
2026-05-24T12:00:00.000000000,255.92125,324.43141
2026-05-24T13:00:00.000000000,255.94471,325.46406
2026-05-24T14:00:00.000000000,264.23534,324.80174
2026-05-24T15:00:00.000000000,280.58678,318.58196
2026-05-24T16:00:00.000000000,255.97737,307.28128
2026-05-24T17:00:00.000000000,254.86447,298.76779
2026-05-24T18:00:00.000000000,272.95174,288.35393
2026-05-24T19:00:00.000000000,253.77102,287.061
2026-05-24T20:00:00.000000000,308.24433,281.09059
2026-05-24T21:00:00.000000000,334.8207,275.25171
2026-05-24T22:00:00.000000000,337.40548,277.00233
2026-05-24T23:00:00.000000000,345.08658,284.9513
2026-05-25T00:00:00.000000000,439.96571,286.56988
2026-05-25T01:00:00.000000000,493.27119,313.28482
2026-05-25T02:00:00.000000000,490.93284,332.33373
2026-05-25T03:00:00.000000000,346.99338,347.70131
2026-05-25T04:00:00.000000000,278.66958,347.09991
2026-05-25T05:00:00.000000000,255.28931,341.72226
2026-05-25T06:00:00.000000000,298.84126,333.5049
2026-05-25T07:00:00.000000000,312.77815,327.62456
2026-05-25T08:00:00.000000000,349.62746,318.49286
2026-05-25T09:00:00.000000000,341.56286,316.9824
2026-05-25T10:00:00.000000000,308.55638,316.61396
2026-05-25T11:00:00.000000000,301.21736,315.3294
2026-05-25T12:00:00.000000000,313.22225,316.60886
2026-05-25T13:00:00.000000000,316.51244,318.43244
2026-05-25T14:00:00.000000000,313.59398,319.50387
2026-05-25T15:00:00.000000000,315.18856,315.01919
2026-05-25T16:00:00.000000000,318.9409,301.34535
2026-05-25T17:00:00.000000000,338.51329,287.06759
2026-05-25T18:00:00.000000000,316.0767,272.04182
2026-05-25T19:00:00.000000000,324.68181,269.65078
2026-05-25T20:00:00.000000000,282.47384,267.3016
2026-05-25T21:00:00.000000000,333.8189,265.43306
2026-05-25T22:00:00.000000000,335.69528,267.3346
2026-05-25T23:00:00.000000000,259.13307,274.16745
2026-05-26T00:00:00.000000000,260.17528,306.12466
2026-05-26T01:00:00.000000000,276.2002,334.11488
2026-05-26T02:00:00.000000000,239.17047,355.55065
2026-05-26T03:00:00.000000000,246.26577,373.87604
2026-05-26T04:00:00.000000000,235.99138,374.10631
2026-05-26T05:00:00.000000000,223.96169,366.24989
2026-05-26T06:00:00.000000000,232.23084,354.12801
2026-05-26T07:00:00.000000000,248.30789,344.79631
2026-05-26T08:00:00.000000000,289.31069,333.3112
2026-05-26T09:00:00.000000000,337.17074,330.76445
2026-05-26T10:00:00.000000000,377.86576,330.98311
2026-05-26T11:00:00.000000000,352.01952,331.12943
2026-05-26T12:00:00.000000000,299.42698,335.01299
2026-05-26T13:00:00.000000000,260.67914,339.27095
2026-05-26T14:00:00.000000000,274.10886,343.54746
2026-05-26T15:00:00.000000000,211.61893,339.97641
2026-05-26T16:00:00.000000000,191.76379,325.15836
2026-05-26T17:00:00.000000000,192.73494,307.55778
2026-05-26T18:00:00.000000000,198.98947,288.31834
2026-05-26T19:00:00.000000000,208.25496,281.79621
2026-05-26T20:00:00.000000000,202.69261,276.152
2026-05-26T21:00:00.000000000,205.64518,272.35324
2026-05-26T22:00:00.000000000,204.3712,274.04585
2026-05-26T23:00:00.000000000,203.0025,281.13206
2026-05-27T00:00:00.000000000,193.31931,320.8172
2026-05-27T01:00:00.000000000,196.25032,347.94767
2026-05-27T02:00:00.000000000,208.67122,368.35639
2026-05-27T03:00:00.000000000,227.24113,385.7779
2026-05-27T04:00:00.000000000,226.76849,385.10925
2026-05-27T05:00:00.000000000,250.72896,376.01225
2026-05-27T06:00:00.000000000,260.67865,362.67432
2026-05-27T07:00:00.000000000,284.24418,351.96063
2026-05-27T08:00:00.000000000,317.85976,339.52134
2026-05-27T09:00:00.000000000,342.07773,336.38095
2026-05-27T10:00:00.000000000,370.54552,336.276
2026-05-27T11:00:00.000000000,404.71914,336.20974
2026-05-27T12:00:00.000000000,412.87187,339.87006
2026-05-27T13:00:00.000000000,444.0149,343.57126
2026-05-27T14:00:00.000000000,489.57775,347.70478
