datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,204.47917,208.82412
2026-05-22T01:00:00.000000000,144.33824,204.49558
2026-05-22T02:00:00.000000000,148.42857,199.70185
2026-05-22T03:00:00.000000000,148.48266,199.18914
2026-05-22T04:00:00.000000000,146.71788,198.98067
2026-05-22T05:00:00.000000000,138.85135,196.51149
2026-05-22T06:00:00.000000000,141.52893,197.4714
2026-05-22T07:00:00.000000000,134.84252,199.83435
2026-05-22T08:00:00.000000000,162.01613,200.1995
2026-05-22T09:00:00.000000000,142.65988,203.07259
2026-05-22T10:00:00.000000000,159.95223,203.81804
2026-05-22T11:00:00.000000000,160.59603,198.19748
2026-05-22T12:00:00.000000000,166.61074,194.44046
2026-05-22T13:00:00.000000000,203.63071,191.44313
2026-05-22T14:00:00.000000000,154.53846,195.46293
2026-05-22T15:00:00.000000000,150.82583,191.7602
2026-05-22T16:00:00.000000000,151.11782,186.76033
2026-05-22T17:00:00.000000000,211.53017,185.1495
2026-05-22T18:00:00.000000000,210.38136,183.95608
2026-05-22T19:00:00.000000000,204.47917,184.49187
2026-05-22T20:00:00.000000000,202.78926,186.54292
2026-05-22T21:00:00.000000000,203.34008,184.99722
2026-05-22T22:00:00.000000000,208.61345,184.56394
2026-05-22T23:00:00.000000000,209.49367,179.82437
2026-05-23T00:00:00.000000000,140.61605,205.15953
2026-05-23T01:00:00.000000000,141.42651,204.20825
2026-05-23T02:00:00.000000000,138.17664,199.41531
2026-05-23T03:00:00.000000000,145.60117,202.96024
2026-05-23T04:00:00.000000000,140.61605,204.29578
2026-05-23T05:00:00.000000000,140.21429,204.10601
2026-05-23T06:00:00.000000000,132.51366,208.83427
2026-05-23T07:00:00.000000000,150.28875,211.98059
2026-05-23T08:00:00.000000000,214.67811,213.62614
2026-05-23T09:00:00.000000000,247.62376,215.10684
2026-05-23T10:00:00.000000000,247.62376,217.20817
2026-05-23T11:00:00.000000000,247.225,213.18869
2026-05-23T12:00:00.000000000,237.71635,209.03869
2026-05-23T13:00:00.000000000,214.97826,205.91146
