datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,277.81667,298.07535
2026-05-22T01:00:00.000000000,203.35588,291.76493
2026-05-22T02:00:00.000000000,207.34286,285.39269
2026-05-22T03:00:00.000000000,206.62428,277.06487
2026-05-22T04:00:00.000000000,203.98883,271.03382
2026-05-22T05:00:00.000000000,194.00541,265.91637
2026-05-22T06:00:00.000000000,197.46281,261.23314
2026-05-22T07:00:00.000000000,188.31234,257.04685
2026-05-22T08:00:00.000000000,220.40968,254.4558
2026-05-22T09:00:00.000000000,195.78198,254.87512
2026-05-22T10:00:00.000000000,217.78344,256.92336
2026-05-22T11:00:00.000000000,219.06954,259.04749
2026-05-22T12:00:00.000000000,226.5302,262.97983
2026-05-22T13:00:00.000000000,274.53942,265.06501
2026-05-22T14:00:00.000000000,215.26769,268.84167
2026-05-22T15:00:00.000000000,211.16817,270.09154
2026-05-22T16:00:00.000000000,211.87915,270.55321
2026-05-22T17:00:00.000000000,287.01724,270.06312
2026-05-22T18:00:00.000000000,285.25847,269.09065
2026-05-22T19:00:00.000000000,277.81667,268.39912
2026-05-22T20:00:00.000000000,275.50413,266.58843
2026-05-22T21:00:00.000000000,275.88664,264.50475
2026-05-22T22:00:00.000000000,282.89916,263.04221
2026-05-22T23:00:00.000000000,284.04641,260.61214
2026-05-23T00:00:00.000000000,198.43266,278.72015
2026-05-23T01:00:00.000000000,199.42939,274.579
2026-05-23T02:00:00.000000000,194.81197,272.04511
2026-05-23T03:00:00.000000000,203.73021,268.54249
2026-05-23T04:00:00.000000000,197.12034,267.8531
2026-05-23T05:00:00.000000000,196.62571,269.88787
2026-05-23T06:00:00.000000000,186.55738,273.07221
2026-05-23T07:00:00.000000000,207.87538,276.55005
2026-05-23T08:00:00.000000000,287.87554,280.51772
2026-05-23T09:00:00.000000000,329.27228,286.48505
2026-05-23T10:00:00.000000000,328.75743,294.03953
2026-05-23T11:00:00.000000000,328.1,300.34175
2026-05-23T12:00:00.000000000,315.77885,307.59597
2026-05-23T13:00:00.000000000,286.62609,311.03603
2026-05-23T14:00:00.000000000,276.09705,314.43745
2026-05-23T15:00:00.000000000,237.90288,315.10641
2026-05-23T16:00:00.000000000,245.08059,315.44665
2026-05-23T17:00:00.000000000,248.55263,314.81236
2026-05-23T18:00:00.000000000,172.51302,314.39981
2026-05-23T19:00:00.000000000,172.34091,314.17307
2026-05-23T20:00:00.000000000,196.86471,312.34779
2026-05-23T21:00:00.000000000,151.26889,309.66118
2026-05-23T22:00:00.000000000,137.38586,306.71401
2026-05-23T23:00:00.000000000,139.02209,302.94338
2026-05-24T00:00:00.000000000,137.43838,316.51674
2026-05-24T01:00:00.000000000,138.3798,312.97665
2026-05-24T02:00:00.000000000,133.09884,310.57908
2026-05-24T03:00:00.000000000,117.88926,307.09823
2026-05-24T04:00:00.000000000,116.67608,306.50058
2026-05-24T05:00:00.000000000,119.8308,308.68084
2026-05-24T06:00:00.000000000,119.89446,311.81476
2026-05-24T07:00:00.000000000,123.98932,314.61967
2026-05-24T08:00:00.000000000,140.31393,317.87164
2026-05-24T09:00:00.000000000,140.41545,323.11948
2026-05-24T10:00:00.000000000,137.39634,329.69956
2026-05-24T11:00:00.000000000,136.08184,335.59328
2026-05-24T12:00:00.000000000,137.65051,342.38667
2026-05-24T13:00:00.000000000,137.11469,345.53503
2026-05-24T14:00:00.000000000,141.28274,349.37033
2026-05-24T15:00:00.000000000,143.77871,350.20417
2026-05-24T16:00:00.000000000,142.77433,350.51771
2026-05-24T17:00:00.000000000,162.52857,350.12494
2026-05-24T18:00:00.000000000,188.91967,350.14128
2026-05-24T19:00:00.000000000,213.77885,349.41645
2026-05-24T20:00:00.000000000,266.68826,347.27926
2026-05-24T21:00:00.000000000,275.82008,344.03468
2026-05-24T22:00:00.000000000,305.98148,340.75132
2026-05-24T23:00:00.000000000,319.20297,336.36558
2026-05-25T00:00:00.000000000,340.57143,351.34351
2026-05-25T01:00:00.000000000,357.64088,347.06558
2026-05-25T02:00:00.000000000,265.88163,343.41008
2026-05-25T03:00:00.000000000,229.02062,338.69496
2026-05-25T04:00:00.000000000,210.93082,336.60689
2026-05-25T05:00:00.000000000,203.03927,337.00657
2026-05-25T06:00:00.000000000,192.07042,338.55702
2026-05-25T07:00:00.000000000,164.61391,339.65273
2026-05-25T08:00:00.000000000,139.96146,341.16786
2026-05-25T09:00:00.000000000,128.10603,344.44223
2026-05-25T10:00:00.000000000,121.62284,349.39893
2026-05-25T11:00:00.000000000,146.0,353.82398
2026-05-25T12:00:00.000000000,183.5978,359.39582
2026-05-25T13:00:00.000000000,210.44904,361.42814
2026-05-25T14:00:00.000000000,214.04854,364.14461
2026-05-25T15:00:00.000000000,239.65827,363.67406
2026-05-25T16:00:00.000000000,249.04545,362.7986
2026-05-25T17:00:00.000000000,176.35492,361.59143
2026-05-25T18:00:00.000000000,164.04545,361.02548
2026-05-25T19:00:00.000000000,186.3288,359.72155
2026-05-25T20:00:00.000000000,268.02075,357.45592
2026-05-25T21:00:00.000000000,184.87088,354.84733
2026-05-25T22:00:00.000000000,159.5881,352.44501
2026-05-25T23:00:00.000000000,131.61101,349.13542
2026-05-26T00:00:00.000000000,114.34267,370.46314
2026-05-26T01:00:00.000000000,120.99646,364.9906
2026-05-26T02:00:00.000000000,130.7457,360.05768
2026-05-26T03:00:00.000000000,136.9519,354.19253
2026-05-26T04:00:00.000000000,138.75449,350.93317
2026-05-26T05:00:00.000000000,143.1519,349.90743
2026-05-26T06:00:00.000000000,149.30684,350.31853
2026-05-26T07:00:00.000000000,182.62331,350.01156
2026-05-26T08:00:00.000000000,300.93981,350.07894
2026-05-26T09:00:00.000000000,343.98404,351.56295
2026-05-26T10:00:00.000000000,308.25822,354.87179
2026-05-26T11:00:00.000000000,254.79921,357.57793
2026-05-26T12:00:00.000000000,246.08148,361.58159
2026-05-26T13:00:00.000000000,198.44348,362.32708
2026-05-26T14:00:00.000000000,227.21242,363.56364
2026-05-26T15:00:00.000000000,224.94098,361.73491
2026-05-26T16:00:00.000000000,226.92759,359.64564
2026-05-26T17:00:00.000000000,232.57292,357.46358
2026-05-26T18:00:00.000000000,288.71875,356.20987
2026-05-26T19:00:00.000000000,391.25,354.53816
2026-05-26T20:00:00.000000000,360.59459,352.13714
2026-05-26T21:00:00.000000000,326.95019,350.12257
2026-05-26T22:00:00.000000000,321.47419,348.63925
2026-05-26T23:00:00.000000000,294.60444,346.61438
2026-05-27T00:00:00.000000000,309.46445,354.23601
2026-05-27T01:00:00.000000000,206.92169,348.55723
2026-05-27T02:00:00.000000000,188.5765,343.7686
2026-05-27T03:00:00.000000000,180.16237,338.29559
2026-05-27T04:00:00.000000000,178.17784,335.78689
2026-05-27T05:00:00.000000000,167.1119,335.75618
2026-05-27T06:00:00.000000000,165.43675,336.90354
2026-05-27T07:00:00.000000000,204.38838,337.2113
2026-05-27T08:00:00.000000000,205.42553,337.91555
2026-05-27T09:00:00.000000000,210.47222,339.99268
2026-05-27T10:00:00.000000000,227.10702,343.86926
2026-05-27T11:00:00.000000000,222.1634,346.90469
2026-05-27T12:00:00.000000000,230.66667,350.86397
2026-05-27T13:00:00.000000000,178.82443,351.29377
2026-05-27T14:00:00.000000000,175.23058,351.77026
2026-05-27T15:00:00.000000000,170.01471,349.41788
2026-05-27T16:00:00.000000000,171.15351,346.77774
2026-05-27T17:00:00.000000000,217.12679,343.85076
2026-05-27T18:00:00.000000000,252.60088,341.74508
2026-05-27T19:00:00.000000000,282.7107,339.34154
2026-05-27T20:00:00.000000000,293.52556,336.07779
2026-05-27T21:00:00.000000000,319.78438,333.37814
2026-05-27T22:00:00.000000000,352.22544,331.42677
2026-05-27T23:00:00.000000000,325.32403,329.36256
2026-05-28T00:00:00.000000000,307.39413,352.68728
2026-05-28T01:00:00.000000000,309.25636,347.19998
2026-05-28T02:00:00.000000000,265.50887,342.45003
2026-05-28T03:00:00.000000000,273.31351,336.86177
2026-05-28T04:00:00.000000000,275.35807,334.13224
2026-05-28T05:00:00.000000000,274.39114,333.98289
2026-05-28T06:00:00.000000000,274.68934,335.05007
2026-05-28T07:00:00.000000000,282.62286,335.46763
2026-05-28T08:00:00.000000000,287.23889,336.36515
2026-05-28T09:00:00.000000000,288.43977,338.91099
2026-05-28T10:00:00.000000000,338.91553,343.32903
2026-05-28T11:00:00.000000000,380.79687,347.16185
2026-05-28T12:00:00.000000000,314.88486,352.05294
2026-05-28T13:00:00.000000000,314.72611,353.31625
2026-05-28T14:00:00.000000000,411.79944,354.80586
2026-05-28T15:00:00.000000000,392.72386,353.39037
2026-05-28T16:00:00.000000000,387.50267,351.71231
2026-05-28T17:00:00.000000000,400.44505,349.72318
2026-05-28T18:00:00.000000000,396.53168,348.48983
2026-05-28T19:00:00.000000000,385.59786,346.76889
2026-05-28T20:00:00.000000000,409.90368,344.07775
2026-05-28T21:00:00.000000000,418.35569,341.51754
2026-05-28T22:00:00.000000000,405.22034,339.3492
2026-05-28T23:00:00.000000000,402.4958,336.69039
2026-05-23T00:00:00.000000000,198.43266,279.00741
2026-05-23T01:00:00.000000000,199.42939,272.4489
2026-05-23T02:00:00.000000000,194.81197,266.54664
2026-05-23T03:00:00.000000000,203.73021,260.00457
2026-05-23T04:00:00.000000000,197.12034,256.50312
2026-05-23T05:00:00.000000000,196.62571,254.63931
2026-05-23T06:00:00.000000000,186.55738,253.41762
2026-05-23T07:00:00.000000000,207.87538,253.20776
2026-05-23T08:00:00.000000000,287.87554,254.07384
2026-05-23T09:00:00.000000000,329.27228,257.03314
2026-05-23T10:00:00.000000000,328.75743,260.95868
2026-05-23T11:00:00.000000000,328.1,263.86163
2026-05-23T12:00:00.000000000,315.77885,267.96706
2026-05-23T13:00:00.000000000,286.62609,269.36427
2026-05-23T14:00:00.000000000,276.09705,271.33532
2026-05-23T15:00:00.000000000,237.90288,270.94217
2026-05-23T16:00:00.000000000,245.08059,269.8627
2026-05-23T17:00:00.000000000,248.55263,268.18593
2026-05-23T18:00:00.000000000,172.51302,266.46109
2026-05-23T19:00:00.000000000,172.34091,265.13042
2026-05-23T20:00:00.000000000,196.86471,262.96156
2026-05-23T21:00:00.000000000,151.26889,260.57914
2026-05-23T22:00:00.000000000,137.38586,258.80744
2026-05-23T23:00:00.000000000,139.02209,256.34718
2026-05-24T00:00:00.000000000,137.43838,273.03511
2026-05-24T01:00:00.000000000,138.3798,271.04221
2026-05-24T02:00:00.000000000,133.09884,270.89767
2026-05-24T03:00:00.000000000,117.88926,269.34846
2026-05-24T04:00:00.000000000,116.67608,270.70331
2026-05-24T05:00:00.000000000,119.8308,274.91768
2026-05-24T06:00:00.000000000,119.89446,280.0098
2026-05-24T07:00:00.000000000,123.98932,285.07123
2026-05-24T08:00:00.000000000,140.31393,290.4404
2026-05-24T09:00:00.000000000,140.41545,297.9934
2026-05-24T10:00:00.000000000,137.39634,306.48856
2026-05-24T11:00:00.000000000,136.08184,314.00648
2026-05-24T12:00:00.000000000,137.65051,322.63449
2026-05-24T13:00:00.000000000,137.11469,327.78792
2026-05-24T14:00:00.000000000,141.28274,333.9339
2026-05-24T15:00:00.000000000,143.77871,337.26218
2026-05-24T16:00:00.000000000,142.77433,339.88919
2026-05-24T17:00:00.000000000,162.52857,341.33282
2026-05-24T18:00:00.000000000,188.91967,342.79146
2026-05-24T19:00:00.000000000,213.77885,343.7177
2026-05-24T20:00:00.000000000,266.68826,342.51474
2026-05-24T21:00:00.000000000,275.82008,338.97446
2026-05-24T22:00:00.000000000,305.98148,334.85306
2026-05-24T23:00:00.000000000,319.20297,329.30698
2026-05-25T00:00:00.000000000,340.57143,346.23596
2026-05-25T01:00:00.000000000,357.64088,341.57517
2026-05-25T02:00:00.000000000,265.88163,337.54741
2026-05-25T03:00:00.000000000,229.02062,332.47027
2026-05-25T04:00:00.000000000,210.93082,330.06891
2026-05-25T05:00:00.000000000,203.03927,330.27719
2026-05-25T06:00:00.000000000,192.07042,331.75066
2026-05-25T07:00:00.000000000,164.61391,332.88779
2026-05-25T08:00:00.000000000,139.96146,334.54033
2026-05-25T09:00:00.000000000,128.10603,338.10438
2026-05-25T10:00:00.000000000,121.62284,343.37699
2026-05-25T11:00:00.000000000,146.0,348.17673
2026-05-25T12:00:00.000000000,183.5978,354.10237
2026-05-25T13:00:00.000000000,210.44904,356.45147
2026-05-25T14:00:00.000000000,214.04854,359.4602
2026-05-25T15:00:00.000000000,239.65827,359.36279
2026-05-25T16:00:00.000000000,249.04545,358.93194
2026-05-25T17:00:00.000000000,176.35492,358.14146
2026-05-25T18:00:00.000000000,164.04545,357.99424
2026-05-25T19:00:00.000000000,186.3288,357.14532
2026-05-25T20:00:00.000000000,268.02075,355.20047
2026-05-25T21:00:00.000000000,184.87088,352.725
2026-05-25T22:00:00.000000000,159.5881,350.27172
2026-05-25T23:00:00.000000000,131.61101,346.72449
2026-05-26T00:00:00.000000000,114.34267,368.65803
2026-05-26T01:00:00.000000000,120.99646,363.08148
2026-05-26T02:00:00.000000000,130.7457,358.05154
2026-05-26T03:00:00.000000000,136.9519,352.09109
2026-05-26T04:00:00.000000000,138.75449,348.74956
2026-05-26T05:00:00.000000000,143.1519,347.67424
2026-05-26T06:00:00.000000000,149.30684,348.06376
2026-05-26T07:00:00.000000000,182.62331,347.7682
2026-05-26T08:00:00.000000000,300.93981,347.87274
2026-05-26T09:00:00.000000000,343.98404,349.44406
2026-05-26T10:00:00.000000000,308.25822,352.85067
2026-05-26T11:00:00.000000000,254.79921,355.66884
2026-05-26T12:00:00.000000000,246.08148,359.76983
2026-05-26T13:00:00.000000000,198.44348,360.59245
2026-05-26T14:00:00.000000000,227.21242,361.89125
2026-05-26T15:00:00.000000000,224.94098,360.15412
2026-05-26T16:00:00.000000000,226.92759,358.17679
2026-05-26T17:00:00.000000000,232.57292,356.09479
2026-05-26T18:00:00.000000000,288.71875,354.93396
2026-05-26T19:00:00.000000000,391.25,353.37039
2026-05-26T20:00:00.000000000,360.59459,351.03937
2026-05-26T21:00:00.000000000,326.95019,349.05127
2026-05-26T22:00:00.000000000,321.47419,347.54566
2026-05-26T23:00:00.000000000,294.60444,345.46251
2026-05-27T00:00:00.000000000,309.46445,353.3638
2026-05-27T01:00:00.000000000,206.92169,347.66044
2026-05-27T02:00:00.000000000,188.5765,342.85261
2026-05-27T03:00:00.000000000,180.16237,337.35855
2026-05-27T04:00:00.000000000,178.17784,334.83367
2026-05-27T05:00:00.000000000,167.1119,334.80124
2026-05-27T06:00:00.000000000,165.43675,335.95335
2026-05-27T07:00:00.000000000,204.38838,336.2793
2026-05-27T08:00:00.000000000,205.42553,337.01151
2026-05-27T09:00:00.000000000,210.47222,339.13843
2026-05-27T10:00:00.000000000,227.10702,343.07112
2026-05-27T11:00:00.000000000,222.1634,346.16489
2026-05-27T12:00:00.000000000,230.66667,350.17535
2026-05-27T13:00:00.000000000,178.82443,350.64135
2026-05-27T14:00:00.000000000,175.23058,351.14481
2026-05-27T15:00:00.000000000,170.01471,348.82978
2026-05-27T16:00:00.000000000,171.15351,346.23249
2026-05-27T17:00:00.000000000,217.12679,343.34095
2026-05-27T18:00:00.000000000,252.60088,341.26467
2026-05-27T19:00:00.000000000,282.7107,338.89678
2026-05-27T20:00:00.000000000,293.52556,335.6521
2026-05-27T21:00:00.000000000,319.78438,332.95221
2026-05-27T22:00:00.000000000,352.22544,330.98175
2026-05-27T23:00:00.000000000,325.32403,328.8884
2026-05-28T00:00:00.000000000,307.39413,352.32193
2026-05-28T01:00:00.000000000,309.25636,346.82495
2026-05-28T02:00:00.000000000,265.50887,342.0679
2026-05-28T03:00:00.000000000,273.31351,336.47218
2026-05-28T04:00:00.000000000,275.35807,333.7379
2026-05-28T05:00:00.000000000,274.39114,333.59002
2026-05-28T06:00:00.000000000,274.68934,334.66089
