datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,53.85845,56.50286
2026-05-20T04:00:00.000000000,55.52095,54.44896
2026-05-20T05:00:00.000000000,48.20894,52.67052
2026-05-20T06:00:00.000000000,44.88288,50.01987
2026-05-20T07:00:00.000000000,51.30976,48.06939
2026-05-20T08:00:00.000000000,59.42447,48.97936
2026-05-20T09:00:00.000000000,65.61527,50.08044
2026-05-20T10:00:00.000000000,56.35355,51.83143
2026-05-20T11:00:00.000000000,55.75331,52.71739
2026-05-20T12:00:00.000000000,56.44612,52.20824
2026-05-20T13:00:00.000000000,57.51382,53.18948
2026-05-20T14:00:00.000000000,55.15536,53.81368
2026-05-20T15:00:00.000000000,57.90785,55.03347
2026-05-20T16:00:00.000000000,63.97837,54.27464
2026-05-20T17:00:00.000000000,68.18544,54.11539
2026-05-20T18:00:00.000000000,61.54553,54.83876
2026-05-20T19:00:00.000000000,46.06608,53.93364
2026-05-20T20:00:00.000000000,43.72422,51.51712
2026-05-20T21:00:00.000000000,44.91993,51.03778
2026-05-20T22:00:00.000000000,45.74255,49.99357
2026-05-20T23:00:00.000000000,51.71129,51.14334
2026-05-21T00:00:00.000000000,54.3597,53.75386
2026-05-21T01:00:00.000000000,49.29825,54.56181
2026-05-21T02:00:00.000000000,53.68088,57.97886
2026-05-21T03:00:00.000000000,55.42126,58.46576
2026-05-21T04:00:00.000000000,51.49936,57.5083
2026-05-21T05:00:00.000000000,49.21922,56.77659
2026-05-21T06:00:00.000000000,44.95066,54.25518
2026-05-21T07:00:00.000000000,52.59361,51.29393
2026-05-21T08:00:00.000000000,60.2885,50.91912
2026-05-21T09:00:00.000000000,58.91993,50.43693
2026-05-21T10:00:00.000000000,55.44813,51.08922
2026-05-21T11:00:00.000000000,52.15454,51.67986
2026-05-21T12:00:00.000000000,48.70405,51.23101
2026-05-21T13:00:00.000000000,49.75229,53.09011
2026-05-21T14:00:00.000000000,51.61702,54.45984
2026-05-21T15:00:00.000000000,56.2088,56.2202
2026-05-21T16:00:00.000000000,62.67706,55.91928
2026-05-21T17:00:00.000000000,73.45072,56.01573
2026-05-21T18:00:00.000000000,69.9806,57.3271
2026-05-21T19:00:00.000000000,51.06843,57.37777
2026-05-21T20:00:00.000000000,46.72893,55.71957
2026-05-21T21:00:00.000000000,50.00049,55.61722
2026-05-21T22:00:00.000000000,46.76314,53.90763
2026-05-21T23:00:00.000000000,48.37088,53.66195
2026-05-22T00:00:00.000000000,49.65742,54.83271
2026-05-22T01:00:00.000000000,51.63197,54.75773
2026-05-22T02:00:00.000000000,59.98294,58.25205
2026-05-22T03:00:00.000000000,60.44958,56.44652
2026-05-22T04:00:00.000000000,52.0834,55.87247
2026-05-22T05:00:00.000000000,38.10498,55.55114
2026-05-22T06:00:00.000000000,35.75503,53.21597
2026-05-22T07:00:00.000000000,40.84821,50.31064
2026-05-22T08:00:00.000000000,48.16637,50.00287
2026-05-22T09:00:00.000000000,48.38585,49.56106
2026-05-22T10:00:00.000000000,45.95202,50.25614
2026-05-22T11:00:00.000000000,47.27777,50.75383
2026-05-22T12:00:00.000000000,52.20475,50.2719
2026-05-22T13:00:00.000000000,48.38205,52.23271
2026-05-22T14:00:00.000000000,45.75902,53.72668
2026-05-22T15:00:00.000000000,52.50423,55.61436
2026-05-22T16:00:00.000000000,58.38167,55.34306
2026-05-22T17:00:00.000000000,59.5237,55.32808
2026-05-22T18:00:00.000000000,60.98925,56.98216
2026-05-22T19:00:00.000000000,44.66297,57.64927
2026-05-22T20:00:00.000000000,44.12662,56.45515
2026-05-22T21:00:00.000000000,44.55257,56.73006
2026-05-22T22:00:00.000000000,49.12227,54.7186
2026-05-22T23:00:00.000000000,46.46987,53.77336
2026-05-23T00:00:00.000000000,46.68424,54.1273
2026-05-23T01:00:00.000000000,60.64159,53.41033
2026-05-23T02:00:00.000000000,61.95972,56.39435
2026-05-23T03:00:00.000000000,59.9991,51.97286
2026-05-23T04:00:00.000000000,59.15187,51.68165
2026-05-23T05:00:00.000000000,55.56669,51.82533
2026-05-23T06:00:00.000000000,59.13597,50.06811
2026-05-23T07:00:00.000000000,57.69295,47.62655
2026-05-23T08:00:00.000000000,53.47688,47.51613
2026-05-23T09:00:00.000000000,51.25367,47.27088
2026-05-23T10:00:00.000000000,48.08032,47.95457
2026-05-23T11:00:00.000000000,41.34106,48.25337
2026-05-23T12:00:00.000000000,46.19425,47.8081
2026-05-23T13:00:00.000000000,49.0001,49.92462
2026-05-23T14:00:00.000000000,52.07257,51.42007
2026-05-23T15:00:00.000000000,55.96732,53.32217
2026-05-23T16:00:00.000000000,60.01679,52.75401
2026-05-23T17:00:00.000000000,65.07498,52.0464
2026-05-23T18:00:00.000000000,58.53729,53.31513
2026-05-23T19:00:00.000000000,43.75642,53.6649
2026-05-23T20:00:00.000000000,38.11145,52.46548
2026-05-23T21:00:00.000000000,41.51249,53.12936
2026-05-23T22:00:00.000000000,40.75154,51.50624
2026-05-23T23:00:00.000000000,56.93708,50.80958
2026-05-24T00:00:00.000000000,66.18548,51.195
2026-05-24T01:00:00.000000000,67.15394,50.07863
2026-05-24T02:00:00.000000000,64.51224,52.6782
2026-05-24T03:00:00.000000000,60.58473,49.92513
2026-05-24T04:00:00.000000000,56.79164,50.60728
2026-05-24T05:00:00.000000000,55.42447,50.70714
2026-05-24T06:00:00.000000000,58.61858,47.85471
2026-05-24T07:00:00.000000000,65.77722,44.9772
2026-05-24T08:00:00.000000000,69.90997,45.64762
2026-05-24T09:00:00.000000000,60.70989,47.23257
2026-05-24T10:00:00.000000000,65.96077,49.28602
2026-05-24T11:00:00.000000000,71.96942,49.30788
2026-05-24T12:00:00.000000000,62.95782,47.90637
2026-05-24T13:00:00.000000000,61.05193,49.23502
2026-05-24T14:00:00.000000000,65.33577,51.76579
2026-05-24T15:00:00.000000000,66.66136,54.65472
2026-05-24T16:00:00.000000000,67.95102,55.93543
2026-05-24T17:00:00.000000000,64.85312,56.58716
2026-05-24T18:00:00.000000000,81.52478,58.00395
2026-05-24T19:00:00.000000000,61.39274,57.48968
2026-05-24T20:00:00.000000000,47.28835,53.50865
2026-05-24T21:00:00.000000000,46.74028,50.59269
2026-05-24T22:00:00.000000000,52.05139,46.88774
2026-05-24T23:00:00.000000000,74.08187,47.18535
2026-05-25T00:00:00.000000000,87.09967,49.21217
2026-05-25T01:00:00.000000000,98.29145,49.831
2026-05-25T02:00:00.000000000,99.66236,53.6106
2026-05-25T03:00:00.000000000,85.05477,53.84454
2026-05-25T04:00:00.000000000,74.43393,53.72632
2026-05-25T05:00:00.000000000,48.44442,53.25158
2026-05-25T06:00:00.000000000,44.01157,50.04555
2026-05-25T07:00:00.000000000,57.90591,47.06579
2026-05-25T08:00:00.000000000,62.27631,47.91767
2026-05-25T09:00:00.000000000,62.68592,49.88892
2026-05-25T10:00:00.000000000,54.72019,52.30466
2026-05-25T11:00:00.000000000,53.61873,52.68823
2026-05-25T12:00:00.000000000,47.54578,51.22866
2026-05-25T13:00:00.000000000,46.33516,52.14453
2026-05-25T14:00:00.000000000,50.42152,54.51427
2026-05-25T15:00:00.000000000,52.82344,57.38901
2026-05-25T16:00:00.000000000,54.73708,59.23493
2026-05-25T17:00:00.000000000,61.48376,60.55897
2026-05-25T18:00:00.000000000,65.33823,62.02316
2026-05-25T19:00:00.000000000,44.26852,61.3618
2026-05-25T20:00:00.000000000,44.28849,57.07835
2026-05-25T21:00:00.000000000,39.5321,53.89273
2026-05-25T22:00:00.000000000,50.71376,50.53724
2026-05-25T23:00:00.000000000,62.69271,51.67506
2026-05-26T00:00:00.000000000,82.56827,54.27688
2026-05-26T01:00:00.000000000,75.23204,55.23761
2026-05-26T02:00:00.000000000,75.87312,58.81329
2026-05-26T03:00:00.000000000,73.4863,59.25819
2026-05-26T04:00:00.000000000,66.79527,57.72986
2026-05-26T05:00:00.000000000,51.60253,56.27305
2026-05-26T06:00:00.000000000,43.34624,53.33253
2026-05-26T07:00:00.000000000,54.50682,50.44026
2026-05-26T08:00:00.000000000,58.48054,50.4066
2026-05-26T09:00:00.000000000,55.03261,50.58271
2026-05-26T10:00:00.000000000,48.22868,51.72483
2026-05-26T11:00:00.000000000,51.77046,52.60561
2026-05-26T12:00:00.000000000,47.22085,52.25794
2026-05-26T13:00:00.000000000,53.61223,53.83138
2026-05-26T14:00:00.000000000,55.12445,54.80776
2026-05-26T15:00:00.000000000,51.33134,56.11406
2026-05-26T16:00:00.000000000,63.89518,55.53836
2026-05-26T17:00:00.000000000,72.64187,55.73597
2026-05-26T18:00:00.000000000,81.3095,56.81791
2026-05-26T19:00:00.000000000,61.48739,56.32209
2026-05-26T20:00:00.000000000,55.06002,54.06954
2026-05-26T21:00:00.000000000,56.71813,53.40198
2026-05-26T22:00:00.000000000,60.46025,51.99534
2026-05-26T23:00:00.000000000,53.90265,52.63085
2026-05-27T00:00:00.000000000,46.00516,54.76924
2026-05-27T01:00:00.000000000,52.59631,55.42102
2026-05-27T02:00:00.000000000,55.90651,59.34518
2026-05-21T03:00:00.000000000,55.42126,54.09022
2026-05-21T04:00:00.000000000,51.49936,52.52576
2026-05-21T05:00:00.000000000,49.21922,51.14828
2026-05-21T06:00:00.000000000,44.95066,48.6105
2026-05-21T07:00:00.000000000,52.59361,46.42017
2026-05-21T08:00:00.000000000,60.2885,46.98301
2026-05-21T09:00:00.000000000,58.91993,47.809
2026-05-21T10:00:00.000000000,55.44813,49.44989
2026-05-21T11:00:00.000000000,52.15454,50.30915
2026-05-21T12:00:00.000000000,48.70405,49.95749
2026-05-21T13:00:00.000000000,49.75229,51.4519
2026-05-21T14:00:00.000000000,51.61702,52.4703
2026-05-21T15:00:00.000000000,56.2088,53.90846
2026-05-21T16:00:00.000000000,62.67706,53.24068
2026-05-21T17:00:00.000000000,73.45072,52.85532
2026-05-21T18:00:00.000000000,69.9806,53.49133
2026-05-21T19:00:00.000000000,51.06843,52.47378
2026-05-21T20:00:00.000000000,46.72893,49.92724
2026-05-21T21:00:00.000000000,50.00049,49.43917
2026-05-21T22:00:00.000000000,46.76314,48.2249
2026-05-21T23:00:00.000000000,48.37088,49.14294
2026-05-22T00:00:00.000000000,49.65742,51.4629
2026-05-22T01:00:00.000000000,51.63197,51.96063
2026-05-22T02:00:00.000000000,59.98294,55.46633
2026-05-22T03:00:00.000000000,60.44958,53.40993
2026-05-22T04:00:00.000000000,52.0834,53.05541
2026-05-22T05:00:00.000000000,38.10498,53.20681
2026-05-22T06:00:00.000000000,35.75503,51.5211
2026-05-22T07:00:00.000000000,40.84821,49.05012
2026-05-22T08:00:00.000000000,48.16637,48.82086
2026-05-22T09:00:00.000000000,48.38585,48.35124
2026-05-22T10:00:00.000000000,45.95202,48.92535
2026-05-22T11:00:00.000000000,47.27777,49.269
2026-05-22T12:00:00.000000000,52.20475,48.8418
2026-05-22T13:00:00.000000000,48.38205,50.84252
2026-05-22T14:00:00.000000000,45.75902,52.26359
2026-05-22T15:00:00.000000000,52.50423,54.12811
2026-05-22T16:00:00.000000000,58.38167,53.43943
2026-05-22T17:00:00.000000000,59.5237,52.64354
2026-05-22T18:00:00.000000000,60.98925,53.74567
2026-05-22T19:00:00.000000000,44.66297,54.05806
2026-05-22T20:00:00.000000000,44.12662,53.03111
2026-05-22T21:00:00.000000000,44.55257,53.75205
2026-05-22T22:00:00.000000000,49.12227,52.14853
2026-05-22T23:00:00.000000000,46.46987,51.36808
2026-05-23T00:00:00.000000000,46.68424,51.84814
2026-05-23T01:00:00.000000000,60.64159,50.92598
2026-05-23T02:00:00.000000000,61.95972,53.69544
2026-05-23T03:00:00.000000000,59.9991,49.0909
2026-05-23T04:00:00.000000000,59.15187,48.85705
2026-05-23T05:00:00.000000000,55.56669,49.05466
2026-05-23T06:00:00.000000000,59.13597,47.49252
2026-05-23T07:00:00.000000000,57.69295,45.36302
2026-05-23T08:00:00.000000000,53.47688,45.49618
2026-05-23T09:00:00.000000000,51.25367,45.60524
2026-05-23T10:00:00.000000000,48.08032,46.55372
2026-05-23T11:00:00.000000000,41.34106,46.90722
2026-05-23T12:00:00.000000000,46.19425,46.50127
2026-05-23T13:00:00.000000000,49.0001,48.44042
2026-05-23T14:00:00.000000000,52.07257,49.61719
2026-05-23T15:00:00.000000000,55.96732,51.24013
2026-05-23T16:00:00.000000000,60.01679,50.22642
2026-05-23T17:00:00.000000000,65.07498,49.06976
2026-05-23T18:00:00.000000000,58.53729,50.10698
2026-05-23T19:00:00.000000000,43.75642,50.26845
2026-05-23T20:00:00.000000000,38.11145,49.0971
2026-05-23T21:00:00.000000000,41.51249,49.89826
2026-05-23T22:00:00.000000000,40.75154,48.46848
2026-05-23T23:00:00.000000000,56.93708,47.91392
2026-05-24T00:00:00.000000000,66.18548,48.50114
2026-05-24T01:00:00.000000000,67.15394,47.39877
2026-05-24T02:00:00.000000000,64.51224,49.98014
2026-05-24T03:00:00.000000000,60.58473,46.35227
2026-05-24T04:00:00.000000000,56.79164,47.04795
2026-05-24T05:00:00.000000000,55.42447,47.41478
2026-05-24T06:00:00.000000000,58.61858,44.88177
2026-05-24T07:00:00.000000000,65.77722,42.46125
2026-05-24T08:00:00.000000000,69.90997,43.42786
2026-05-24T09:00:00.000000000,60.70989,45.35531
2026-05-24T10:00:00.000000000,65.96077,47.52849
2026-05-24T11:00:00.000000000,71.96942,47.62263
2026-05-24T12:00:00.000000000,62.95782,46.43463
