datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,149.59109,171.25368
2026-05-20T05:00:00.000000000,144.12242,167.55226
2026-05-20T06:00:00.000000000,131.78313,161.79526
2026-05-20T07:00:00.000000000,120.70871,154.91273
2026-05-20T08:00:00.000000000,121.87368,149.37977
2026-05-20T09:00:00.000000000,113.49168,143.9799
2026-05-20T10:00:00.000000000,103.41326,139.58971
2026-05-20T11:00:00.000000000,93.58616,136.45132
2026-05-20T12:00:00.000000000,94.33837,137.34456
2026-05-20T13:00:00.000000000,97.44086,139.04096
2026-05-20T14:00:00.000000000,98.94624,141.63272
2026-05-20T15:00:00.000000000,98.86818,144.26206
2026-05-20T16:00:00.000000000,99.03727,146.08697
2026-05-20T17:00:00.000000000,103.56057,148.50006
2026-05-20T18:00:00.000000000,106.03273,149.06263
2026-05-20T19:00:00.000000000,109.51619,151.38663
2026-05-20T20:00:00.000000000,110.76221,153.3612
2026-05-20T21:00:00.000000000,116.63973,158.5277
2026-05-20T22:00:00.000000000,120.15198,160.99556
2026-05-20T23:00:00.000000000,127.41201,163.73499
2026-05-21T00:00:00.000000000,127.02665,165.59064
2026-05-21T01:00:00.000000000,129.84539,167.50458
2026-05-21T02:00:00.000000000,127.57797,170.56366
2026-05-21T03:00:00.000000000,125.10528,171.33815
2026-05-21T04:00:00.000000000,131.11584,173.4796
2026-05-21T05:00:00.000000000,133.30125,169.89679
2026-05-21T06:00:00.000000000,127.13392,164.17576
2026-05-21T07:00:00.000000000,129.04303,157.49843
2026-05-21T08:00:00.000000000,124.26834,152.12212
2026-05-21T09:00:00.000000000,116.20453,146.81687
2026-05-21T10:00:00.000000000,109.34127,142.47649
2026-05-21T11:00:00.000000000,114.67541,139.4008
2026-05-21T12:00:00.000000000,116.77301,140.26317
2026-05-21T13:00:00.000000000,121.07054,141.89538
2026-05-21T14:00:00.000000000,131.58283,144.45972
2026-05-21T15:00:00.000000000,121.50107,146.95149
2026-05-21T16:00:00.000000000,126.20327,148.57188
2026-05-21T17:00:00.000000000,124.64366,150.81965
2026-05-21T18:00:00.000000000,125.24679,151.18199
2026-05-21T19:00:00.000000000,124.49972,153.15495
2026-05-21T20:00:00.000000000,124.16674,154.77988
2026-05-21T21:00:00.000000000,125.61236,159.63222
2026-05-21T22:00:00.000000000,136.91903,161.93046
2026-05-21T23:00:00.000000000,147.83956,164.59443
2026-05-22T00:00:00.000000000,167.23772,166.29654
2026-05-22T01:00:00.000000000,181.44635,168.06586
2026-05-22T02:00:00.000000000,185.68522,170.96485
2026-05-22T03:00:00.000000000,185.71438,171.77924
2026-05-22T04:00:00.000000000,180.49086,170.20252
2026-05-22T05:00:00.000000000,184.87696,166.50982
2026-05-22T06:00:00.000000000,178.37311,160.93332
2026-05-22T07:00:00.000000000,167.31087,154.37969
2026-05-22T08:00:00.000000000,167.60955,149.28142
2026-05-22T09:00:00.000000000,158.95685,144.31779
2026-05-22T10:00:00.000000000,145.24036,140.31004
2026-05-22T11:00:00.000000000,134.62277,137.45855
2026-05-22T12:00:00.000000000,138.05186,138.55235
2026-05-22T13:00:00.000000000,140.69079,140.27748
2026-05-22T14:00:00.000000000,140.65258,142.9181
2026-05-22T15:00:00.000000000,141.93254,145.48467
2026-05-22T16:00:00.000000000,132.22496,147.23787
2026-05-22T17:00:00.000000000,140.68463,149.62365
2026-05-22T18:00:00.000000000,134.3578,150.06055
2026-05-22T19:00:00.000000000,142.47918,152.27555
2026-05-22T20:00:00.000000000,156.00891,154.09892
2026-05-22T21:00:00.000000000,154.45775,159.02004
2026-05-22T22:00:00.000000000,152.91498,161.33313
2026-05-22T23:00:00.000000000,159.94057,163.75038
2026-05-23T00:00:00.000000000,177.67238,165.2194
2026-05-23T01:00:00.000000000,181.27375,166.70792
2026-05-23T02:00:00.000000000,178.27755,169.25233
2026-05-23T03:00:00.000000000,171.2468,169.67141
2026-05-23T04:00:00.000000000,161.88375,159.1589
2026-05-23T05:00:00.000000000,158.2332,155.19596
2026-05-23T06:00:00.000000000,151.44467,149.97673
2026-05-23T07:00:00.000000000,139.96184,143.67255
