datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,563.04446,527.9084
2026-05-20T05:00:00.000000000,528.46594,519.63948
2026-05-20T06:00:00.000000000,474.50909,516.12973
2026-05-20T07:00:00.000000000,464.48961,516.99533
2026-05-20T08:00:00.000000000,523.20041,521.00629
2026-05-20T09:00:00.000000000,557.69421,524.08849
2026-05-20T10:00:00.000000000,548.8045,536.6025
2026-05-20T11:00:00.000000000,581.24139,534.12844
2026-05-20T12:00:00.000000000,565.10736,536.66103
2026-05-20T13:00:00.000000000,549.42439,534.81104
2026-05-20T14:00:00.000000000,566.80653,537.88452
2026-05-20T15:00:00.000000000,543.12148,539.46378
2026-05-20T16:00:00.000000000,549.60729,540.84199
2026-05-20T17:00:00.000000000,513.32116,539.87608
2026-05-20T18:00:00.000000000,472.35529,537.08306
2026-05-20T19:00:00.000000000,456.52196,538.10276
2026-05-20T20:00:00.000000000,427.37249,544.09506
2026-05-20T21:00:00.000000000,418.31133,547.78609
2026-05-20T22:00:00.000000000,436.95123,550.15046
2026-05-20T23:00:00.000000000,472.63171,546.31492
2026-05-21T00:00:00.000000000,512.35081,538.44758
2026-05-21T01:00:00.000000000,555.58362,538.906
2026-05-21T02:00:00.000000000,562.07955,539.13261
2026-05-21T03:00:00.000000000,566.26744,534.24042
2026-05-21T04:00:00.000000000,563.74052,527.90848
2026-05-21T05:00:00.000000000,553.09796,519.63962
2026-05-21T06:00:00.000000000,504.5555,516.12981
2026-05-21T07:00:00.000000000,461.18025,516.99531
2026-05-21T08:00:00.000000000,437.50895,521.00623
2026-05-21T09:00:00.000000000,506.92576,524.08851
2026-05-21T10:00:00.000000000,536.31999,536.60253
2026-05-21T11:00:00.000000000,518.94551,534.12838
2026-05-21T12:00:00.000000000,496.71923,536.66097
2026-05-21T13:00:00.000000000,477.11443,534.81101
2026-05-21T14:00:00.000000000,476.47821,537.88461
2026-05-21T15:00:00.000000000,467.14287,539.46378
2026-05-21T16:00:00.000000000,461.67614,540.84204
2026-05-21T17:00:00.000000000,419.42806,539.87622
2026-05-21T18:00:00.000000000,405.32331,537.08311
2026-05-21T19:00:00.000000000,390.50262,538.10281
2026-05-21T20:00:00.000000000,368.55287,544.09514
2026-05-21T21:00:00.000000000,361.02811,547.78621
2026-05-21T22:00:00.000000000,365.98755,550.15051
2026-05-21T23:00:00.000000000,370.82502,546.31492
2026-05-22T00:00:00.000000000,396.43134,538.44761
2026-05-22T01:00:00.000000000,433.10379,538.90602
2026-05-22T02:00:00.000000000,457.99376,539.13258
2026-05-22T03:00:00.000000000,474.9104,534.24053
2026-05-22T04:00:00.000000000,488.32403,527.90837
2026-05-22T05:00:00.000000000,473.57144,519.63948
2026-05-22T06:00:00.000000000,427.3469,516.12973
2026-05-22T07:00:00.000000000,426.33376,516.99533
2026-05-22T08:00:00.000000000,469.32317,521.00629
2026-05-22T09:00:00.000000000,490.30274,524.08851
2026-05-22T10:00:00.000000000,505.5496,536.6025
2026-05-22T11:00:00.000000000,504.35673,534.12844
2026-05-22T12:00:00.000000000,487.96517,536.66103
2026-05-22T13:00:00.000000000,465.88379,534.81104
2026-05-22T14:00:00.000000000,464.58021,537.88452
2026-05-22T15:00:00.000000000,465.78605,539.46378
2026-05-22T16:00:00.000000000,462.65689,540.84201
2026-05-22T17:00:00.000000000,401.84649,539.87608
2026-05-22T18:00:00.000000000,371.60097,537.08306
2026-05-22T19:00:00.000000000,366.58768,538.10276
2026-05-22T20:00:00.000000000,353.67484,544.09506
2026-05-22T21:00:00.000000000,352.71512,547.78609
2026-05-22T22:00:00.000000000,368.23799,550.15046
2026-05-22T23:00:00.000000000,384.94391,546.31492
2026-05-23T00:00:00.000000000,437.6593,538.44758
2026-05-23T01:00:00.000000000,457.11193,538.906
2026-05-23T02:00:00.000000000,477.13771,539.13258
2026-05-23T03:00:00.000000000,486.96182,534.24039
2026-05-23T04:00:00.000000000,485.69082,527.90857
2026-05-23T05:00:00.000000000,491.75317,519.63973
2026-05-23T06:00:00.000000000,495.75346,516.12987
2026-05-23T07:00:00.000000000,526.85318,516.99528
2026-05-23T08:00:00.000000000,544.11704,521.00621
2026-05-23T09:00:00.000000000,545.35529,524.08851
2026-05-23T10:00:00.000000000,550.61768,536.60256
2026-05-23T11:00:00.000000000,545.27974,534.12836
2026-05-23T12:00:00.000000000,521.09692,536.66094
2026-05-23T13:00:00.000000000,506.88589,534.81101
2026-05-23T14:00:00.000000000,506.7781,537.88463
2026-05-23T15:00:00.000000000,499.97489,539.46378
2026-05-23T16:00:00.000000000,512.44998,540.84204
2026-05-23T17:00:00.000000000,481.43484,539.87633
2026-05-23T18:00:00.000000000,367.27948,537.08317
2026-05-23T19:00:00.000000000,339.4468,538.1029
2026-05-23T20:00:00.000000000,319.51083,544.09523
2026-05-23T21:00:00.000000000,310.34649,547.78632
2026-05-23T22:00:00.000000000,329.42256,550.15057
2026-05-23T23:00:00.000000000,354.17298,546.31492
2026-05-24T00:00:00.000000000,389.91875,538.44764
2026-05-24T01:00:00.000000000,445.49484,538.90605
2026-05-24T02:00:00.000000000,459.3296,539.13258
2026-05-24T03:00:00.000000000,483.81745,534.24067
2026-05-24T04:00:00.000000000,482.73492,527.90905
2026-05-24T05:00:00.000000000,477.74515,519.64038
2026-05-24T06:00:00.000000000,505.93722,516.13018
2026-05-24T07:00:00.000000000,518.55849,516.99519
2026-05-24T08:00:00.000000000,539.79734,521.00601
2026-05-24T09:00:00.000000000,533.37978,524.08857
2026-05-24T10:00:00.000000000,539.2865,536.60278
2026-05-24T11:00:00.000000000,549.13713,534.12813
2026-05-24T12:00:00.000000000,538.28919,536.66075
2026-05-24T13:00:00.000000000,523.59611,534.81093
2026-05-24T14:00:00.000000000,516.98628,537.88489
2026-05-24T15:00:00.000000000,510.28404,539.46375
2026-05-24T16:00:00.000000000,508.55072,540.84218
2026-05-24T17:00:00.000000000,508.33131,539.8769
2026-05-24T18:00:00.000000000,414.52416,537.08345
2026-05-24T19:00:00.000000000,374.18981,538.10321
2026-05-24T20:00:00.000000000,337.49247,544.09565
2026-05-24T21:00:00.000000000,325.63659,547.78683
2026-05-24T22:00:00.000000000,335.41026,550.15085
2026-05-24T23:00:00.000000000,359.46516,546.31492
2026-05-25T00:00:00.000000000,454.36539,538.44775
2026-05-25T01:00:00.000000000,515.01024,538.90619
2026-05-25T02:00:00.000000000,518.02585,539.13258
2026-05-25T03:00:00.000000000,533.57791,534.24135
2026-05-25T04:00:00.000000000,543.13883,527.90893
2026-05-25T05:00:00.000000000,515.38771,519.64024
2026-05-25T06:00:00.000000000,462.38025,516.13015
2026-05-25T07:00:00.000000000,471.23791,516.99519
2026-05-25T08:00:00.000000000,490.253,521.00606
2026-05-25T09:00:00.000000000,542.74491,524.0886
2026-05-25T10:00:00.000000000,561.08331,536.60273
2026-05-25T11:00:00.000000000,542.68369,534.12816
2026-05-25T12:00:00.000000000,540.44331,536.66078
2026-05-25T13:00:00.000000000,538.6819,534.81093
2026-05-25T14:00:00.000000000,522.51581,537.88483
2026-05-25T15:00:00.000000000,506.86948,539.46375
2026-05-25T16:00:00.000000000,540.03208,540.84218
2026-05-25T17:00:00.000000000,533.80989,539.87676
2026-05-25T18:00:00.000000000,431.68639,537.08337
2026-05-25T19:00:00.000000000,402.04651,538.10309
2026-05-25T20:00:00.000000000,360.71434,544.09557
2026-05-25T21:00:00.000000000,347.84534,547.78674
2026-05-25T22:00:00.000000000,368.1734,550.1508
2026-05-25T23:00:00.000000000,405.36477,546.31495
2026-05-26T00:00:00.000000000,452.81914,538.44775
2026-05-26T01:00:00.000000000,505.54188,538.90619
2026-05-26T02:00:00.000000000,533.24733,539.13255
2026-05-26T03:00:00.000000000,542.45376,534.24118
2026-05-26T04:00:00.000000000,536.85029,527.90848
2026-05-26T05:00:00.000000000,509.03811,519.63962
2026-05-26T06:00:00.000000000,444.10224,516.12981
2026-05-26T07:00:00.000000000,396.49085,516.99531
2026-05-26T08:00:00.000000000,507.78074,521.00623
