datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T00:00:00.000000000,602.81,619.90199
2026-05-20T01:00:00.000000000,626.57,620.79935
2026-05-20T02:00:00.000000000,629.27,615.74479
2026-05-20T03:00:00.000000000,630.63,614.36884
2026-05-20T04:00:00.000000000,626.79,615.37294
2026-05-20T05:00:00.000000000,626.79,611.81705
2026-05-20T06:00:00.000000000,647.87,605.3635
2026-05-20T07:00:00.000000000,636.17,600.11768
2026-05-20T08:00:00.000000000,636.15,596.83698
2026-05-20T09:00:00.000000000,634.61,594.38666
2026-05-20T10:00:00.000000000,635.66,585.078
2026-05-20T11:00:00.000000000,638.07,569.70561
2026-05-20T12:00:00.000000000,576.39,550.89962
2026-05-20T13:00:00.000000000,487.35,531.41526
2026-05-20T14:00:00.000000000,496.85,519.4243
2026-05-20T15:00:00.000000000,513.6,508.75618
2026-05-20T16:00:00.000000000,518.9,506.5395
2026-05-20T17:00:00.000000000,521.22,510.09442
2026-05-20T18:00:00.000000000,530.06,520.8818
2026-05-20T19:00:00.000000000,547.99,541.43811
2026-05-20T20:00:00.000000000,542.32,560.72367
2026-05-20T21:00:00.000000000,545.8,586.8716
2026-05-20T22:00:00.000000000,548.35,604.94
2026-05-20T23:00:00.000000000,571.81,615.63619
2026-05-21T00:00:00.000000000,602.81,612.67993
2026-05-21T01:00:00.000000000,626.57,613.22458
2026-05-21T02:00:00.000000000,629.27,608.56974
2026-05-21T03:00:00.000000000,630.63,606.63061
2026-05-21T04:00:00.000000000,626.79,605.22648
2026-05-21T05:00:00.000000000,617.72,598.88989
2026-05-21T06:00:00.000000000,607.88,591.11136
2026-05-21T07:00:00.000000000,606.56,585.56335
2026-05-21T08:00:00.000000000,614.16,582.64131
2026-05-21T09:00:00.000000000,615.15,581.71066
2026-05-21T10:00:00.000000000,613.62,575.13064
2026-05-21T11:00:00.000000000,612.19,563.54208
2026-05-21T12:00:00.000000000,572.34,549.42878
2026-05-21T13:00:00.000000000,519.81,535.1838
2026-05-21T14:00:00.000000000,494.09,525.67183
2026-05-21T15:00:00.000000000,509.13,516.26596
2026-05-21T16:00:00.000000000,531.1,514.68265
2026-05-21T17:00:00.000000000,556.71,516.92177
2026-05-21T18:00:00.000000000,570.64,525.38383
2026-05-21T19:00:00.000000000,584.47,541.4688
2026-05-21T20:00:00.000000000,578.53,558.71993
2026-05-21T21:00:00.000000000,561.78,582.31761
2026-05-21T22:00:00.000000000,551.48,599.28983
2026-05-21T23:00:00.000000000,575.34,609.99877
2026-05-22T00:00:00.000000000,609.15,609.16766
2026-05-22T01:00:00.000000000,620.88,609.70688
2026-05-22T02:00:00.000000000,628.37,605.40713
2026-05-22T03:00:00.000000000,630.69,603.29363
2026-05-22T04:00:00.000000000,634.19,601.0397
2026-05-22T05:00:00.000000000,634.19,593.75004
2026-05-22T06:00:00.000000000,607.88,585.60368
2026-05-22T07:00:00.000000000,606.56,580.11948
2026-05-22T08:00:00.000000000,614.16,577.31807
2026-05-22T09:00:00.000000000,615.15,576.69362
2026-05-22T10:00:00.000000000,613.62,570.48282
2026-05-22T11:00:00.000000000,612.19,559.60866
2026-05-22T12:00:00.000000000,572.34,546.80886
2026-05-22T13:00:00.000000000,519.81,534.58957
2026-05-22T14:00:00.000000000,494.09,526.32588
2026-05-22T15:00:00.000000000,509.13,518.02261
2026-05-22T16:00:00.000000000,531.1,517.06082
2026-05-22T17:00:00.000000000,556.71,519.27107
2026-05-22T18:00:00.000000000,570.64,527.27493
2026-05-22T19:00:00.000000000,584.47,542.08489
2026-05-22T20:00:00.000000000,578.53,558.60501
2026-05-22T21:00:00.000000000,561.78,581.16974
2026-05-22T22:00:00.000000000,551.48,597.34418
2026-05-22T23:00:00.000000000,575.34,607.67523
2026-05-23T00:00:00.000000000,609.15,606.06915
2026-05-23T01:00:00.000000000,620.88,606.64949
2026-05-23T02:00:00.000000000,628.37,602.80615
2026-05-23T03:00:00.000000000,630.69,601.01136
2026-05-23T04:00:00.000000000,634.19,598.48689
2026-05-23T05:00:00.000000000,651.72,590.81777
2026-05-23T06:00:00.000000000,641.2,582.69017
2026-05-23T07:00:00.000000000,633.79,577.37847
2026-05-23T08:00:00.000000000,630.94,574.63735
2026-05-23T09:00:00.000000000,626.38,574.43871
2026-05-23T10:00:00.000000000,621.29,569.26454
2026-05-23T11:00:00.000000000,622.47,559.75839
2026-05-23T12:00:00.000000000,591.47,548.54787
2026-05-23T13:00:00.000000000,555.99,537.6925
2026-05-23T14:00:00.000000000,550.87,529.72959
2026-05-23T15:00:00.000000000,547.18,521.37201
2026-05-23T16:00:00.000000000,557.93,520.28391
2026-05-23T17:00:00.000000000,558.79,521.72379
2026-05-23T18:00:00.000000000,559.6,528.71904
2026-05-23T19:00:00.000000000,539.12,541.74258
2026-05-23T20:00:00.000000000,558.42,557.13332
2026-05-23T21:00:00.000000000,559.7,578.54005
2026-05-23T22:00:00.000000000,570.31,594.22064
