datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T00:00:00.000000000,680.56,694.19447
2026-05-20T01:00:00.000000000,705.75,706.15568
2026-05-20T02:00:00.000000000,708.71,712.1824
2026-05-20T03:00:00.000000000,710.55,715.10705
2026-05-20T04:00:00.000000000,708.0,717.29149
2026-05-20T05:00:00.000000000,708.0,719.15302
2026-05-20T06:00:00.000000000,726.29,715.9619
2026-05-20T07:00:00.000000000,716.53,710.61339
2026-05-20T08:00:00.000000000,716.7,705.9309
2026-05-20T09:00:00.000000000,715.31,703.25171
2026-05-20T10:00:00.000000000,716.23,701.57765
2026-05-20T11:00:00.000000000,717.18,698.92577
2026-05-20T12:00:00.000000000,652.5,692.13678
2026-05-20T13:00:00.000000000,560.21,680.79456
2026-05-20T14:00:00.000000000,567.99,665.61108
2026-05-20T15:00:00.000000000,583.83,652.31444
2026-05-20T16:00:00.000000000,591.02,642.18284
2026-05-20T17:00:00.000000000,595.2,633.20545
2026-05-20T18:00:00.000000000,603.69,627.84328
2026-05-20T19:00:00.000000000,620.46,625.44033
2026-05-20T20:00:00.000000000,613.87,626.78627
2026-05-20T21:00:00.000000000,616.74,636.70303
2026-05-20T22:00:00.000000000,619.7,654.52824
2026-05-20T23:00:00.000000000,644.87,673.89868
2026-05-21T00:00:00.000000000,680.56,719.47577
2026-05-21T01:00:00.000000000,705.75,727.16264
2026-05-21T02:00:00.000000000,708.71,734.04928
2026-05-21T03:00:00.000000000,710.55,741.14785
2026-05-21T04:00:00.000000000,708.0,747.26689
2026-05-21T05:00:00.000000000,700.71,750.10408
2026-05-21T06:00:00.000000000,692.43,744.41724
2026-05-21T07:00:00.000000000,691.46,735.24767
2026-05-21T08:00:00.000000000,697.93,728.09845
2026-05-21T09:00:00.000000000,698.94,724.6195
2026-05-21T10:00:00.000000000,697.56,723.04777
2026-05-21T11:00:00.000000000,695.48,721.2074
2026-05-21T12:00:00.000000000,651.47,717.09576
2026-05-21T13:00:00.000000000,592.95,710.16196
2026-05-21T14:00:00.000000000,569.92,700.41266
2026-05-21T15:00:00.000000000,585.45,691.36521
2026-05-21T16:00:00.000000000,606.73,685.00503
2026-05-21T17:00:00.000000000,631.25,679.03359
2026-05-21T18:00:00.000000000,644.89,674.03998
2026-05-21T19:00:00.000000000,658.6,669.02522
2026-05-21T20:00:00.000000000,652.54,666.83021
2026-05-21T21:00:00.000000000,634.79,674.31814
2026-05-21T22:00:00.000000000,625.73,690.74105
2026-05-21T23:00:00.000000000,651.8,706.9578
2026-05-22T00:00:00.000000000,687.9,713.93775
2026-05-22T01:00:00.000000000,699.18,722.7683
2026-05-22T02:00:00.000000000,705.38,733.9669
2026-05-22T03:00:00.000000000,707.15,744.4264
2026-05-22T04:00:00.000000000,714.05,750.08052
2026-05-22T05:00:00.000000000,714.05,751.64771
2026-05-22T06:00:00.000000000,692.43,747.67568
2026-05-22T07:00:00.000000000,691.46,742.91592
2026-05-22T08:00:00.000000000,697.93,738.8633
2026-05-22T09:00:00.000000000,698.94,734.87935
2026-05-22T10:00:00.000000000,697.56,729.49676
2026-05-22T11:00:00.000000000,695.48,723.02782
2026-05-22T12:00:00.000000000,651.47,717.34564
2026-05-22T13:00:00.000000000,592.95,712.50638
2026-05-22T14:00:00.000000000,569.92,706.31159
2026-05-22T15:00:00.000000000,585.45,700.48113
2026-05-22T16:00:00.000000000,606.73,695.25865
2026-05-22T17:00:00.000000000,631.25,688.00138
2026-05-22T18:00:00.000000000,644.89,681.2321
2026-05-22T19:00:00.000000000,658.6,676.98395
2026-05-22T20:00:00.000000000,652.54,676.50769
2026-05-22T21:00:00.000000000,634.79,682.88545
2026-05-22T22:00:00.000000000,625.73,694.38133
2026-05-22T23:00:00.000000000,651.8,704.28617
2026-05-23T00:00:00.000000000,687.9,707.29259
2026-05-23T01:00:00.000000000,699.18,716.79149
2026-05-23T02:00:00.000000000,705.38,730.59509
2026-05-23T03:00:00.000000000,707.15,743.75611
2026-05-23T04:00:00.000000000,714.05,750.69526
2026-05-23T05:00:00.000000000,729.42,752.32965
2026-05-23T06:00:00.000000000,720.72,748.39805
2026-05-23T07:00:00.000000000,714.69,744.38016
2026-05-23T08:00:00.000000000,712.24,741.13945
2026-05-23T09:00:00.000000000,708.35,737.35382
2026-05-23T10:00:00.000000000,704.04,731.59812
2026-05-23T11:00:00.000000000,704.6,724.39297
2026-05-23T12:00:00.000000000,674.66,718.03024
2026-05-23T13:00:00.000000000,637.67,713.27651
2026-05-23T14:00:00.000000000,631.98,708.02211
2026-05-23T15:00:00.000000000,627.61,702.87978
2026-05-23T16:00:00.000000000,636.73,697.73576
2026-05-23T17:00:00.000000000,637.35,689.96256
2026-05-23T18:00:00.000000000,638.04,682.19929
2026-05-23T19:00:00.000000000,616.37,677.49885
2026-05-23T20:00:00.000000000,636.18,676.99829
2026-05-23T21:00:00.000000000,637.47,682.60849
2026-05-23T22:00:00.000000000,649.49,692.32157
2026-05-23T23:00:00.000000000,657.54,700.26922
2026-05-24T00:00:00.000000000,659.24,700.80862
2026-05-24T01:00:00.000000000,650.69,710.17845
2026-05-24T02:00:00.000000000,656.32,726.6964
2026-05-24T03:00:00.000000000,676.04,743.93513
2026-05-24T04:00:00.000000000,696.03,754.39673
2026-05-24T05:00:00.000000000,690.37,757.18871
2026-05-24T06:00:00.000000000,684.19,752.44229
2026-05-24T07:00:00.000000000,677.71,747.52946
2026-05-24T08:00:00.000000000,668.29,744.22535
2026-05-24T09:00:00.000000000,662.55,741.22301
2026-05-24T10:00:00.000000000,654.87,736.84859
2026-05-24T11:00:00.000000000,646.79,730.26299
2026-05-24T12:00:00.000000000,631.63,722.50207
2026-05-24T13:00:00.000000000,612.22,716.29994
2026-05-24T14:00:00.000000000,618.96,711.2155
2026-05-24T15:00:00.000000000,620.38,706.12055
2026-05-24T16:00:00.000000000,616.6,700.82629
2026-05-24T17:00:00.000000000,616.75,693.14336
2026-05-24T18:00:00.000000000,627.96,685.38865
2026-05-24T19:00:00.000000000,645.37,680.87378
2026-05-24T20:00:00.000000000,660.16,680.60595
2026-05-24T21:00:00.000000000,651.1,685.53996
2026-05-24T22:00:00.000000000,641.33,693.5694
2026-05-24T23:00:00.000000000,644.86,699.50895
2026-05-25T00:00:00.000000000,680.28,698.82171
2026-05-25T01:00:00.000000000,695.88,708.54325
2026-05-25T02:00:00.000000000,687.85,725.1959
2026-05-25T03:00:00.000000000,707.51,742.56311
2026-05-25T04:00:00.000000000,701.53,753.60574
2026-05-25T05:00:00.000000000,701.53,756.78062
2026-05-25T06:00:00.000000000,684.19,751.85392
2026-05-25T07:00:00.000000000,677.71,746.54326
2026-05-25T08:00:00.000000000,668.29,743.17442
2026-05-25T09:00:00.000000000,662.55,740.61477
2026-05-25T10:00:00.000000000,654.87,736.96493
2026-05-25T11:00:00.000000000,646.79,730.88041
2026-05-25T12:00:00.000000000,631.63,722.62355
2026-05-25T13:00:00.000000000,612.22,715.58959
2026-05-25T14:00:00.000000000,618.96,710.3064
2026-05-25T15:00:00.000000000,620.38,705.30093
2026-05-25T16:00:00.000000000,616.6,700.1498
2026-05-25T17:00:00.000000000,616.75,692.82504
2026-05-25T18:00:00.000000000,627.96,685.57737
2026-05-25T19:00:00.000000000,645.37,681.34651
2026-05-25T20:00:00.000000000,660.16,681.04278
2026-05-25T21:00:00.000000000,651.1,685.45275
2026-05-25T22:00:00.000000000,641.33,692.66901
2026-05-25T23:00:00.000000000,644.86,698.2542
2026-05-26T00:00:00.000000000,680.28,701.63596
2026-05-26T01:00:00.000000000,695.88,712.07068
2026-05-26T02:00:00.000000000,687.85,728.19061
2026-05-26T03:00:00.000000000,707.51,743.22152
2026-05-26T04:00:00.000000000,701.53,750.31319
2026-05-26T05:00:00.000000000,684.14,750.89832
2026-05-26T06:00:00.000000000,689.29,746.07314
2026-05-26T07:00:00.000000000,690.58,741.98284
2026-05-26T08:00:00.000000000,687.04,739.06098
2026-05-26T09:00:00.000000000,688.38,735.25853
2026-05-26T10:00:00.000000000,685.36,729.43299
2026-05-26T11:00:00.000000000,684.54,722.49207
2026-05-26T12:00:00.000000000,653.09,716.79836
2026-05-26T13:00:00.000000000,621.25,713.0796
2026-05-26T14:00:00.000000000,629.68,708.79743
2026-05-26T15:00:00.000000000,633.27,703.75827
2026-05-26T16:00:00.000000000,635.2,697.90946
2026-05-26T17:00:00.000000000,630.23,689.11769
2026-05-26T18:00:00.000000000,615.28,680.09409
2026-05-26T19:00:00.000000000,635.28,674.73094
2026-05-26T20:00:00.000000000,630.64,674.36925
2026-05-26T21:00:00.000000000,638.83,680.06395
2026-05-26T22:00:00.000000000,641.18,689.30968
2026-05-26T23:00:00.000000000,651.26,696.42784
2026-05-21T00:00:00.000000000,680.56,695.60314
2026-05-21T01:00:00.000000000,705.75,707.6762
2026-05-21T02:00:00.000000000,708.71,713.42086
2026-05-21T03:00:00.000000000,710.55,715.89013
2026-05-21T04:00:00.000000000,708.0,717.85257
2026-05-21T05:00:00.000000000,700.71,719.78088
2026-05-21T06:00:00.000000000,692.43,716.7106
2026-05-21T07:00:00.000000000,691.46,711.39494
2026-05-21T08:00:00.000000000,697.93,706.71499
2026-05-21T09:00:00.000000000,698.94,704.02561
2026-05-21T10:00:00.000000000,697.56,702.4416
2026-05-21T11:00:00.000000000,695.48,699.9202
2026-05-21T12:00:00.000000000,651.47,693.14861
2026-05-21T13:00:00.000000000,592.95,681.66477
2026-05-21T14:00:00.000000000,569.92,666.2436
2026-05-21T15:00:00.000000000,585.45,652.63635
2026-05-21T16:00:00.000000000,606.73,642.43823
2026-05-21T17:00:00.000000000,631.25,633.84964
2026-05-21T18:00:00.000000000,644.89,629.04498
2026-05-21T19:00:00.000000000,658.6,626.92087
2026-05-21T20:00:00.000000000,652.54,628.12713
2026-05-21T21:00:00.000000000,634.79,637.75835
2026-05-21T22:00:00.000000000,625.73,655.54506
2026-05-21T23:00:00.000000000,651.8,675.21305
2026-05-22T00:00:00.000000000,687.9,720.0129
2026-05-22T01:00:00.000000000,699.18,727.29319
2026-05-22T02:00:00.000000000,705.38,733.78048
2026-05-22T03:00:00.000000000,707.15,740.12709
2026-05-22T04:00:00.000000000,714.05,745.38375
2026-05-22T05:00:00.000000000,714.05,747.67012
2026-05-22T06:00:00.000000000,692.43,741.80701
2026-05-22T07:00:00.000000000,691.46,732.66339
2026-05-22T08:00:00.000000000,697.93,725.63668
2026-05-22T09:00:00.000000000,698.94,722.28763
2026-05-22T10:00:00.000000000,697.56,720.93762
2026-05-22T11:00:00.000000000,695.48,719.53509
2026-05-22T12:00:00.000000000,651.47,715.75821
2026-05-22T13:00:00.000000000,592.95,708.83757
2026-05-22T14:00:00.000000000,569.92,698.74154
2026-05-22T15:00:00.000000000,585.45,689.51647
2026-05-22T16:00:00.000000000,606.73,683.50088
2026-05-22T17:00:00.000000000,631.25,678.24779
2026-05-22T18:00:00.000000000,644.89,673.99288
2026-05-22T19:00:00.000000000,658.6,669.76029
2026-05-22T20:00:00.000000000,652.54,668.20336
2026-05-22T21:00:00.000000000,634.79,676.13616
2026-05-22T22:00:00.000000000,625.73,692.80563
2026-05-22T23:00:00.000000000,651.8,708.81086
2026-05-23T00:00:00.000000000,687.9,713.16192
2026-05-23T01:00:00.000000000,699.18,722.20168
2026-05-23T02:00:00.000000000,705.38,733.84065
2026-05-23T03:00:00.000000000,707.15,744.64422
2026-05-23T04:00:00.000000000,714.05,750.35805
2026-05-23T05:00:00.000000000,729.42,751.88409
2026-05-23T06:00:00.000000000,720.72,748.01346
2026-05-23T07:00:00.000000000,714.69,743.54631
2026-05-23T08:00:00.000000000,712.24,739.74137
2026-05-23T09:00:00.000000000,708.35,735.7798
2026-05-23T10:00:00.000000000,704.04,730.21498
2026-05-23T11:00:00.000000000,704.6,723.47668
2026-05-23T12:00:00.000000000,674.66,717.60689
2026-05-23T13:00:00.000000000,637.67,712.77432
2026-05-23T14:00:00.000000000,631.98,706.74465
2026-05-23T15:00:00.000000000,627.61,701.04181
2026-05-23T16:00:00.000000000,636.73,695.85488
2026-05-23T17:00:00.000000000,637.35,688.57421
2026-05-23T18:00:00.000000000,638.04,681.76404
2026-05-23T19:00:00.000000000,616.37,677.58229
2026-05-23T20:00:00.000000000,636.18,677.16091
2026-05-23T21:00:00.000000000,637.47,683.3325
2026-05-23T22:00:00.000000000,649.49,694.38858
2026-05-23T23:00:00.000000000,657.54,703.88277
2026-05-24T00:00:00.000000000,659.24,702.45853
2026-05-24T01:00:00.000000000,650.69,711.89565
2026-05-24T02:00:00.000000000,656.32,727.94756
2026-05-24T03:00:00.000000000,676.04,744.54094
2026-05-24T04:00:00.000000000,696.03,754.59641
2026-05-24T05:00:00.000000000,690.37,757.32138
2026-05-24T06:00:00.000000000,684.19,752.63782
2026-05-24T07:00:00.000000000,677.71,747.75372
2026-05-24T08:00:00.000000000,668.29,744.45654
2026-05-24T09:00:00.000000000,662.55,741.45301
2026-05-24T10:00:00.000000000,654.87,737.01764
2026-05-24T11:00:00.000000000,646.79,730.32879
2026-05-24T12:00:00.000000000,631.63,722.47689
2026-05-24T13:00:00.000000000,612.22,716.16095
2026-05-24T14:00:00.000000000,618.96,710.93244
2026-05-24T15:00:00.000000000,620.38,705.75217
2026-05-24T16:00:00.000000000,616.6,700.48886
2026-05-24T17:00:00.000000000,616.75,693.035
2026-05-24T18:00:00.000000000,627.96,685.70384
2026-05-24T19:00:00.000000000,645.37,681.50957
2026-05-24T20:00:00.000000000,660.16,681.30606
2026-05-24T21:00:00.000000000,651.1,686.20069
2026-05-24T22:00:00.000000000,641.33,694.31154
2026-05-24T23:00:00.000000000,644.86,700.55026
