datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,294.97555,311.50976
2026-05-22T01:00:00.000000000,306.28798,309.54924
2026-05-22T02:00:00.000000000,320.62465,313.48138
2026-05-22T03:00:00.000000000,327.59243,315.9206
2026-05-22T04:00:00.000000000,315.15448,317.81053
2026-05-22T05:00:00.000000000,297.56172,318.45529
2026-05-22T06:00:00.000000000,293.676,315.82656
2026-05-22T07:00:00.000000000,290.52321,312.05412
2026-05-22T08:00:00.000000000,288.58979,308.15858
2026-05-22T09:00:00.000000000,286.85428,299.73857
2026-05-22T10:00:00.000000000,289.91025,293.15498
2026-05-22T11:00:00.000000000,290.91336,289.41795
2026-05-22T12:00:00.000000000,278.13507,286.18019
2026-05-22T13:00:00.000000000,261.7055,287.01686
2026-05-22T14:00:00.000000000,248.51245,289.36005
2026-05-22T15:00:00.000000000,237.19001,288.19321
2026-05-22T16:00:00.000000000,229.59825,284.23763
2026-05-22T17:00:00.000000000,233.80289,280.53713
2026-05-22T18:00:00.000000000,245.57619,282.19298
2026-05-22T19:00:00.000000000,261.10242,286.6327
2026-05-22T20:00:00.000000000,271.70291,292.42008
2026-05-22T21:00:00.000000000,274.35089,298.04989
2026-05-22T22:00:00.000000000,283.44854,304.17799
2026-05-22T23:00:00.000000000,301.25695,310.25898
2026-05-23T00:00:00.000000000,301.14595,332.43371
2026-05-23T01:00:00.000000000,301.92982,332.43686
2026-05-23T02:00:00.000000000,306.77848,337.8696
2026-05-23T03:00:00.000000000,306.77215,341.81866
2026-05-23T04:00:00.000000000,309.06355,343.66731
2026-05-23T05:00:00.000000000,295.81553,343.8481
2026-05-23T06:00:00.000000000,290.97342,339.87018
2026-05-23T07:00:00.000000000,290.19837,334.39574
2026-05-23T08:00:00.000000000,282.932,331.50728
2026-05-23T09:00:00.000000000,263.42927,325.23417
2026-05-23T10:00:00.000000000,258.60484,321.5205
2026-05-23T11:00:00.000000000,259.81633,320.73628
2026-05-23T12:00:00.000000000,256.26482,319.01548
2026-05-23T13:00:00.000000000,249.67444,318.67098
2026-05-23T14:00:00.000000000,243.57366,318.12676
2026-05-23T15:00:00.000000000,239.08637,313.97109
2026-05-23T16:00:00.000000000,242.44622,306.50446
2026-05-23T17:00:00.000000000,246.06596,298.13638
2026-05-23T18:00:00.000000000,240.69075,295.2669
2026-05-23T19:00:00.000000000,241.3337,298.103
2026-05-23T20:00:00.000000000,250.00274,304.11136
2026-05-23T21:00:00.000000000,253.12147,310.84282
2026-05-23T22:00:00.000000000,267.31294,319.03717
2026-05-23T23:00:00.000000000,265.48428,328.34457
2026-05-24T00:00:00.000000000,266.82093,346.25137
2026-05-24T01:00:00.000000000,275.11332,348.01591
2026-05-24T02:00:00.000000000,280.03478,354.47939
2026-05-24T03:00:00.000000000,275.90342,359.26374
2026-05-24T04:00:00.000000000,259.3272,361.49548
2026-05-24T05:00:00.000000000,254.54142,362.45736
2026-05-24T06:00:00.000000000,256.55478,358.56018
2026-05-24T07:00:00.000000000,253.27497,353.0122
2026-05-24T08:00:00.000000000,248.35491,351.5696
2026-05-24T09:00:00.000000000,246.16787,347.49151
2026-05-24T10:00:00.000000000,245.95754,345.18078
2026-05-24T11:00:00.000000000,250.4514,344.84455
2026-05-24T12:00:00.000000000,250.7119,342.24488
2026-05-24T13:00:00.000000000,241.00687,338.89577
