datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,29.31561,25.69757
2026-05-20T05:00:00.000000000,27.62851,25.53534
2026-05-20T06:00:00.000000000,24.81562,25.48797
2026-05-20T07:00:00.000000000,24.15227,25.49149
2026-05-20T08:00:00.000000000,23.3566,25.54321
2026-05-20T09:00:00.000000000,22.30892,25.58204
2026-05-20T10:00:00.000000000,21.56402,25.6976
2026-05-20T11:00:00.000000000,21.47629,25.89807
2026-05-20T12:00:00.000000000,20.92526,26.07885
2026-05-20T13:00:00.000000000,22.56487,26.33876
2026-05-20T14:00:00.000000000,23.1194,26.70129
2026-05-20T15:00:00.000000000,23.08194,27.10744
2026-05-20T16:00:00.000000000,22.42308,27.38843
2026-05-20T17:00:00.000000000,22.80587,27.62692
2026-05-20T18:00:00.000000000,25.06036,27.78719
2026-05-20T19:00:00.000000000,25.36284,27.83512
2026-05-20T20:00:00.000000000,26.48199,27.82206
2026-05-20T21:00:00.000000000,27.47603,27.6848
2026-05-20T22:00:00.000000000,28.20924,27.49973
2026-05-20T23:00:00.000000000,29.30916,27.28034
2026-05-21T00:00:00.000000000,29.19846,27.08007
2026-05-21T01:00:00.000000000,30.07083,26.86578
2026-05-21T02:00:00.000000000,29.73102,26.63723
2026-05-21T03:00:00.000000000,30.53468,26.44231
2026-05-21T04:00:00.000000000,31.40058,23.04978
2026-05-21T05:00:00.000000000,30.40248,22.86007
2026-05-21T06:00:00.000000000,27.21682,22.77958
2026-05-21T07:00:00.000000000,26.01814,22.74701
2026-05-21T08:00:00.000000000,24.44754,22.78969
2026-05-21T09:00:00.000000000,24.06618,22.84221
2026-05-21T10:00:00.000000000,23.03779,23.01032
2026-05-21T11:00:00.000000000,22.37449,23.30866
2026-05-21T12:00:00.000000000,22.5754,23.63274
2026-05-21T13:00:00.000000000,22.54744,24.04445
2026-05-21T14:00:00.000000000,22.44229,24.55535
2026-05-21T15:00:00.000000000,22.2883,25.09471
2026-05-21T16:00:00.000000000,20.33267,25.47288
2026-05-21T17:00:00.000000000,20.84801,25.76148
2026-05-21T18:00:00.000000000,22.22517,25.93311
2026-05-21T19:00:00.000000000,22.52537,25.94901
2026-05-21T20:00:00.000000000,23.36331,25.88398
2026-05-21T21:00:00.000000000,23.8301,25.69055
2026-05-21T22:00:00.000000000,22.55423,25.43763
2026-05-21T23:00:00.000000000,22.48015,25.14206
2026-05-22T00:00:00.000000000,21.44615,24.88385
2026-05-22T01:00:00.000000000,20.20177,24.62088
2026-05-22T02:00:00.000000000,20.13716,24.34882
2026-05-22T03:00:00.000000000,20.24958,24.12701
2026-05-22T04:00:00.000000000,20.19462,21.14772
2026-05-22T05:00:00.000000000,20.02606,20.95661
2026-05-22T06:00:00.000000000,19.50694,20.86443
2026-05-22T07:00:00.000000000,18.91985,20.81022
2026-05-22T08:00:00.000000000,18.40923,20.84262
2026-05-22T09:00:00.000000000,18.10579,20.89489
2026-05-22T10:00:00.000000000,19.54178,21.09263
2026-05-22T11:00:00.000000000,19.96031,21.46191
2026-05-22T12:00:00.000000000,20.88949,21.9045
2026-05-22T13:00:00.000000000,21.04155,22.45696
2026-05-22T14:00:00.000000000,21.29576,23.11869
2026-05-22T15:00:00.000000000,21.37336,23.79953
2026-05-22T16:00:00.000000000,19.26964,24.28855
2026-05-22T17:00:00.000000000,18.92286,24.63875
2026-05-22T18:00:00.000000000,19.90899,24.82546
2026-05-22T19:00:00.000000000,20.24638,24.80323
2026-05-22T20:00:00.000000000,21.19983,24.66451
2026-05-22T21:00:00.000000000,21.09421,24.38227
2026-05-22T22:00:00.000000000,19.45002,24.02859
2026-05-22T23:00:00.000000000,19.52628,23.62944
2026-05-23T00:00:00.000000000,20.47832,23.29197
2026-05-23T01:00:00.000000000,20.37611,22.97606
2026-05-23T02:00:00.000000000,20.54341,22.66766
2026-05-23T03:00:00.000000000,21.00337,22.43114
2026-05-23T04:00:00.000000000,21.09803,19.9117
2026-05-23T05:00:00.000000000,21.17881,19.74517
2026-05-23T06:00:00.000000000,21.65881,19.67519
2026-05-23T07:00:00.000000000,22.51678,19.63741
2026-05-23T08:00:00.000000000,22.30192,19.68973
2026-05-23T09:00:00.000000000,23.77111,19.76173
