datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,29.48465,25.72487
2026-05-20T06:00:00.000000000,19.82603,23.37753
2026-05-20T07:00:00.000000000,17.46948,19.87293
2026-05-20T08:00:00.000000000,14.89713,22.08652
2026-05-20T09:00:00.000000000,14.38949,22.16063
2026-05-20T10:00:00.000000000,15.01483,21.29401
2026-05-20T11:00:00.000000000,14.74469,23.85828
2026-05-20T12:00:00.000000000,13.3771,23.14335
2026-05-20T13:00:00.000000000,13.29385,21.88541
2026-05-20T14:00:00.000000000,14.55041,23.35426
2026-05-20T15:00:00.000000000,15.55049,24.66567
2026-05-20T16:00:00.000000000,17.58616,24.43636
2026-05-20T17:00:00.000000000,19.43688,22.73854
2026-05-20T18:00:00.000000000,20.95707,24.14182
2026-05-20T19:00:00.000000000,23.68262,26.10024
2026-05-20T20:00:00.000000000,25.60651,26.08191
2026-05-20T21:00:00.000000000,25.21077,30.11941
2026-05-20T22:00:00.000000000,25.65742,31.12995
2026-05-20T23:00:00.000000000,27.89101,27.48384
2026-05-21T00:00:00.000000000,35.68093,22.99637
2026-05-21T01:00:00.000000000,40.91894,22.31384
2026-05-21T02:00:00.000000000,42.60347,21.52352
2026-05-21T03:00:00.000000000,42.29982,22.03041
2026-05-21T04:00:00.000000000,41.1864,26.86398
2026-05-21T05:00:00.000000000,37.27181,25.72487
2026-05-21T06:00:00.000000000,28.77717,23.37753
2026-05-21T07:00:00.000000000,28.11516,19.87293
2026-05-21T08:00:00.000000000,22.46567,22.08652
2026-05-21T09:00:00.000000000,21.20893,22.16063
2026-05-21T10:00:00.000000000,20.06788,21.29401
2026-05-21T11:00:00.000000000,18.94478,23.85828
2026-05-21T12:00:00.000000000,20.51803,23.14335
2026-05-21T13:00:00.000000000,22.42534,21.88541
2026-05-21T14:00:00.000000000,21.58505,23.35426
2026-05-21T15:00:00.000000000,21.73422,24.66567
2026-05-21T16:00:00.000000000,22.36833,24.43636
2026-05-21T17:00:00.000000000,21.64779,22.73854
2026-05-21T18:00:00.000000000,24.35862,24.14182
2026-05-21T19:00:00.000000000,26.37967,26.10024
2026-05-21T20:00:00.000000000,26.20655,26.08191
2026-05-21T21:00:00.000000000,26.61194,30.11941
2026-05-21T22:00:00.000000000,26.21511,31.12995
2026-05-21T23:00:00.000000000,28.85163,27.48384
2026-05-22T00:00:00.000000000,36.58719,22.99637
2026-05-22T01:00:00.000000000,42.90841,22.31384
2026-05-22T02:00:00.000000000,44.88848,21.52352
2026-05-22T03:00:00.000000000,44.83181,22.03041
2026-05-22T04:00:00.000000000,43.25039,26.86398
2026-05-22T05:00:00.000000000,36.77379,25.72487
2026-05-22T06:00:00.000000000,29.06473,23.37753
2026-05-22T07:00:00.000000000,30.88918,19.87293
2026-05-22T08:00:00.000000000,28.37853,22.08652
2026-05-22T09:00:00.000000000,21.06352,22.16063
2026-05-22T10:00:00.000000000,19.40279,21.29401
2026-05-22T11:00:00.000000000,18.71093,23.85828
2026-05-22T12:00:00.000000000,18.62699,23.14335
2026-05-22T13:00:00.000000000,18.55962,21.88541
2026-05-22T14:00:00.000000000,18.54358,23.35426
2026-05-22T15:00:00.000000000,19.1209,24.66567
2026-05-22T16:00:00.000000000,21.38449,24.43636
2026-05-22T17:00:00.000000000,28.98752,22.73854
2026-05-22T18:00:00.000000000,26.39753,24.14182
2026-05-22T19:00:00.000000000,26.80776,26.10024
2026-05-22T20:00:00.000000000,26.89631,26.08191
2026-05-22T21:00:00.000000000,27.55682,30.11941
2026-05-22T22:00:00.000000000,29.1032,31.12995
2026-05-22T23:00:00.000000000,32.85791,27.48384
2026-05-23T00:00:00.000000000,36.70756,22.99637
2026-05-23T01:00:00.000000000,37.05649,22.31384
2026-05-23T02:00:00.000000000,39.13097,21.52352
2026-05-23T03:00:00.000000000,39.52703,22.03041
2026-05-23T04:00:00.000000000,39.49312,26.86398
2026-05-23T05:00:00.000000000,40.99274,25.72487
2026-05-23T06:00:00.000000000,39.73362,23.37753
2026-05-23T07:00:00.000000000,29.30944,19.87293
2026-05-23T08:00:00.000000000,23.42763,22.08652
2026-05-23T09:00:00.000000000,19.9573,22.16063
2026-05-23T10:00:00.000000000,18.7346,21.29401
2026-05-23T11:00:00.000000000,17.41331,23.85828
2026-05-23T12:00:00.000000000,17.11034,23.14335
2026-05-23T13:00:00.000000000,17.24014,21.88541
2026-05-23T14:00:00.000000000,17.53848,23.35426
2026-05-23T15:00:00.000000000,18.58144,24.66567
2026-05-23T16:00:00.000000000,20.03435,24.43636
2026-05-23T17:00:00.000000000,22.56264,22.73854
2026-05-23T18:00:00.000000000,30.38558,24.14182
2026-05-23T19:00:00.000000000,26.59369,26.10024
2026-05-23T20:00:00.000000000,27.27451,26.08191
2026-05-23T21:00:00.000000000,27.56028,30.11941
2026-05-23T22:00:00.000000000,27.81672,31.12995
2026-05-23T23:00:00.000000000,29.34837,27.48384
2026-05-24T00:00:00.000000000,29.49111,22.99637
2026-05-24T01:00:00.000000000,30.36487,22.31384
2026-05-24T02:00:00.000000000,34.82515,21.52352
2026-05-24T03:00:00.000000000,38.70001,22.03041
2026-05-24T04:00:00.000000000,41.64725,26.86398
2026-05-24T05:00:00.000000000,42.888,25.72487
2026-05-24T06:00:00.000000000,39.5718,23.37753
2026-05-24T07:00:00.000000000,28.86673,19.87293
2026-05-24T08:00:00.000000000,22.55161,22.08652
2026-05-24T09:00:00.000000000,19.9894,22.16063
2026-05-24T10:00:00.000000000,18.77381,21.29401
2026-05-24T11:00:00.000000000,18.02274,23.85828
2026-05-24T12:00:00.000000000,17.68572,23.14335
2026-05-24T13:00:00.000000000,17.85889,21.88541
2026-05-24T14:00:00.000000000,18.296,23.35426
2026-05-24T15:00:00.000000000,19.21393,24.66567
2026-05-24T16:00:00.000000000,20.50757,24.43636
2026-05-24T17:00:00.000000000,24.16179,22.73854
2026-05-24T18:00:00.000000000,30.08756,24.14182
2026-05-24T19:00:00.000000000,26.08706,26.10024
2026-05-24T20:00:00.000000000,26.71148,26.08191
2026-05-24T21:00:00.000000000,27.37264,30.11941
2026-05-24T22:00:00.000000000,27.2191,31.12995
2026-05-24T23:00:00.000000000,27.4853,27.48384
2026-05-25T00:00:00.000000000,28.57683,22.99637
2026-05-25T01:00:00.000000000,31.82126,22.31384
2026-05-25T02:00:00.000000000,32.5376,21.52352
2026-05-25T03:00:00.000000000,35.38766,22.03041
2026-05-25T04:00:00.000000000,35.15656,26.86398
2026-05-25T05:00:00.000000000,36.97972,25.72487
2026-05-25T06:00:00.000000000,34.18324,23.37753
2026-05-25T07:00:00.000000000,27.20423,19.87293
2026-05-25T08:00:00.000000000,23.38067,22.08652
2026-05-25T09:00:00.000000000,21.16746,22.16063
2026-05-25T10:00:00.000000000,19.91566,21.29401
