datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,53.12612,47.70865
2026-05-20T06:00:00.000000000,51.7073,47.7174
2026-05-20T07:00:00.000000000,48.13517,48.19196
2026-05-20T08:00:00.000000000,46.68393,48.0962
2026-05-20T09:00:00.000000000,47.06482,48.37902
2026-05-20T10:00:00.000000000,46.32205,45.82704
2026-05-20T11:00:00.000000000,43.96059,44.24079
2026-05-20T12:00:00.000000000,43.67307,43.12391
2026-05-20T13:00:00.000000000,45.14856,40.1966
2026-05-20T14:00:00.000000000,44.9721,39.60415
2026-05-20T15:00:00.000000000,46.62512,41.04298
2026-05-20T16:00:00.000000000,51.55862,43.30726
2026-05-20T17:00:00.000000000,69.07688,43.86924
2026-05-20T18:00:00.000000000,76.15823,46.07377
2026-05-20T19:00:00.000000000,74.50864,50.61719
2026-05-20T20:00:00.000000000,75.2099,53.62239
2026-05-20T21:00:00.000000000,75.72963,55.53277
2026-05-20T22:00:00.000000000,79.94065,57.51321
2026-05-20T23:00:00.000000000,85.1494,56.6073
2026-05-21T00:00:00.000000000,89.68055,55.27734
2026-05-21T01:00:00.000000000,87.12085,55.91525
2026-05-21T02:00:00.000000000,79.96345,54.71047
2026-05-21T03:00:00.000000000,79.58906,53.66257
2026-05-21T04:00:00.000000000,85.2165,49.80127
2026-05-21T05:00:00.000000000,90.3951,47.26615
2026-05-21T06:00:00.000000000,86.85499,47.37973
2026-05-21T07:00:00.000000000,83.1434,47.29026
2026-05-21T08:00:00.000000000,75.22007,46.51208
2026-05-21T09:00:00.000000000,48.02959,46.60889
2026-05-21T10:00:00.000000000,46.17258,44.39078
2026-05-21T11:00:00.000000000,46.40709,44.12784
2026-05-21T12:00:00.000000000,45.49089,44.0349
2026-05-21T13:00:00.000000000,47.53575,42.34805
2026-05-21T14:00:00.000000000,44.65638,42.33812
2026-05-21T15:00:00.000000000,44.4819,43.25306
2026-05-21T16:00:00.000000000,46.54361,44.80242
2026-05-21T17:00:00.000000000,55.46861,44.56948
2026-05-21T18:00:00.000000000,72.07429,45.20828
2026-05-21T19:00:00.000000000,74.46071,46.93473
2026-05-21T20:00:00.000000000,74.68969,48.09327
2026-05-21T21:00:00.000000000,74.83374,48.98786
2026-05-21T22:00:00.000000000,74.1901,51.09995
2026-05-21T23:00:00.000000000,77.53299,51.09892
2026-05-22T00:00:00.000000000,84.23228,49.7469
2026-05-22T01:00:00.000000000,85.32691,50.32038
2026-05-22T02:00:00.000000000,84.52318,49.55921
2026-05-22T03:00:00.000000000,84.0783,49.44328
2026-05-22T04:00:00.000000000,85.32339,47.42322
2026-05-22T05:00:00.000000000,86.12264,45.9851
2026-05-22T06:00:00.000000000,79.80067,46.10647
2026-05-22T07:00:00.000000000,76.48252,45.85802
2026-05-22T08:00:00.000000000,69.31722,44.525
2026-05-22T09:00:00.000000000,46.34496,44.62957
2026-05-22T10:00:00.000000000,41.39683,42.30845
2026-05-22T11:00:00.000000000,39.49692,42.37294
2026-05-22T12:00:00.000000000,39.55287,42.65479
2026-05-22T13:00:00.000000000,40.70897,41.28257
2026-05-22T14:00:00.000000000,39.99737,41.51306
2026-05-22T15:00:00.000000000,40.57647,42.24443
2026-05-22T16:00:00.000000000,44.55418,43.76598
2026-05-22T17:00:00.000000000,57.28949,43.69186
2026-05-22T18:00:00.000000000,71.84531,44.20953
2026-05-22T19:00:00.000000000,70.8361,45.61284
2026-05-22T20:00:00.000000000,68.64892,46.48678
2026-05-22T21:00:00.000000000,70.01762,47.13757
2026-05-22T22:00:00.000000000,71.77077,49.40914
2026-05-22T23:00:00.000000000,73.22235,49.64903
2026-05-23T00:00:00.000000000,84.86129,47.83794
2026-05-23T01:00:00.000000000,52.60752,48.18354
2026-05-23T02:00:00.000000000,46.59706,47.11402
2026-05-23T03:00:00.000000000,47.58567,47.05926
2026-05-23T04:00:00.000000000,47.746,45.47492
2026-05-23T05:00:00.000000000,48.48947,46.34825
2026-05-23T06:00:00.000000000,50.53076,46.43971
2026-05-23T07:00:00.000000000,47.12741,46.01318
2026-05-23T08:00:00.000000000,41.66013,44.59308
2026-05-23T09:00:00.000000000,41.32633,44.54434
2026-05-23T10:00:00.000000000,42.01321,42.1048
2026-05-23T11:00:00.000000000,42.48295,42.1901
2026-05-23T12:00:00.000000000,41.55003,42.57978
2026-05-23T13:00:00.000000000,41.7542,41.34352
2026-05-23T14:00:00.000000000,41.78747,41.78181
2026-05-23T15:00:00.000000000,42.30098,42.71054
2026-05-23T16:00:00.000000000,42.49561,44.26746
2026-05-23T17:00:00.000000000,50.16348,44.21272
2026-05-23T18:00:00.000000000,60.44311,44.65307
2026-05-23T19:00:00.000000000,70.43538,46.04439
2026-05-23T20:00:00.000000000,71.42893,46.93324
2026-05-23T21:00:00.000000000,71.2039,47.57121
2026-05-23T22:00:00.000000000,73.74358,49.67237
2026-05-23T23:00:00.000000000,71.48185,49.76718
2026-05-24T00:00:00.000000000,63.23239,47.80063
2026-05-24T01:00:00.000000000,41.21188,48.08678
2026-05-24T02:00:00.000000000,45.40707,47.10312
2026-05-24T03:00:00.000000000,44.72976,47.09762
2026-05-24T04:00:00.000000000,45.89471,45.51852
2026-05-24T05:00:00.000000000,46.55609,47.6585
2026-05-24T06:00:00.000000000,46.70423,47.83434
2026-05-24T07:00:00.000000000,44.08229,47.4112
2026-05-24T08:00:00.000000000,40.93424,46.47163
2026-05-24T09:00:00.000000000,41.50514,46.31241
