datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,90.95936,87.95132
2026-05-20T06:00:00.000000000,89.28532,87.53273
2026-05-20T07:00:00.000000000,85.54061,88.36615
2026-05-20T08:00:00.000000000,84.8776,88.81759
2026-05-20T09:00:00.000000000,85.49265,88.22566
2026-05-20T10:00:00.000000000,84.50168,88.21137
2026-05-20T11:00:00.000000000,81.85026,88.33201
2026-05-20T12:00:00.000000000,82.0779,88.07847
2026-05-20T13:00:00.000000000,83.93273,89.28048
2026-05-20T14:00:00.000000000,83.39879,89.32595
2026-05-20T15:00:00.000000000,85.151,90.29232
2026-05-20T16:00:00.000000000,90.7942,90.19055
2026-05-20T17:00:00.000000000,111.84764,89.88028
2026-05-20T18:00:00.000000000,120.30472,89.79835
2026-05-20T19:00:00.000000000,117.96023,88.75804
2026-05-20T20:00:00.000000000,118.71854,88.26324
2026-05-20T21:00:00.000000000,119.43415,89.12389
2026-05-20T22:00:00.000000000,124.68683,87.61489
2026-05-20T23:00:00.000000000,131.22495,87.92139
2026-05-21T00:00:00.000000000,137.0593,90.11171
2026-05-21T01:00:00.000000000,133.93062,91.74573
2026-05-21T02:00:00.000000000,125.12968,93.09141
2026-05-21T03:00:00.000000000,124.6043,94.69118
2026-05-21T04:00:00.000000000,131.35815,95.23661
2026-05-21T05:00:00.000000000,137.77133,88.60377
2026-05-21T06:00:00.000000000,133.29062,87.94277
2026-05-21T07:00:00.000000000,128.8237,88.88251
2026-05-21T08:00:00.000000000,119.20197,89.26054
2026-05-21T09:00:00.000000000,84.89317,88.68457
2026-05-21T10:00:00.000000000,83.39059,88.40103
2026-05-21T11:00:00.000000000,84.28495,88.45139
2026-05-21T12:00:00.000000000,82.80935,88.27576
2026-05-21T13:00:00.000000000,84.31938,89.61776
2026-05-21T14:00:00.000000000,81.23297,89.63493
2026-05-21T15:00:00.000000000,80.66408,90.61814
2026-05-21T16:00:00.000000000,82.50953,90.5639
2026-05-21T17:00:00.000000000,94.17407,90.4751
2026-05-21T18:00:00.000000000,114.5783,91.04857
2026-05-21T19:00:00.000000000,117.36247,90.37963
2026-05-21T20:00:00.000000000,117.48174,90.31878
2026-05-21T21:00:00.000000000,117.76865,91.71718
2026-05-21T22:00:00.000000000,117.01178,90.67366
2026-05-21T23:00:00.000000000,121.24993,91.39377
2026-05-22T00:00:00.000000000,129.59289,93.18288
2026-05-22T01:00:00.000000000,130.9468,94.23483
2026-05-22T02:00:00.000000000,130.05555,94.62332
2026-05-22T03:00:00.000000000,129.37117,95.44476
2026-05-22T04:00:00.000000000,130.91967,95.76529
2026-05-22T05:00:00.000000000,131.75314,88.65488
2026-05-22T06:00:00.000000000,123.96303,87.97844
2026-05-22T07:00:00.000000000,120.36893,88.87706
2026-05-22T08:00:00.000000000,111.87938,89.21895
2026-05-22T09:00:00.000000000,83.04684,88.64288
2026-05-22T10:00:00.000000000,77.05712,88.37135
2026-05-22T11:00:00.000000000,74.73481,88.44562
2026-05-22T12:00:00.000000000,75.0188,88.28139
2026-05-22T13:00:00.000000000,76.38469,89.59925
2026-05-22T14:00:00.000000000,75.29114,89.58591
2026-05-22T15:00:00.000000000,75.87711,90.57381
2026-05-22T16:00:00.000000000,80.80989,90.53245
2026-05-22T17:00:00.000000000,96.28264,90.45504
2026-05-22T18:00:00.000000000,114.10936,91.03033
2026-05-22T19:00:00.000000000,112.6995,90.31595
2026-05-22T20:00:00.000000000,109.87208,90.24424
2026-05-22T21:00:00.000000000,111.47519,91.64965
2026-05-22T22:00:00.000000000,113.74814,90.61094
2026-05-22T23:00:00.000000000,115.65128,91.37007
2026-05-23T00:00:00.000000000,130.1441,93.21076
2026-05-23T01:00:00.000000000,89.44979,94.28187
2026-05-23T02:00:00.000000000,81.89657,94.66691
2026-05-23T03:00:00.000000000,83.04587,95.50966
2026-05-23T04:00:00.000000000,83.33336,95.84577
2026-05-23T05:00:00.000000000,84.12545,94.51401
2026-05-23T06:00:00.000000000,86.94648,93.97742
2026-05-23T07:00:00.000000000,83.2179,94.99135
2026-05-23T08:00:00.000000000,77.48617,95.15279
2026-05-23T09:00:00.000000000,76.95551,94.12687
2026-05-23T10:00:00.000000000,77.98687,93.29744
2026-05-23T11:00:00.000000000,77.69248,92.86645
2026-05-23T12:00:00.000000000,76.50261,92.24165
2026-05-23T13:00:00.000000000,77.16083,93.34348
2026-05-23T14:00:00.000000000,76.46059,92.96836
2026-05-23T15:00:00.000000000,76.84232,93.39449
2026-05-23T16:00:00.000000000,76.66737,92.81243
2026-05-23T17:00:00.000000000,85.91718,92.53406
2026-05-23T18:00:00.000000000,99.39912,93.02764
2026-05-23T19:00:00.000000000,111.99102,92.67644
2026-05-23T20:00:00.000000000,113.167,93.08547
2026-05-23T21:00:00.000000000,112.74317,94.63045
2026-05-23T22:00:00.000000000,115.87876,93.86487
2026-05-23T23:00:00.000000000,113.04035,94.79007
2026-05-24T00:00:00.000000000,102.49104,97.06614
2026-05-24T01:00:00.000000000,74.7752,98.46452
2026-05-24T02:00:00.000000000,79.95637,98.89114
2026-05-24T03:00:00.000000000,79.17134,99.63393
2026-05-24T04:00:00.000000000,80.74243,99.60262
2026-05-24T05:00:00.000000000,81.38759,97.17356
2026-05-24T06:00:00.000000000,81.80945,96.70643
2026-05-24T07:00:00.000000000,79.09396,97.64267
2026-05-24T08:00:00.000000000,74.80133,97.59904
2026-05-24T09:00:00.000000000,75.47206,96.26369
2026-05-24T10:00:00.000000000,78.16832,95.12193
2026-05-24T11:00:00.000000000,80.10387,94.41183
2026-05-24T12:00:00.000000000,79.25109,93.56465
2026-05-24T13:00:00.000000000,77.62971,94.46603
2026-05-24T14:00:00.000000000,78.15092,93.82843
2026-05-24T15:00:00.000000000,81.63543,93.99933
2026-05-24T16:00:00.000000000,78.58428,93.25179
2026-05-24T17:00:00.000000000,77.79693,92.99087
2026-05-24T18:00:00.000000000,71.31137,93.55132
2026-05-24T19:00:00.000000000,69.71377,93.27579
2026-05-24T20:00:00.000000000,69.42284,93.85418
2026-05-24T21:00:00.000000000,69.9136,95.43689
2026-05-24T22:00:00.000000000,68.25673,94.77477
2026-05-24T23:00:00.000000000,69.28659,95.89584
2026-05-25T00:00:00.000000000,70.86114,98.58644
2026-05-25T01:00:00.000000000,73.95233,100.24558
2026-05-25T02:00:00.000000000,77.81598,100.71585
2026-05-25T03:00:00.000000000,77.40705,101.56209
2026-05-25T04:00:00.000000000,78.43563,101.398
2026-05-25T05:00:00.000000000,79.39232,94.89184
2026-05-25T06:00:00.000000000,81.57174,93.86072
2026-05-25T07:00:00.000000000,80.93353,94.25093
2026-05-25T08:00:00.000000000,78.47309,93.85944
2026-05-25T09:00:00.000000000,74.03126,92.72609
2026-05-25T10:00:00.000000000,76.41141,92.06044
2026-05-25T11:00:00.000000000,77.39839,91.86708
2026-05-25T12:00:00.000000000,78.23328,91.3506
2026-05-25T13:00:00.000000000,77.01496,92.56724
2026-05-25T14:00:00.000000000,77.72565,92.19041
2026-05-25T15:00:00.000000000,78.99735,92.82448
2026-05-25T16:00:00.000000000,77.84096,92.59692
2026-05-25T17:00:00.000000000,89.35051,92.63911
2026-05-25T18:00:00.000000000,105.67063,93.742
2026-05-25T19:00:00.000000000,114.0053,93.57381
2026-05-25T20:00:00.000000000,113.96212,94.22046
2026-05-25T21:00:00.000000000,115.28848,96.12902
2026-05-25T22:00:00.000000000,109.46785,95.68486
2026-05-25T23:00:00.000000000,109.16726,96.94596
2026-05-26T00:00:00.000000000,122.56161,99.18834
2026-05-26T01:00:00.000000000,122.80459,100.37429
2026-05-26T02:00:00.000000000,122.07075,100.3258
2026-05-26T03:00:00.000000000,122.98131,100.65346
2026-05-26T04:00:00.000000000,121.05034,100.32545
2026-05-26T05:00:00.000000000,118.03323,93.63474
2026-05-26T06:00:00.000000000,115.22188,92.94218
2026-05-26T07:00:00.000000000,111.9284,93.87119
2026-05-26T08:00:00.000000000,110.38815,94.00793
2026-05-26T09:00:00.000000000,74.5149,93.05924
2026-05-26T10:00:00.000000000,67.8637,92.35182
2026-05-26T11:00:00.000000000,65.8109,92.03575
2026-05-26T12:00:00.000000000,64.46395,91.49548
2026-05-26T13:00:00.000000000,64.07026,92.75591
2026-05-26T14:00:00.000000000,64.42326,92.53885
2026-05-26T15:00:00.000000000,68.06254,93.1066
2026-05-26T16:00:00.000000000,69.54877,92.66943
2026-05-26T17:00:00.000000000,89.91254,92.46426
2026-05-26T18:00:00.000000000,105.05568,93.11311
2026-05-26T19:00:00.000000000,109.96793,92.88677
2026-05-26T20:00:00.000000000,111.27846,93.3317
2026-05-26T21:00:00.000000000,110.30356,94.97737
2026-05-26T22:00:00.000000000,109.52087,94.28422
2026-05-26T23:00:00.000000000,112.00925,95.17004
2026-05-27T00:00:00.000000000,126.84249,97.17806
