datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,348.05056,335.84834
2026-05-22T01:00:00.000000000,354.30382,336.33389
2026-05-22T02:00:00.000000000,349.91159,330.54658
2026-05-22T03:00:00.000000000,348.55811,325.69553
2026-05-22T04:00:00.000000000,343.35117,321.65656
2026-05-22T05:00:00.000000000,331.67695,320.79804
2026-05-22T06:00:00.000000000,327.1087,320.19829
2026-05-22T07:00:00.000000000,318.41853,321.00872
2026-05-22T08:00:00.000000000,316.37687,321.14979
2026-05-22T09:00:00.000000000,316.10723,321.6694
2026-05-22T10:00:00.000000000,317.95472,324.74766
2026-05-22T11:00:00.000000000,321.38059,325.33524
2026-05-22T12:00:00.000000000,321.51184,320.00874
2026-05-22T13:00:00.000000000,287.50172,309.89438
2026-05-22T14:00:00.000000000,277.89617,299.35116
2026-05-22T15:00:00.000000000,282.30153,293.99831
2026-05-22T16:00:00.000000000,292.3841,292.917
2026-05-22T17:00:00.000000000,297.5666,294.33144
2026-05-22T18:00:00.000000000,303.11571,298.29169
2026-05-22T19:00:00.000000000,313.20168,303.54844
2026-05-22T20:00:00.000000000,317.61676,309.52041
2026-05-22T21:00:00.000000000,334.58725,317.53473
2026-05-22T22:00:00.000000000,334.8716,326.01792
2026-05-22T23:00:00.000000000,330.06089,332.37314
2026-05-23T00:00:00.000000000,327.69636,335.79663
2026-05-23T01:00:00.000000000,327.70582,338.76849
2026-05-23T02:00:00.000000000,329.597,333.77899
2026-05-23T03:00:00.000000000,321.58292,329.12872
2026-05-23T04:00:00.000000000,315.45463,325.55474
2026-05-23T05:00:00.000000000,312.67989,326.64068
2026-05-23T06:00:00.000000000,302.34631,328.39089
2026-05-23T07:00:00.000000000,299.93056,330.45555
2026-05-23T08:00:00.000000000,299.57096,330.20015
2026-05-23T09:00:00.000000000,298.40854,329.63664
2026-05-23T10:00:00.000000000,299.03732,331.3827
2026-05-23T11:00:00.000000000,300.57498,331.71997
2026-05-23T12:00:00.000000000,299.57614,327.03203
2026-05-23T13:00:00.000000000,292.90736,317.02773
2026-05-23T14:00:00.000000000,273.54694,304.38193
2026-05-23T15:00:00.000000000,269.83794,295.46331
2026-05-23T16:00:00.000000000,272.95284,291.19043
2026-05-23T17:00:00.000000000,274.31841,290.46497
2026-05-23T18:00:00.000000000,276.89965,292.90213
2026-05-23T19:00:00.000000000,290.49186,296.54294
2026-05-23T20:00:00.000000000,309.74764,299.83883
2026-05-23T21:00:00.000000000,316.15196,306.37534
2026-05-23T22:00:00.000000000,322.18195,316.22176
2026-05-23T23:00:00.000000000,332.2382,326.44763
2026-05-24T00:00:00.000000000,338.47578,331.72373
2026-05-24T01:00:00.000000000,336.59391,335.91184
2026-05-24T02:00:00.000000000,335.85878,331.39475
2026-05-24T03:00:00.000000000,320.60161,326.73859
2026-05-24T04:00:00.000000000,309.82237,323.2761
2026-05-24T05:00:00.000000000,304.98239,325.32241
2026-05-24T06:00:00.000000000,304.68963,328.70457
2026-05-24T07:00:00.000000000,299.15844,331.70956
2026-05-24T08:00:00.000000000,297.11222,331.15314
2026-05-24T09:00:00.000000000,297.73194,329.34818
2026-05-24T10:00:00.000000000,295.91115,329.82773
2026-05-24T11:00:00.000000000,296.43913,330.57323
2026-05-24T12:00:00.000000000,289.97635,327.97499
2026-05-24T13:00:00.000000000,277.39539,319.83197
2026-05-24T14:00:00.000000000,271.49702,307.38378
2026-05-24T15:00:00.000000000,263.31699,297.30624
2026-05-24T16:00:00.000000000,258.27131,291.92171
2026-05-24T17:00:00.000000000,257.10426,290.73068
2026-05-24T18:00:00.000000000,261.23006,293.13835
2026-05-24T19:00:00.000000000,269.16622,296.43512
2026-05-24T20:00:00.000000000,284.18234,298.47975
2026-05-24T21:00:00.000000000,298.45675,303.14283
2026-05-24T22:00:00.000000000,312.81428,311.48804
2026-05-24T23:00:00.000000000,322.3617,321.35442
2026-05-25T00:00:00.000000000,319.24075,329.22114
2026-05-25T01:00:00.000000000,316.18567,334.06846
2026-05-25T02:00:00.000000000,312.9668,329.95261
2026-05-25T03:00:00.000000000,300.36988,325.75777
2026-05-25T04:00:00.000000000,296.0133,322.68739
2026-05-25T05:00:00.000000000,290.59522,325.27244
2026-05-25T06:00:00.000000000,293.72721,329.03927
2026-05-25T07:00:00.000000000,288.31624,332.04934
2026-05-25T08:00:00.000000000,286.37364,331.07989
2026-05-25T09:00:00.000000000,287.42484,328.69356
2026-05-25T10:00:00.000000000,288.09439,328.67808
2026-05-25T11:00:00.000000000,289.59053,329.47984
2026-05-25T12:00:00.000000000,281.68541,327.48772
2026-05-25T13:00:00.000000000,269.25524,320.32944
2026-05-25T14:00:00.000000000,268.83602,308.4692
2026-05-25T15:00:00.000000000,268.1601,298.3002
2026-05-25T16:00:00.000000000,267.95619,292.61156
2026-05-25T17:00:00.000000000,273.2902,291.0932
2026-05-25T18:00:00.000000000,291.23506,292.87592
2026-05-25T19:00:00.000000000,305.36392,295.27313
2026-05-25T20:00:00.000000000,308.99451,295.95475
2026-05-25T21:00:00.000000000,304.18106,299.53594
2026-05-25T22:00:00.000000000,304.80471,307.62461
2026-05-25T23:00:00.000000000,314.4894,317.91575
2026-05-26T00:00:00.000000000,321.86414,331.19873
2026-05-26T01:00:00.000000000,327.93825,337.26331
2026-05-26T02:00:00.000000000,322.14032,333.92842
2026-05-26T03:00:00.000000000,311.11113,330.27364
2026-05-26T04:00:00.000000000,299.59321,327.16738
2026-05-26T05:00:00.000000000,292.26975,328.6972
2026-05-26T06:00:00.000000000,289.91502,330.09281
2026-05-26T07:00:00.000000000,288.52733,330.64379
2026-05-26T08:00:00.000000000,286.48224,328.38116
2026-05-26T09:00:00.000000000,286.1645,325.95348
2026-05-26T10:00:00.000000000,289.33267,327.55447
2026-05-26T11:00:00.000000000,299.28363,329.69037
2026-05-26T12:00:00.000000000,300.69155,326.14203
2026-05-26T13:00:00.000000000,274.26313,315.95982
2026-05-26T14:00:00.000000000,265.76124,300.66639
2026-05-26T15:00:00.000000000,271.95367,287.57165
2026-05-26T16:00:00.000000000,285.39392,280.54276
2026-05-26T17:00:00.000000000,292.90209,278.90304
2026-05-26T18:00:00.000000000,301.75912,281.1062
2026-05-26T19:00:00.000000000,306.15066,284.18856
2026-05-26T20:00:00.000000000,308.22721,286.00118
2026-05-26T21:00:00.000000000,306.00394,291.75533
2026-05-26T22:00:00.000000000,304.45479,303.1919
2026-05-26T23:00:00.000000000,307.30175,317.62238
2026-05-27T00:00:00.000000000,325.6659,333.9916
2026-05-27T01:00:00.000000000,332.85708,339.97993
2026-05-27T02:00:00.000000000,334.25807,335.774
2026-05-27T03:00:00.000000000,333.99859,330.6806
2026-05-27T04:00:00.000000000,328.4423,326.70888
2026-05-27T05:00:00.000000000,316.78821,327.5634
2026-05-27T06:00:00.000000000,311.91671,328.04475
2026-05-27T07:00:00.000000000,305.80074,328.2355
2026-05-27T08:00:00.000000000,299.51094,326.92732
2026-05-27T09:00:00.000000000,295.86483,326.39325
2026-05-27T10:00:00.000000000,299.78622,329.86267
2026-05-27T11:00:00.000000000,312.18358,332.14899
2026-05-27T12:00:00.000000000,317.9921,326.0884
2026-05-27T13:00:00.000000000,303.08734,312.22238
2026-05-27T14:00:00.000000000,298.40887,293.79231
2026-05-27T15:00:00.000000000,296.14743,279.52869
2026-05-27T16:00:00.000000000,296.35723,273.28217
2026-05-27T17:00:00.000000000,304.45568,273.19143
2026-05-27T18:00:00.000000000,306.8773,276.93881
2026-05-27T19:00:00.000000000,310.85534,280.78293
2026-05-27T20:00:00.000000000,315.99827,283.31593
2026-05-27T21:00:00.000000000,311.97511,290.40326
2026-05-27T22:00:00.000000000,305.33243,303.78572
2026-05-27T23:00:00.000000000,313.48955,320.42332
2026-05-28T00:00:00.000000000,337.54355,335.76434
2026-05-28T01:00:00.000000000,345.1971,341.10193
2026-05-28T02:00:00.000000000,344.71947,336.10804
2026-05-28T03:00:00.000000000,337.46756,330.23839
