datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,429.17471,417.88947
2026-05-22T01:00:00.000000000,436.18021,408.27882
2026-05-22T02:00:00.000000000,431.61279,397.47877
2026-05-22T03:00:00.000000000,429.14882,388.10026
2026-05-22T04:00:00.000000000,421.96824,382.8781
2026-05-22T05:00:00.000000000,408.20943,379.67856
2026-05-22T06:00:00.000000000,402.12523,376.0516
2026-05-22T07:00:00.000000000,392.87753,373.02694
2026-05-22T08:00:00.000000000,389.78018,370.34109
2026-05-22T09:00:00.000000000,389.22087,369.67012
2026-05-22T10:00:00.000000000,392.36604,370.59693
2026-05-22T11:00:00.000000000,396.54866,371.93083
2026-05-22T12:00:00.000000000,395.50078,371.57201
2026-05-22T13:00:00.000000000,358.72098,367.71006
2026-05-22T14:00:00.000000000,348.29754,360.51972
2026-05-22T15:00:00.000000000,353.40897,359.68535
2026-05-22T16:00:00.000000000,364.22831,367.58717
2026-05-22T17:00:00.000000000,370.47545,381.11201
2026-05-22T18:00:00.000000000,377.89552,390.79984
2026-05-22T19:00:00.000000000,389.35437,396.64142
2026-05-22T20:00:00.000000000,394.48956,400.21336
2026-05-22T21:00:00.000000000,412.35634,406.22588
2026-05-22T22:00:00.000000000,412.60347,414.71153
2026-05-22T23:00:00.000000000,406.31069,418.38649
2026-05-23T00:00:00.000000000,404.06389,417.73411
2026-05-23T01:00:00.000000000,403.91137,407.45033
2026-05-23T02:00:00.000000000,405.53569,395.55632
2026-05-23T03:00:00.000000000,396.90371,385.04722
2026-05-23T04:00:00.000000000,389.54495,379.06343
2026-05-23T05:00:00.000000000,385.27099,375.74005
2026-05-23T06:00:00.000000000,373.67755,373.62529
2026-05-23T07:00:00.000000000,370.45124,372.87285
2026-05-23T08:00:00.000000000,369.80853,370.99756
2026-05-23T09:00:00.000000000,367.84912,368.85371
2026-05-23T10:00:00.000000000,368.3518,368.97936
2026-05-23T11:00:00.000000000,370.50323,371.26734
2026-05-23T12:00:00.000000000,368.94085,374.10856
2026-05-23T13:00:00.000000000,362.21536,375.05622
2026-05-23T14:00:00.000000000,340.79168,371.58402
2026-05-23T15:00:00.000000000,338.76211,370.03864
2026-05-23T16:00:00.000000000,344.30495,374.32058
2026-05-23T17:00:00.000000000,346.31424,384.22204
2026-05-23T18:00:00.000000000,350.70719,392.47648
2026-05-23T19:00:00.000000000,365.32727,398.5442
2026-05-23T20:00:00.000000000,386.09201,401.14357
2026-05-23T21:00:00.000000000,393.1702,405.08185
2026-05-23T22:00:00.000000000,400.10163,412.65524
2026-05-23T23:00:00.000000000,411.08757,416.26563
2026-05-24T00:00:00.000000000,418.08392,408.24018
2026-05-24T01:00:00.000000000,415.32456,401.04072
2026-05-24T02:00:00.000000000,413.51444,392.65559
2026-05-24T03:00:00.000000000,399.07627,384.58199
2026-05-24T04:00:00.000000000,386.97205,379.47527
2026-05-24T05:00:00.000000000,379.20413,376.54248
2026-05-24T06:00:00.000000000,376.36632,374.33661
2026-05-24T07:00:00.000000000,370.25915,372.36175
2026-05-24T08:00:00.000000000,367.26219,369.75492
2026-05-24T09:00:00.000000000,368.34563,368.37923
2026-05-24T10:00:00.000000000,365.88237,370.49127
2026-05-24T11:00:00.000000000,366.95149,373.83156
2026-05-24T12:00:00.000000000,360.14908,376.45884
2026-05-24T13:00:00.000000000,345.82753,377.81912
2026-05-24T14:00:00.000000000,339.86659,376.91078
2026-05-24T15:00:00.000000000,331.20974,376.53212
2026-05-24T16:00:00.000000000,326.7271,379.30616
2026-05-24T17:00:00.000000000,326.31972,385.35027
2026-05-24T18:00:00.000000000,330.75478,389.74666
2026-05-24T19:00:00.000000000,340.97658,392.75104
2026-05-24T20:00:00.000000000,358.35997,392.41674
2026-05-24T21:00:00.000000000,373.40907,393.85335
2026-05-24T22:00:00.000000000,388.84726,400.36553
2026-05-24T23:00:00.000000000,399.70122,404.1779
2026-05-25T00:00:00.000000000,397.29015,393.25591
2026-05-25T01:00:00.000000000,394.3312,390.95088
