datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-03-01T00:00:00.000000000,141.46,123.43175
2026-03-01T01:00:00.000000000,152.1,131.9862
2026-03-01T02:00:00.000000000,148.7,135.55427
2026-03-01T03:00:00.000000000,148.54,146.04151
2026-03-01T04:00:00.000000000,136.8,153.64204
2026-03-01T05:00:00.000000000,133.88,158.89417
2026-03-01T06:00:00.000000000,129.4,158.89648
2026-03-01T07:00:00.000000000,126.24,150.94909
2026-03-01T08:00:00.000000000,123.74,145.18126
2026-03-01T09:00:00.000000000,124.95,143.92356
2026-03-01T10:00:00.000000000,121.37,141.4348
2026-03-01T11:00:00.000000000,122.58,142.19013
2026-03-01T12:00:00.000000000,125.62,142.93469
2026-03-01T13:00:00.000000000,123.84,142.84809
2026-03-01T14:00:00.000000000,126.08,137.72237
2026-03-01T15:00:00.000000000,122.0,131.12091
2026-03-01T16:00:00.000000000,103.84,122.94056
2026-03-01T17:00:00.000000000,89.2,109.94147
2026-03-01T18:00:00.000000000,86.22,99.62015
2026-03-01T19:00:00.000000000,88.07,98.71339
2026-03-01T20:00:00.000000000,87.79,95.48364
2026-03-01T21:00:00.000000000,87.12,96.5649
2026-03-01T22:00:00.000000000,92.81,102.52923
2026-03-01T23:00:00.000000000,98.33,110.29705
2026-03-02T00:00:00.000000000,108.36,118.9236
2026-03-02T01:00:00.000000000,131.43,131.13541
2026-03-02T02:00:00.000000000,154.15,136.68376
2026-03-02T03:00:00.000000000,147.53,148.53545
2026-03-02T04:00:00.000000000,152.94,157.0042
2026-03-02T05:00:00.000000000,155.48,162.43743
2026-03-02T06:00:00.000000000,137.75,162.43037
2026-03-02T07:00:00.000000000,132.17,153.81967
2026-03-02T08:00:00.000000000,130.43,148.06406
2026-03-02T09:00:00.000000000,124.97,146.93302
2026-03-02T10:00:00.000000000,124.06,144.49088
2026-03-02T11:00:00.000000000,123.17,144.73539
2026-03-02T12:00:00.000000000,123.69,145.10798
2026-03-02T13:00:00.000000000,124.66,143.96252
2026-03-02T14:00:00.000000000,132.37,137.05874
2026-03-02T15:00:00.000000000,124.62,128.37114
2026-03-02T16:00:00.000000000,112.92,116.70968
2026-03-02T17:00:00.000000000,87.19,99.95008
2026-03-02T18:00:00.000000000,75.99,86.16801
2026-03-02T19:00:00.000000000,73.04,84.45141
2026-03-02T20:00:00.000000000,77.2,81.40844
2026-03-02T21:00:00.000000000,73.04,84.03985
2026-03-02T22:00:00.000000000,76.29,91.51241
2026-03-02T23:00:00.000000000,76.28,101.85961
2026-03-03T00:00:00.000000000,89.83,114.10954
2026-03-03T01:00:00.000000000,127.28,125.19356
2026-03-03T02:00:00.000000000,144.01,129.59516
2026-03-03T03:00:00.000000000,144.07,141.68855
2026-03-03T04:00:00.000000000,142.51,150.85867
2026-03-03T05:00:00.000000000,126.84,156.92413
2026-03-03T06:00:00.000000000,125.51,157.09103
2026-03-03T07:00:00.000000000,132.17,147.70741
