datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-03-01T00:00:00.000000000,186.18,145.25222
2026-03-01T01:00:00.000000000,199.99,154.35204
2026-03-01T02:00:00.000000000,197.03,164.04781
2026-03-01T03:00:00.000000000,197.29,167.37812
2026-03-01T04:00:00.000000000,184.41,169.49987
2026-03-01T05:00:00.000000000,181.84,174.84108
2026-03-01T06:00:00.000000000,176.33,177.05921
2026-03-01T07:00:00.000000000,172.66,177.3795
2026-03-01T08:00:00.000000000,169.86,181.62916
2026-03-01T09:00:00.000000000,171.74,178.74097
2026-03-01T10:00:00.000000000,167.86,173.22363
2026-03-01T11:00:00.000000000,169.66,173.40101
2026-03-01T12:00:00.000000000,173.56,170.68464
2026-03-01T13:00:00.000000000,170.92,161.0432
2026-03-01T14:00:00.000000000,174.07,150.98758
2026-03-01T15:00:00.000000000,168.9,143.7993
2026-03-01T16:00:00.000000000,145.4,139.66074
2026-03-01T17:00:00.000000000,126.43,138.21543
2026-03-01T18:00:00.000000000,122.55,136.32839
2026-03-01T19:00:00.000000000,124.98,139.072
2026-03-01T20:00:00.000000000,124.61,138.93951
2026-03-01T21:00:00.000000000,123.74,134.88864
2026-03-01T22:00:00.000000000,131.1,136.97366
2026-03-01T23:00:00.000000000,138.21,139.09169
2026-03-02T00:00:00.000000000,150.8,137.90611
2026-03-02T01:00:00.000000000,180.23,146.47055
2026-03-02T02:00:00.000000000,208.35,155.36174
2026-03-02T03:00:00.000000000,200.08,158.34565
2026-03-02T04:00:00.000000000,205.62,161.35143
2026-03-02T05:00:00.000000000,209.69,168.61962
2026-03-02T06:00:00.000000000,189.77,172.77184
2026-03-02T07:00:00.000000000,182.12,175.54155
2026-03-02T08:00:00.000000000,179.16,181.68518
2026-03-02T09:00:00.000000000,172.67,179.29603
2026-03-02T10:00:00.000000000,171.57,173.94452
2026-03-02T11:00:00.000000000,170.43,173.9754
2026-03-02T12:00:00.000000000,171.09,170.84648
2026-03-02T13:00:00.000000000,172.29,159.40295
2026-03-02T14:00:00.000000000,181.28,146.3163
2026-03-02T15:00:00.000000000,172.19,136.92608
2026-03-02T16:00:00.000000000,157.15,132.23905
2026-03-02T17:00:00.000000000,123.83,131.96086
2026-03-02T18:00:00.000000000,109.33,131.46493
2026-03-02T19:00:00.000000000,105.48,135.47227
2026-03-02T20:00:00.000000000,110.44,135.04192
2026-03-02T21:00:00.000000000,105.47,129.80525
2026-03-02T22:00:00.000000000,109.72,131.34668
2026-03-02T23:00:00.000000000,109.71,132.73246
2026-03-03T00:00:00.000000000,127.15,134.6049
2026-03-03T01:00:00.000000000,173.44,142.50499
2026-03-03T02:00:00.000000000,195.27,151.01153
2026-03-03T03:00:00.000000000,195.32,153.88892
2026-03-03T04:00:00.000000000,193.42,157.29389
2026-03-03T05:00:00.000000000,175.7,165.23047
2026-03-03T06:00:00.000000000,173.72,170.00025
2026-03-03T07:00:00.000000000,181.41,173.73071
2026-03-03T08:00:00.000000000,176.32,180.70871
2026-03-03T09:00:00.000000000,178.43,178.80214
2026-03-03T10:00:00.000000000,177.35,173.80324
2026-03-03T11:00:00.000000000,177.79,173.95231
2026-03-03T12:00:00.000000000,178.42,170.89297
2026-03-03T13:00:00.000000000,180.44,159.2974
2026-03-03T14:00:00.000000000,185.11,145.73812
2026-03-03T15:00:00.000000000,180.37,136.23434
2026-03-03T16:00:00.000000000,148.62,131.7855
2026-03-03T17:00:00.000000000,107.13,132.09125
2026-03-03T18:00:00.000000000,108.94,132.0435
2026-03-03T19:00:00.000000000,107.25,136.30222
2026-03-03T20:00:00.000000000,110.52,135.29475
2026-03-03T21:00:00.000000000,107.82,129.1599
2026-03-03T22:00:00.000000000,106.51,129.93838
2026-03-03T23:00:00.000000000,114.8,130.41796
