datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,250.57535,259.6491
2026-05-22T01:00:00.000000000,237.73724,257.10359
2026-05-22T02:00:00.000000000,239.51525,250.8759
2026-05-22T03:00:00.000000000,252.08682,244.69087
2026-05-22T04:00:00.000000000,256.86892,237.80521
2026-05-22T05:00:00.000000000,265.47215,232.56339
2026-05-22T06:00:00.000000000,262.11013,226.18739
2026-05-22T07:00:00.000000000,252.82755,221.78258
2026-05-22T08:00:00.000000000,242.52784,218.62541
2026-05-22T09:00:00.000000000,242.9374,215.86913
2026-05-22T10:00:00.000000000,253.56966,215.63319
2026-05-22T11:00:00.000000000,249.26714,218.80162
2026-05-22T12:00:00.000000000,283.62304,225.79282
2026-05-22T13:00:00.000000000,319.84473,236.45853
2026-05-22T14:00:00.000000000,348.43184,247.03611
2026-05-22T15:00:00.000000000,351.1155,257.25235
2026-05-22T16:00:00.000000000,354.8486,267.61152
2026-05-22T17:00:00.000000000,359.61392,278.19343
2026-05-22T18:00:00.000000000,354.47452,287.57129
2026-05-22T19:00:00.000000000,341.91311,293.6324
2026-05-22T20:00:00.000000000,342.71783,297.68877
2026-05-22T21:00:00.000000000,351.50693,301.8061
2026-05-22T22:00:00.000000000,351.37994,303.22039
2026-05-22T23:00:00.000000000,349.40439,301.3439
2026-05-23T00:00:00.000000000,340.97756,305.13645
2026-05-23T01:00:00.000000000,328.68932,302.47422
2026-05-23T02:00:00.000000000,321.74825,295.70584
2026-05-23T03:00:00.000000000,323.79215,287.04542
2026-05-23T04:00:00.000000000,325.23185,277.621
2026-05-23T05:00:00.000000000,321.32725,269.33177
2026-05-23T06:00:00.000000000,305.32353,259.71886
2026-05-23T07:00:00.000000000,305.66434,253.44019
2026-05-23T08:00:00.000000000,307.8944,248.11423
2026-05-23T09:00:00.000000000,317.61544,242.40013
2026-05-23T10:00:00.000000000,334.11854,238.39552
2026-05-23T11:00:00.000000000,330.47958,237.52805
2026-05-23T12:00:00.000000000,333.45292,240.30041
2026-05-23T13:00:00.000000000,347.3687,246.66733
2026-05-23T14:00:00.000000000,377.59372,254.1808
2026-05-23T15:00:00.000000000,400.72272,262.44835
2026-05-23T16:00:00.000000000,403.2328,271.13261
2026-05-23T17:00:00.000000000,390.03869,280.5677
