datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,302.90544,283.49136
2026-05-22T01:00:00.000000000,287.80856,274.24368
2026-05-22T02:00:00.000000000,290.29245,265.53707
2026-05-22T03:00:00.000000000,303.08673,276.60567
2026-05-22T04:00:00.000000000,307.24165,273.56661
2026-05-22T05:00:00.000000000,317.31804,280.65326
2026-05-22T06:00:00.000000000,312.92482,287.1489
2026-05-22T07:00:00.000000000,302.46844,300.46012
2026-05-22T08:00:00.000000000,291.04353,313.57301
2026-05-22T09:00:00.000000000,291.79221,321.41557
2026-05-22T10:00:00.000000000,304.68151,331.73678
2026-05-22T11:00:00.000000000,300.05335,337.89337
2026-05-22T12:00:00.000000000,341.90587,346.42825
2026-05-22T13:00:00.000000000,385.29585,356.67967
2026-05-22T14:00:00.000000000,419.47591,366.56084
2026-05-22T15:00:00.000000000,424.0991,367.91816
2026-05-22T16:00:00.000000000,428.16784,365.04196
2026-05-22T17:00:00.000000000,433.47787,358.40215
2026-05-22T18:00:00.000000000,427.04013,355.29725
2026-05-22T19:00:00.000000000,412.35672,354.82079
2026-05-22T20:00:00.000000000,414.48162,355.57648
2026-05-22T21:00:00.000000000,425.48105,345.70479
2026-05-22T22:00:00.000000000,425.49213,336.7219
2026-05-22T23:00:00.000000000,422.34429,324.21047
2026-05-23T00:00:00.000000000,411.67525,306.15869
2026-05-23T01:00:00.000000000,396.97524,302.35308
2026-05-23T02:00:00.000000000,388.19398,295.041
2026-05-23T03:00:00.000000000,388.83576,305.28663
2026-05-23T04:00:00.000000000,387.63115,300.48391
2026-05-23T05:00:00.000000000,381.70452,303.71002
2026-05-23T06:00:00.000000000,362.10226,300.94281
2026-05-23T07:00:00.000000000,362.23717,299.04104
2026-05-23T08:00:00.000000000,365.00762,304.06601
2026-05-23T09:00:00.000000000,376.54015,296.83322
2026-05-23T10:00:00.000000000,395.23002,299.6789
2026-05-23T11:00:00.000000000,390.3013,298.7231
2026-05-23T12:00:00.000000000,394.36933,297.3292
2026-05-23T13:00:00.000000000,412.69602,304.77834
2026-05-23T14:00:00.000000000,450.67752,303.79002
2026-05-23T15:00:00.000000000,479.36961,300.60205
2026-05-23T16:00:00.000000000,481.94481,297.93979
2026-05-23T17:00:00.000000000,466.48182,294.20433
2026-05-23T18:00:00.000000000,446.21915,288.13098
2026-05-23T19:00:00.000000000,429.66649,285.0877
2026-05-23T20:00:00.000000000,434.2649,290.6635
2026-05-23T21:00:00.000000000,446.72108,284.2552
2026-05-23T22:00:00.000000000,463.13333,277.70178
2026-05-23T23:00:00.000000000,460.24889,280.44013
2026-05-24T00:00:00.000000000,444.56663,215.54068
2026-05-24T01:00:00.000000000,421.05096,220.34929
2026-05-24T02:00:00.000000000,402.33887,222.40697
2026-05-24T03:00:00.000000000,361.7658,227.75168
2026-05-24T04:00:00.000000000,324.90479,231.93941
2026-05-24T05:00:00.000000000,322.77488,233.00542
2026-05-24T06:00:00.000000000,308.80041,231.38096
2026-05-24T07:00:00.000000000,288.3673,230.38522
2026-05-24T08:00:00.000000000,273.62782,231.12578
2026-05-24T09:00:00.000000000,268.53343,230.54365
2026-05-24T10:00:00.000000000,285.84102,232.27008
2026-05-24T11:00:00.000000000,304.69771,231.21404
2026-05-24T12:00:00.000000000,311.002,231.10052
2026-05-24T13:00:00.000000000,331.13714,234.34739
2026-05-24T14:00:00.000000000,391.77392,236.43028
2026-05-24T15:00:00.000000000,421.92502,235.72708
2026-05-24T16:00:00.000000000,422.79028,233.45834
2026-05-24T17:00:00.000000000,427.71872,232.70879
2026-05-24T18:00:00.000000000,427.94977,230.02336
2026-05-24T19:00:00.000000000,428.44397,232.23873
2026-05-24T20:00:00.000000000,423.58563,235.38443
2026-05-24T21:00:00.000000000,410.29682,236.45626
2026-05-24T22:00:00.000000000,382.8109,235.84947
2026-05-24T23:00:00.000000000,355.78987,238.64443
2026-05-25T00:00:00.000000000,328.75083,187.72763
2026-05-25T01:00:00.000000000,298.01056,193.70788
2026-05-25T02:00:00.000000000,281.93275,196.88826
2026-05-25T03:00:00.000000000,262.28522,197.31996
2026-05-25T04:00:00.000000000,246.11293,205.27596
2026-05-25T05:00:00.000000000,229.43172,203.98008
2026-05-25T06:00:00.000000000,215.72159,205.04926
2026-05-25T07:00:00.000000000,215.422,205.22311
2026-05-25T08:00:00.000000000,222.29964,206.47485
2026-05-25T09:00:00.000000000,229.89368,210.05126
2026-05-25T10:00:00.000000000,234.36774,212.78014
2026-05-25T11:00:00.000000000,242.09549,214.45876
2026-05-25T12:00:00.000000000,266.70916,217.08509
2026-05-25T13:00:00.000000000,307.25045,218.96164
2026-05-25T14:00:00.000000000,371.33425,223.97231
2026-05-25T15:00:00.000000000,375.5313,227.87132
2026-05-25T16:00:00.000000000,367.64142,224.14124
2026-05-25T17:00:00.000000000,392.02006,223.237
2026-05-25T18:00:00.000000000,399.64015,221.58453
2026-05-25T19:00:00.000000000,394.70329,224.68143
2026-05-25T20:00:00.000000000,384.88348,224.46357
2026-05-25T21:00:00.000000000,372.45215,225.85657
2026-05-25T22:00:00.000000000,357.35746,224.99948
2026-05-25T23:00:00.000000000,343.02082,225.11721
2026-05-26T00:00:00.000000000,334.92594,206.93771
2026-05-26T01:00:00.000000000,326.27769,211.96113
2026-05-26T02:00:00.000000000,316.33399,214.21222
2026-05-26T03:00:00.000000000,288.4779,215.9489
2026-05-26T04:00:00.000000000,279.04322,221.73698
2026-05-26T05:00:00.000000000,253.34482,220.86756
2026-05-26T06:00:00.000000000,235.33025,220.15074
2026-05-26T07:00:00.000000000,235.05224,219.09559
2026-05-26T08:00:00.000000000,233.43349,219.78051
2026-05-26T09:00:00.000000000,241.60775,220.73423
2026-05-26T10:00:00.000000000,278.35838,223.01023
2026-05-26T11:00:00.000000000,315.1291,223.69803
2026-05-26T12:00:00.000000000,319.6367,224.85438
2026-05-26T13:00:00.000000000,347.88924,227.62301
2026-05-26T14:00:00.000000000,423.11452,231.15079
2026-05-26T15:00:00.000000000,430.21211,233.42259
2026-05-26T16:00:00.000000000,422.13332,231.40081
2026-05-26T17:00:00.000000000,423.49235,230.52688
2026-05-26T18:00:00.000000000,409.87238,228.19622
2026-05-26T19:00:00.000000000,382.61965,230.04086
2026-05-26T20:00:00.000000000,354.24878,231.09674
2026-05-26T21:00:00.000000000,350.62141,232.16826
2026-05-26T22:00:00.000000000,355.03548,231.66654
2026-05-26T23:00:00.000000000,341.88598,233.14672
2026-05-27T00:00:00.000000000,344.52404,212.99796
2026-05-27T01:00:00.000000000,359.54976,217.48806
2026-05-27T02:00:00.000000000,378.59103,219.19584
2026-05-27T03:00:00.000000000,367.475,220.94377
2026-05-27T04:00:00.000000000,354.80172,226.04036
2026-05-27T05:00:00.000000000,339.63483,225.15567
2026-05-27T06:00:00.000000000,325.43778,223.98971
2026-05-27T07:00:00.000000000,337.684,222.40271
2026-05-27T08:00:00.000000000,361.88379,223.27071
2026-05-27T09:00:00.000000000,378.05133,223.4246
2026-05-27T10:00:00.000000000,415.89299,225.7973
2026-05-27T11:00:00.000000000,443.02696,226.4398
2026-05-27T12:00:00.000000000,445.94714,227.41134
2026-05-27T13:00:00.000000000,471.0928,230.67338
2026-05-27T14:00:00.000000000,498.3401,233.70052
2026-05-27T15:00:00.000000000,498.51441,235.85528
2026-05-27T16:00:00.000000000,481.09517,234.46768
2026-05-27T17:00:00.000000000,460.57697,233.60438
2026-05-27T18:00:00.000000000,444.73947,231.07354
2026-05-27T19:00:00.000000000,422.45767,232.59181
2026-05-27T20:00:00.000000000,417.19372,233.94597
2026-05-27T21:00:00.000000000,411.83904,234.61723
2026-05-27T22:00:00.000000000,418.21675,233.94582
2026-05-27T23:00:00.000000000,424.76304,235.71254
2026-05-28T00:00:00.000000000,432.16697,216.90531
2026-05-28T01:00:00.000000000,439.15542,221.28125
2026-05-28T02:00:00.000000000,443.31882,222.79192
2026-05-28T03:00:00.000000000,438.74213,225.50896
2026-05-28T04:00:00.000000000,444.2535,230.02779
2026-05-28T05:00:00.000000000,440.94793,229.73832
2026-05-28T06:00:00.000000000,441.06984,228.29814
2026-05-28T07:00:00.000000000,456.68933,226.40576
2026-05-28T08:00:00.000000000,469.98616,227.88999
