datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,483.76168,483.04714
2026-05-22T01:00:00.000000000,490.0,485.69512
2026-05-22T02:00:00.000000000,490.0,487.32922
2026-05-22T03:00:00.000000000,490.0,488.35444
2026-05-22T04:00:00.000000000,490.0,487.5025
2026-05-22T05:00:00.000000000,490.0,487.17432
2026-05-22T06:00:00.000000000,490.0,487.45111
2026-05-22T07:00:00.000000000,490.0,485.58733
2026-05-22T08:00:00.000000000,490.0,484.63177
2026-05-22T09:00:00.000000000,490.0,484.58394
2026-05-22T10:00:00.000000000,490.0,483.36387
2026-05-22T11:00:00.000000000,490.0,481.63276
2026-05-22T12:00:00.000000000,487.37463,478.21408
2026-05-22T13:00:00.000000000,480.53191,473.36786
2026-05-22T14:00:00.000000000,468.32051,463.63571
2026-05-22T15:00:00.000000000,454.14692,454.96085
2026-05-22T16:00:00.000000000,456.79104,449.23817
2026-05-22T17:00:00.000000000,453.147,448.45397
2026-05-22T18:00:00.000000000,453.0668,449.62931
2026-05-22T19:00:00.000000000,452.42964,452.89211
2026-05-22T20:00:00.000000000,450.61205,457.60401
2026-05-22T21:00:00.000000000,453.55238,467.14235
2026-05-22T22:00:00.000000000,463.05664,476.96293
2026-05-22T23:00:00.000000000,475.90099,483.04993
2026-05-23T00:00:00.000000000,488.18367,482.65135
2026-05-23T01:00:00.000000000,490.0,484.96399
2026-05-23T02:00:00.000000000,490.0,486.65399
2026-05-23T03:00:00.000000000,490.0,487.73016
2026-05-23T04:00:00.000000000,490.0,486.9814
2026-05-23T05:00:00.000000000,490.0,486.79632
2026-05-23T06:00:00.000000000,490.0,487.30044
2026-05-23T07:00:00.000000000,490.0,486.01981
2026-05-23T08:00:00.000000000,490.0,485.26449
2026-05-23T09:00:00.000000000,490.0,485.10586
2026-05-23T10:00:00.000000000,490.0,483.44216
2026-05-23T11:00:00.000000000,490.0,481.12575
2026-05-23T12:00:00.000000000,490.0,477.77215
2026-05-23T13:00:00.000000000,488.52649,473.33933
2026-05-23T14:00:00.000000000,482.95886,464.50528
2026-05-23T15:00:00.000000000,476.71642,456.81423
2026-05-23T16:00:00.000000000,452.39437,451.85328
2026-05-23T17:00:00.000000000,438.91582,451.54962
2026-05-23T18:00:00.000000000,437.89227,452.96352
2026-05-23T19:00:00.000000000,442.95154,456.03629
2026-05-23T20:00:00.000000000,448.10669,459.90194
2026-05-23T21:00:00.000000000,465.6288,468.32029
2026-05-23T22:00:00.000000000,483.52391,476.96624
2026-05-23T23:00:00.000000000,484.15755,482.25083
2026-05-24T00:00:00.000000000,487.97727,483.18694
2026-05-24T01:00:00.000000000,490.0,485.69378
2026-05-24T02:00:00.000000000,490.0,487.49175
2026-05-24T03:00:00.000000000,490.0,488.46188
2026-05-24T04:00:00.000000000,490.0,487.7508
2026-05-24T05:00:00.000000000,490.0,487.42485
2026-05-24T06:00:00.000000000,490.0,487.74959
2026-05-24T07:00:00.000000000,490.0,485.97874
2026-05-24T08:00:00.000000000,490.0,485.11318
2026-05-24T09:00:00.000000000,490.0,485.08751
2026-05-24T10:00:00.000000000,490.0,483.70807
2026-05-24T11:00:00.000000000,490.0,481.48151
2026-05-24T12:00:00.000000000,486.87719,477.56839
2026-05-24T13:00:00.000000000,477.03883,472.57206
2026-05-24T14:00:00.000000000,464.05248,463.23433
2026-05-24T15:00:00.000000000,453.88743,455.23558
2026-05-24T16:00:00.000000000,444.44048,450.07669
2026-05-24T17:00:00.000000000,448.65044,449.6682
2026-05-24T18:00:00.000000000,467.32484,450.98612
2026-05-24T19:00:00.000000000,475.97689,454.54621
2026-05-24T20:00:00.000000000,474.62203,459.45114
2026-05-24T21:00:00.000000000,486.02679,468.89864
2026-05-24T22:00:00.000000000,487.93981,478.127
2026-05-24T23:00:00.000000000,486.82143,483.515
2026-05-25T00:00:00.000000000,490.0,481.90387
2026-05-25T01:00:00.000000000,490.0,484.67535
2026-05-25T02:00:00.000000000,490.0,486.83011
2026-05-25T03:00:00.000000000,490.0,487.82265
2026-05-25T04:00:00.000000000,490.0,487.20501
2026-05-25T05:00:00.000000000,490.0,486.9134
2026-05-25T06:00:00.000000000,490.0,487.53803
2026-05-25T07:00:00.000000000,490.0,486.5006
2026-05-25T08:00:00.000000000,490.0,485.71131
2026-05-25T09:00:00.000000000,490.0,485.47288
2026-05-25T10:00:00.000000000,490.0,483.70418
2026-05-25T11:00:00.000000000,490.0,481.52242
2026-05-25T12:00:00.000000000,486.8662,478.9394
2026-05-25T13:00:00.000000000,476.9544,475.31654
2026-05-25T14:00:00.000000000,464.05248,467.57977
2026-05-25T15:00:00.000000000,474.73615,460.49797
2026-05-25T16:00:00.000000000,452.15206,455.45675
2026-05-25T17:00:00.000000000,443.32927,454.53302
2026-05-25T18:00:00.000000000,440.89655,455.46562
2026-05-25T19:00:00.000000000,448.40217,458.18158
2026-05-25T20:00:00.000000000,445.96842,461.29877
2026-05-25T21:00:00.000000000,453.59918,468.83575
2026-05-25T22:00:00.000000000,463.82353,476.53774
2026-05-25T23:00:00.000000000,475.31959,481.25805
2026-05-26T00:00:00.000000000,486.18026,481.57048
