datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,358.75598,338.04064
2026-05-22T01:00:00.000000000,373.19357,353.33633
2026-05-22T02:00:00.000000000,373.37912,358.14756
2026-05-22T03:00:00.000000000,373.55733,363.43293
2026-05-22T04:00:00.000000000,373.45664,370.51234
2026-05-22T05:00:00.000000000,373.95125,369.03773
2026-05-22T06:00:00.000000000,374.20894,369.03226
2026-05-22T07:00:00.000000000,374.41139,364.4895
2026-05-22T08:00:00.000000000,373.26693,361.89124
2026-05-22T09:00:00.000000000,372.92596,368.08004
2026-05-22T10:00:00.000000000,372.86588,369.26071
2026-05-22T11:00:00.000000000,371.37857,361.52448
2026-05-22T12:00:00.000000000,337.13139,344.07795
2026-05-22T13:00:00.000000000,260.70129,318.89558
2026-05-22T14:00:00.000000000,244.79288,290.98519
2026-05-22T15:00:00.000000000,258.21453,272.8812
2026-05-22T16:00:00.000000000,266.53397,268.4163
2026-05-22T17:00:00.000000000,268.59172,262.19304
2026-05-22T18:00:00.000000000,261.67762,264.93565
2026-05-22T19:00:00.000000000,264.52388,266.07403
2026-05-22T20:00:00.000000000,261.70121,274.25883
2026-05-22T21:00:00.000000000,275.51776,282.61192
2026-05-22T22:00:00.000000000,296.069,297.51863
2026-05-22T23:00:00.000000000,318.79149,320.77012
2026-05-23T00:00:00.000000000,366.48657,330.12194
2026-05-23T01:00:00.000000000,372.27778,349.07163
2026-05-23T02:00:00.000000000,372.13255,358.4059
2026-05-23T03:00:00.000000000,372.16288,365.46586
2026-05-23T04:00:00.000000000,372.19471,373.61835
2026-05-23T05:00:00.000000000,372.21462,372.03473
2026-05-23T06:00:00.000000000,372.54264,372.28401
2026-05-23T07:00:00.000000000,372.72086,368.48291
2026-05-23T08:00:00.000000000,372.86213,366.88881
2026-05-23T09:00:00.000000000,372.94567,372.78843
2026-05-23T10:00:00.000000000,372.97776,373.92891
2026-05-23T11:00:00.000000000,372.5302,367.60606
2026-05-23T12:00:00.000000000,329.84565,353.27629
2026-05-23T13:00:00.000000000,277.50941,331.80716
2026-05-23T14:00:00.000000000,279.37143,305.30662
2026-05-23T15:00:00.000000000,281.9802,284.45349
2026-05-23T16:00:00.000000000,268.33282,274.72127
2026-05-23T17:00:00.000000000,270.64406,264.0605
2026-05-23T18:00:00.000000000,268.51294,264.64503
2026-05-23T19:00:00.000000000,271.32353,266.18885
2026-05-23T20:00:00.000000000,278.89784,274.79914
2026-05-23T21:00:00.000000000,303.56674,281.20248
2026-05-23T22:00:00.000000000,339.84293,292.48319
2026-05-23T23:00:00.000000000,333.606,312.51414
2026-05-24T00:00:00.000000000,359.45785,326.60347
2026-05-24T01:00:00.000000000,372.24004,346.99565
2026-05-24T02:00:00.000000000,372.31259,358.43369
2026-05-24T03:00:00.000000000,372.28927,366.46227
2026-05-24T04:00:00.000000000,372.40911,375.04128
2026-05-24T05:00:00.000000000,372.66342,373.40312
2026-05-24T06:00:00.000000000,372.7656,373.585
2026-05-24T07:00:00.000000000,372.95495,370.09142
2026-05-24T08:00:00.000000000,373.1253,368.91618
2026-05-24T09:00:00.000000000,373.22676,374.23327
2026-05-24T10:00:00.000000000,373.30645,374.8982
2026-05-24T11:00:00.000000000,372.78937,369.02512
2026-05-24T12:00:00.000000000,338.24029,356.39093
2026-05-24T13:00:00.000000000,295.38911,337.05786
2026-05-24T14:00:00.000000000,282.07277,311.88702
2026-05-24T15:00:00.000000000,260.78079,290.293
2026-05-24T16:00:00.000000000,251.53275,278.27979
2026-05-24T17:00:00.000000000,261.62838,265.53295
2026-05-24T18:00:00.000000000,265.2808,265.13603
2026-05-24T19:00:00.000000000,276.3144,267.05493
2026-05-24T20:00:00.000000000,283.52483,276.0739
2026-05-24T21:00:00.000000000,282.20413,281.70081
2026-05-24T22:00:00.000000000,303.74157,291.03237
2026-05-24T23:00:00.000000000,353.30928,309.17246
2026-05-25T00:00:00.000000000,371.06438,324.48133
2026-05-25T01:00:00.000000000,372.47855,345.95594
2026-05-25T02:00:00.000000000,372.4718,358.57236
2026-05-25T03:00:00.000000000,372.3572,367.05496
2026-05-25T04:00:00.000000000,372.38545,375.75521
2026-05-25T05:00:00.000000000,372.52183,373.86731
2026-05-25T06:00:00.000000000,372.7563,374.13264
2026-05-25T07:00:00.000000000,372.89497,370.78323
2026-05-25T08:00:00.000000000,372.86649,370.05463
2026-05-25T09:00:00.000000000,373.01748,375.20351
2026-05-25T10:00:00.000000000,373.02444,375.81296
2026-05-25T11:00:00.000000000,371.74467,370.2294
2026-05-25T12:00:00.000000000,328.53946,358.71342
2026-05-25T13:00:00.000000000,274.18437,340.69261
2026-05-25T14:00:00.000000000,265.0191,316.12425
2026-05-25T15:00:00.000000000,262.42015,293.65382
2026-05-25T16:00:00.000000000,262.39966,279.90877
2026-05-25T17:00:00.000000000,267.81533,265.96723
2026-05-25T18:00:00.000000000,277.91003,265.0572
2026-05-25T19:00:00.000000000,277.44275,267.30608
2026-05-25T20:00:00.000000000,283.54664,276.58258
2026-05-25T21:00:00.000000000,281.61482,281.8309
2026-05-25T22:00:00.000000000,299.13196,289.93085
2026-05-25T23:00:00.000000000,340.97417,307.06163
2026-05-26T00:00:00.000000000,369.83045,321.83102
2026-05-26T01:00:00.000000000,375.21628,344.07902
2026-05-26T02:00:00.000000000,375.36154,357.3771
2026-05-26T03:00:00.000000000,373.55273,366.26759
2026-05-26T04:00:00.000000000,375.0608,375.50366
2026-05-26T05:00:00.000000000,372.95973,374.01355
2026-05-26T06:00:00.000000000,372.56975,374.42752
2026-05-26T07:00:00.000000000,372.71814,371.10145
2026-05-26T08:00:00.000000000,372.76184,370.14944
2026-05-26T09:00:00.000000000,372.87593,375.47747
2026-05-26T10:00:00.000000000,372.80462,376.42375
2026-05-26T11:00:00.000000000,371.70586,371.16808
2026-05-26T12:00:00.000000000,327.38212,359.849
2026-05-26T13:00:00.000000000,272.28116,341.92922
2026-05-26T14:00:00.000000000,279.04374,316.7942
2026-05-26T15:00:00.000000000,259.21236,293.41391
2026-05-26T16:00:00.000000000,258.81392,278.92828
2026-05-26T17:00:00.000000000,264.54676,263.87989
2026-05-26T18:00:00.000000000,270.38532,262.46373
2026-05-26T19:00:00.000000000,270.62,264.36391
2026-05-26T20:00:00.000000000,280.40006,273.497
2026-05-26T21:00:00.000000000,272.8408,278.72756
2026-05-26T22:00:00.000000000,315.98799,286.85459
2026-05-26T23:00:00.000000000,358.65518,304.16776
2026-05-27T00:00:00.000000000,370.10065,319.1835
2026-05-27T01:00:00.000000000,375.31875,341.88047
2026-05-27T02:00:00.000000000,375.71746,355.73221
2026-05-27T03:00:00.000000000,375.55577,365.29108
2026-05-27T04:00:00.000000000,372.89504,375.23527
2026-05-27T05:00:00.000000000,372.50888,374.33831
2026-05-27T06:00:00.000000000,372.75514,374.57849
2026-05-27T07:00:00.000000000,372.77753,371.28563
2026-05-27T08:00:00.000000000,372.75291,369.90814
2026-05-27T09:00:00.000000000,372.73212,375.54183
2026-05-27T10:00:00.000000000,372.79506,376.8297
2026-05-27T11:00:00.000000000,372.13907,371.75477
2026-05-27T12:00:00.000000000,334.84488,360.28802
2026-05-27T13:00:00.000000000,277.4894,341.78474
2026-05-27T14:00:00.000000000,280.61416,315.80387
2026-05-27T15:00:00.000000000,276.95465,291.81396
2026-05-27T16:00:00.000000000,272.84948,277.20659
2026-05-27T17:00:00.000000000,263.90361,261.22112
2026-05-27T18:00:00.000000000,270.60137,259.21622
2026-05-27T19:00:00.000000000,269.42072,260.64022
2026-05-27T20:00:00.000000000,283.79073,269.66145
2026-05-27T21:00:00.000000000,308.57359,275.03762
2026-05-27T22:00:00.000000000,324.85126,283.55739
2026-05-27T23:00:00.000000000,355.76271,301.31089
2026-05-28T00:00:00.000000000,368.41847,316.24409
2026-05-28T01:00:00.000000000,375.16296,339.62435
2026-05-28T02:00:00.000000000,375.42457,354.28664
2026-05-28T03:00:00.000000000,375.20785,364.57164
2026-05-28T04:00:00.000000000,375.23404,375.148
2026-05-28T05:00:00.000000000,374.90585,374.60513
2026-05-28T06:00:00.000000000,375.15507,374.73745
2026-05-28T07:00:00.000000000,372.34286,371.50726
2026-05-28T08:00:00.000000000,372.41504,369.95357
2026-05-28T09:00:00.000000000,372.32955,375.85885
2026-05-28T10:00:00.000000000,372.23312,377.42048
2026-05-28T11:00:00.000000000,371.73588,372.5215
2026-05-28T12:00:00.000000000,347.41028,361.39389
2026-05-28T13:00:00.000000000,284.23798,342.90035
2026-05-28T14:00:00.000000000,279.28963,316.52391
2026-05-28T15:00:00.000000000,306.32432,291.76293
2026-05-28T16:00:00.000000000,298.35554,276.40317
2026-05-28T17:00:00.000000000,295.0,259.26758
2026-05-28T18:00:00.000000000,288.51444,256.57295
2026-05-28T19:00:00.000000000,294.27753,257.78731
2026-05-28T20:00:00.000000000,329.01344,266.92355
2026-05-28T21:00:00.000000000,310.7723,272.38275
2026-05-28T22:00:00.000000000,318.91599,280.73241
2026-05-28T23:00:00.000000000,341.6413,298.36178
2026-05-23T00:00:00.000000000,366.48657,333.45388
2026-05-23T01:00:00.000000000,372.27778,350.38748
2026-05-23T02:00:00.000000000,372.13255,357.27723
2026-05-23T03:00:00.000000000,372.16288,363.4946
2026-05-23T04:00:00.000000000,372.19471,371.20846
2026-05-23T05:00:00.000000000,372.21462,369.77442
2026-05-23T06:00:00.000000000,372.54264,369.87614
2026-05-23T07:00:00.000000000,372.72086,365.68499
2026-05-23T08:00:00.000000000,372.86213,363.50406
2026-05-23T09:00:00.000000000,372.94567,369.91412
2026-05-23T10:00:00.000000000,372.97776,371.3416
2026-05-23T11:00:00.000000000,372.5302,364.31486
2026-05-23T12:00:00.000000000,329.84565,348.4365
2026-05-23T13:00:00.000000000,277.50941,324.85448
2026-05-23T14:00:00.000000000,279.37143,297.48543
2026-05-23T15:00:00.000000000,281.9802,278.0207
2026-05-23T16:00:00.000000000,268.33282,271.13596
2026-05-23T17:00:00.000000000,270.64406,262.82669
2026-05-23T18:00:00.000000000,268.51294,264.51812
2026-05-23T19:00:00.000000000,271.32353,265.77045
2026-05-23T20:00:00.000000000,278.89784,274.16408
2026-05-23T21:00:00.000000000,303.56674,281.58948
2026-05-23T22:00:00.000000000,339.84293,294.65544
2026-05-23T23:00:00.000000000,333.606,316.23589
2026-05-24T00:00:00.000000000,359.45785,329.37881
2026-05-24T01:00:00.000000000,372.24004,348.71062
2026-05-24T02:00:00.000000000,372.31259,358.9083
2026-05-24T03:00:00.000000000,372.28927,366.3182
2026-05-24T04:00:00.000000000,372.40911,374.51687
2026-05-24T05:00:00.000000000,372.66342,372.81441
2026-05-24T06:00:00.000000000,372.7656,372.98822
2026-05-24T07:00:00.000000000,372.95495,369.35987
2026-05-24T08:00:00.000000000,373.1253,368.03205
2026-05-24T09:00:00.000000000,373.22676,373.4538
2026-05-24T10:00:00.000000000,373.30645,374.10767
2026-05-24T11:00:00.000000000,372.78937,367.89161
2026-05-24T12:00:00.000000000,338.24029,354.37212
2026-05-24T13:00:00.000000000,295.38911,334.08088
2026-05-24T14:00:00.000000000,282.07277,308.65209
2026-05-24T15:00:00.000000000,260.78079,287.9304
2026-05-24T16:00:00.000000000,251.53275,277.35356
2026-05-24T17:00:00.000000000,261.62838,265.97343
2026-05-24T18:00:00.000000000,265.2808,266.19983
2026-05-24T19:00:00.000000000,276.3144,268.01544
2026-05-24T20:00:00.000000000,283.52483,276.87706
2026-05-24T21:00:00.000000000,282.20413,282.85631
2026-05-24T22:00:00.000000000,303.74157,293.12546
2026-05-24T23:00:00.000000000,353.30928,312.01398
2026-05-25T00:00:00.000000000,371.06438,326.25673
2026-05-25T01:00:00.000000000,372.47855,347.14513
2026-05-25T02:00:00.000000000,372.4718,359.11738
2026-05-25T03:00:00.000000000,372.3572,367.20061
2026-05-25T04:00:00.000000000,372.38545,375.60574
2026-05-25T05:00:00.000000000,372.52183,373.60076
2026-05-25T06:00:00.000000000,372.7563,373.88294
2026-05-25T07:00:00.000000000,372.89497,370.48175
2026-05-25T08:00:00.000000000,372.86649,369.77697
2026-05-25T09:00:00.000000000,373.01748,374.9086
2026-05-25T10:00:00.000000000,373.02444,375.44905
2026-05-25T11:00:00.000000000,371.74467,369.7097
2026-05-25T12:00:00.000000000,328.53946,357.82494
2026-05-25T13:00:00.000000000,274.18437,339.48621
2026-05-25T14:00:00.000000000,265.0191,314.98013
2026-05-25T15:00:00.000000000,262.42015,293.05629
2026-05-25T16:00:00.000000000,262.39966,280.00685
2026-05-25T17:00:00.000000000,267.81533,266.8392
2026-05-25T18:00:00.000000000,277.91003,266.29839
2026-05-25T19:00:00.000000000,277.44275,268.56824
2026-05-25T20:00:00.000000000,283.54664,277.77159
2026-05-25T21:00:00.000000000,281.61482,283.11988
