datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,476.10367,462.58875
2026-05-22T01:00:00.000000000,493.27146,482.49912
2026-05-22T02:00:00.000000000,493.46154,490.78342
2026-05-22T03:00:00.000000000,493.6441,493.12639
2026-05-22T04:00:00.000000000,493.54095,490.01262
2026-05-22T05:00:00.000000000,494.04762,489.56997
2026-05-22T06:00:00.000000000,494.31159,491.74299
2026-05-22T07:00:00.000000000,494.51899,495.5041
2026-05-22T08:00:00.000000000,493.34661,494.75883
2026-05-22T09:00:00.000000000,492.99732,493.52755
2026-05-22T10:00:00.000000000,492.93578,496.68233
2026-05-22T11:00:00.000000000,491.15877,494.45584
2026-05-22T12:00:00.000000000,449.97465,479.26261
2026-05-22T13:00:00.000000000,358.08812,441.35048
2026-05-22T14:00:00.000000000,338.98801,397.20775
2026-05-22T15:00:00.000000000,355.16883,365.15426
2026-05-22T16:00:00.000000000,365.14534,343.44724
2026-05-22T17:00:00.000000000,367.71154,340.19634
2026-05-22T18:00:00.000000000,359.40697,349.71104
2026-05-22T19:00:00.000000000,362.7366,358.60843
2026-05-22T20:00:00.000000000,359.18342,361.25296
2026-05-22T21:00:00.000000000,375.81577,380.47265
2026-05-22T22:00:00.000000000,400.3361,403.3984
2026-05-22T23:00:00.000000000,427.62824,433.22736
2026-05-23T00:00:00.000000000,484.75736,443.79001
2026-05-23T01:00:00.000000000,492.33333,474.23108
2026-05-23T02:00:00.000000000,492.18456,490.94046
2026-05-23T03:00:00.000000000,492.21563,497.36898
2026-05-23T04:00:00.000000000,492.24824,494.54917
2026-05-23T05:00:00.000000000,492.26864,493.56463
2026-05-23T06:00:00.000000000,492.60465,494.49525
2026-05-23T07:00:00.000000000,492.78723,499.35876
2026-05-23T08:00:00.000000000,492.93194,498.39123
2026-05-23T09:00:00.000000000,493.01751,495.05107
2026-05-23T10:00:00.000000000,493.05039,496.6383
2026-05-23T11:00:00.000000000,492.50336,500.45047
2026-05-23T12:00:00.000000000,441.15,498.25773
2026-05-23T13:00:00.000000000,377.34375,473.60759
2026-05-23T14:00:00.000000000,379.79664,431.38941
2026-05-23T15:00:00.000000000,383.67135,387.91661
2026-05-23T16:00:00.000000000,367.37508,349.83665
2026-05-23T17:00:00.000000000,370.16879,337.91471
2026-05-23T18:00:00.000000000,367.6224,344.80494
2026-05-23T19:00:00.000000000,370.99156,353.54265
2026-05-23T20:00:00.000000000,380.08665,353.91898
2026-05-23T21:00:00.000000000,409.45655,366.14525
2026-05-23T22:00:00.000000000,453.03203,380.39511
2026-05-23T23:00:00.000000000,445.86318,407.04819
2026-05-24T00:00:00.000000000,476.93576,433.08135
2026-05-24T01:00:00.000000000,492.29468,464.1174
2026-05-24T02:00:00.000000000,492.369,485.95297
2026-05-24T03:00:00.000000000,492.3451,498.16363
2026-05-24T04:00:00.000000000,492.46787,498.59712
2026-05-24T05:00:00.000000000,492.72838,498.22773
2026-05-24T06:00:00.000000000,492.83305,498.07242
2026-05-24T07:00:00.000000000,493.02703,502.74692
2026-05-24T08:00:00.000000000,493.20152,502.44232
2026-05-24T09:00:00.000000000,493.30546,499.67514
2026-05-24T10:00:00.000000000,493.3871,500.12381
2026-05-24T11:00:00.000000000,492.79185,502.82177
2026-05-24T12:00:00.000000000,451.25243,503.04081
2026-05-24T13:00:00.000000000,399.73909,485.63745
2026-05-24T14:00:00.000000000,383.77146,451.40156
2026-05-24T15:00:00.000000000,358.22144,410.8137
2026-05-24T16:00:00.000000000,347.14889,368.13665
2026-05-24T17:00:00.000000000,359.30459,348.75838
2026-05-24T18:00:00.000000000,363.72283,348.59422
2026-05-24T19:00:00.000000000,376.97238,354.02988
2026-05-24T20:00:00.000000000,385.62086,355.00977
2026-05-24T21:00:00.000000000,384.04224,366.66174
2026-05-24T22:00:00.000000000,409.94703,377.12011
2026-05-24T23:00:00.000000000,469.52405,398.65976
2026-05-25T00:00:00.000000000,490.84481,426.71579
2026-05-25T01:00:00.000000000,492.539,457.66803
2026-05-25T02:00:00.000000000,492.53209,481.94594
2026-05-25T03:00:00.000000000,492.41469,497.30064
2026-05-25T04:00:00.000000000,492.44364,499.82598
2026-05-25T05:00:00.000000000,492.58333,499.98965
2026-05-25T06:00:00.000000000,492.82353,499.512
2026-05-25T07:00:00.000000000,492.96558,503.62408
2026-05-25T08:00:00.000000000,492.9364,503.77971
2026-05-25T09:00:00.000000000,493.09108,502.04603
2026-05-25T10:00:00.000000000,493.0982,502.52255
2026-05-25T11:00:00.000000000,491.57322,504.40872
