datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,325.40592,320.98173
2026-05-22T01:00:00.000000000,306.4506,333.72826
2026-05-22T02:00:00.000000000,360.53405,349.41647
2026-05-22T03:00:00.000000000,390.70105,359.91549
2026-05-22T04:00:00.000000000,389.27168,363.38137
2026-05-22T05:00:00.000000000,387.42191,364.30201
2026-05-22T06:00:00.000000000,383.17364,369.15336
2026-05-22T07:00:00.000000000,382.59103,371.48665
2026-05-22T08:00:00.000000000,389.3589,375.18956
2026-05-22T09:00:00.000000000,394.22336,376.84931
2026-05-22T10:00:00.000000000,395.19088,379.84648
2026-05-22T11:00:00.000000000,393.19198,378.27541
2026-05-22T12:00:00.000000000,388.27267,381.71149
2026-05-22T13:00:00.000000000,388.00228,380.56765
2026-05-22T14:00:00.000000000,339.26941,373.52181
2026-05-22T15:00:00.000000000,278.79599,364.80153
2026-05-22T16:00:00.000000000,259.21072,350.2186
2026-05-22T17:00:00.000000000,244.71208,335.48057
2026-05-22T18:00:00.000000000,245.2216,322.85464
2026-05-22T19:00:00.000000000,245.43131,309.7105
2026-05-22T20:00:00.000000000,251.1252,301.28284
2026-05-22T21:00:00.000000000,247.5,299.26327
2026-05-22T22:00:00.000000000,251.56347,305.13825
2026-05-22T23:00:00.000000000,262.81385,309.41763
2026-05-23T00:00:00.000000000,280.31901,330.14317
2026-05-23T01:00:00.000000000,331.64709,338.15005
2026-05-23T02:00:00.000000000,394.54145,347.36468
2026-05-23T03:00:00.000000000,420.24988,351.93582
2026-05-23T04:00:00.000000000,398.70778,352.01538
2026-05-23T05:00:00.000000000,389.76316,354.70493
2026-05-23T06:00:00.000000000,381.75273,362.78563
2026-05-23T07:00:00.000000000,368.73888,368.11945
2026-05-23T08:00:00.000000000,371.68533,371.01654
2026-05-23T09:00:00.000000000,379.72851,368.71418
2026-05-23T10:00:00.000000000,383.39513,366.64067
2026-05-23T11:00:00.000000000,406.06884,362.40906
2026-05-23T12:00:00.000000000,414.0165,366.48321
2026-05-23T13:00:00.000000000,396.76724,368.21107
2026-05-23T14:00:00.000000000,349.8518,365.12806
2026-05-23T15:00:00.000000000,278.80503,361.21833
2026-05-23T16:00:00.000000000,264.83372,353.07165
2026-05-23T17:00:00.000000000,254.37092,346.14153
2026-05-23T18:00:00.000000000,249.38017,339.321
2026-05-23T19:00:00.000000000,254.38679,333.12107
2026-05-23T20:00:00.000000000,265.0632,326.58222
2026-05-23T21:00:00.000000000,279.14402,321.91851
2026-05-23T22:00:00.000000000,265.03838,324.38964
2026-05-23T23:00:00.000000000,268.03714,324.04467
2026-05-24T00:00:00.000000000,284.32091,332.93522
2026-05-24T01:00:00.000000000,320.53318,338.74643
2026-05-24T02:00:00.000000000,400.73875,346.53981
2026-05-24T03:00:00.000000000,439.60819,350.57644
2026-05-24T04:00:00.000000000,435.28524,350.77753
2026-05-24T05:00:00.000000000,400.55408,353.69314
2026-05-24T06:00:00.000000000,386.39274,361.67069
2026-05-24T07:00:00.000000000,372.80672,367.07004
2026-05-24T08:00:00.000000000,379.15649,370.44203
2026-05-24T09:00:00.000000000,380.59587,368.87362
2026-05-24T10:00:00.000000000,382.74118,367.49719
2026-05-24T11:00:00.000000000,385.66156,363.61096
2026-05-24T12:00:00.000000000,386.38286,367.33426
2026-05-24T13:00:00.000000000,391.98478,368.97522
2026-05-24T14:00:00.000000000,344.23935,366.28151
2026-05-24T15:00:00.000000000,272.0551,363.581
2026-05-24T16:00:00.000000000,261.18042,356.88489
2026-05-24T17:00:00.000000000,251.90269,350.83475
2026-05-24T18:00:00.000000000,253.7221,344.54851
2026-05-24T19:00:00.000000000,259.125,338.92329
2026-05-24T20:00:00.000000000,279.18514,332.92923
2026-05-24T21:00:00.000000000,290.48344,328.39897
2026-05-24T22:00:00.000000000,318.50928,330.2168
2026-05-24T23:00:00.000000000,363.65079,328.35459
2026-05-25T00:00:00.000000000,394.63824,339.67369
2026-05-25T01:00:00.000000000,404.0542,343.6495
2026-05-25T02:00:00.000000000,416.64384,350.44354
2026-05-25T03:00:00.000000000,415.91683,353.92597
2026-05-25T04:00:00.000000000,404.31348,353.68993
2026-05-25T05:00:00.000000000,391.2197,356.08814
2026-05-25T06:00:00.000000000,390.09254,362.73269
2026-05-25T07:00:00.000000000,385.60753,367.07036
2026-05-25T08:00:00.000000000,386.96461,370.09222
2026-05-25T09:00:00.000000000,387.16427,368.75561
2026-05-25T10:00:00.000000000,374.17449,367.30039
2026-05-25T11:00:00.000000000,380.36848,363.38614
2026-05-25T12:00:00.000000000,384.02968,366.62554
2026-05-25T13:00:00.000000000,391.72897,368.18376
2026-05-25T14:00:00.000000000,340.94385,365.68379
2026-05-25T15:00:00.000000000,271.63136,363.80037
2026-05-25T16:00:00.000000000,253.17471,358.43337
2026-05-25T17:00:00.000000000,264.02494,353.71033
2026-05-25T18:00:00.000000000,268.00415,348.94771
2026-05-25T19:00:00.000000000,250.59914,345.33758
2026-05-25T20:00:00.000000000,259.20616,341.50159
2026-05-25T21:00:00.000000000,263.83889,338.52771
2026-05-25T22:00:00.000000000,255.21368,340.12332
2026-05-25T23:00:00.000000000,240.42294,336.90768
2026-05-26T00:00:00.000000000,246.18855,349.06353
2026-05-26T01:00:00.000000000,275.43697,353.58266
2026-05-26T02:00:00.000000000,363.5752,360.08197
2026-05-26T03:00:00.000000000,401.23904,362.76834
2026-05-26T04:00:00.000000000,405.78148,361.79526
2026-05-26T05:00:00.000000000,414.57654,363.27798
2026-05-26T06:00:00.000000000,427.63019,369.09621
2026-05-26T07:00:00.000000000,406.88344,372.60701
2026-05-26T08:00:00.000000000,390.47957,374.75233
2026-05-26T09:00:00.000000000,394.0709,373.10688
2026-05-26T10:00:00.000000000,402.77363,370.78369
2026-05-26T11:00:00.000000000,412.93248,366.2702
2026-05-26T12:00:00.000000000,399.6384,369.22486
2026-05-26T13:00:00.000000000,410.9414,370.63056
2026-05-26T14:00:00.000000000,355.79919,367.5927
2026-05-26T15:00:00.000000000,293.31072,365.47709
2026-05-26T16:00:00.000000000,269.51414,360.1463
2026-05-26T17:00:00.000000000,264.97179,355.79729
2026-05-26T18:00:00.000000000,279.86063,351.2837
2026-05-26T19:00:00.000000000,287.68992,347.60542
2026-05-26T20:00:00.000000000,278.5236,344.13977
2026-05-26T21:00:00.000000000,270.09924,342.4974
2026-05-26T22:00:00.000000000,275.98536,345.92754
2026-05-26T23:00:00.000000000,286.10469,344.40841
2026-05-27T00:00:00.000000000,309.68145,348.09675
2026-05-27T01:00:00.000000000,332.83824,352.16672
2026-05-27T02:00:00.000000000,395.8377,358.60341
2026-05-27T03:00:00.000000000,430.41937,361.4436
2026-05-27T04:00:00.000000000,425.8664,360.60825
2026-05-27T05:00:00.000000000,436.35681,362.20813
2026-05-27T06:00:00.000000000,431.9727,367.92932
2026-05-27T07:00:00.000000000,408.15835,371.39703
2026-05-27T08:00:00.000000000,407.68116,373.6607
2026-05-27T09:00:00.000000000,410.8685,372.1211
2026-05-27T10:00:00.000000000,415.51572,369.97165
2026-05-27T11:00:00.000000000,414.78554,365.57634
2026-05-27T12:00:00.000000000,415.93293,368.4896
2026-05-27T13:00:00.000000000,417.64559,369.90408
2026-05-27T14:00:00.000000000,356.41929,367.02217
2026-05-27T15:00:00.000000000,286.19565,365.10153
2026-05-27T16:00:00.000000000,262.66798,360.0107
2026-05-27T17:00:00.000000000,249.24899,355.83102
2026-05-27T18:00:00.000000000,245.02653,351.56523
2026-05-27T19:00:00.000000000,245.43464,348.33218
2026-05-27T20:00:00.000000000,257.36059,345.22758
2026-05-27T21:00:00.000000000,256.12555,343.56417
2026-05-27T22:00:00.000000000,259.65665,346.48512
2026-05-27T23:00:00.000000000,263.37181,344.26463
2026-05-28T00:00:00.000000000,271.12116,348.92802
2026-05-28T01:00:00.000000000,306.93214,352.86161
2026-05-28T02:00:00.000000000,380.6168,359.20637
2026-05-28T03:00:00.000000000,416.45843,361.98663
2026-05-28T04:00:00.000000000,415.87172,361.10665
2026-05-28T05:00:00.000000000,419.52206,362.64078
2026-05-28T06:00:00.000000000,409.08874,368.22995
2026-05-28T07:00:00.000000000,407.5918,371.58075
2026-05-28T08:00:00.000000000,419.36019,373.77153
2026-05-28T09:00:00.000000000,412.04314,372.22663
2026-05-28T10:00:00.000000000,409.27452,370.03615
2026-05-28T11:00:00.000000000,403.63216,365.61247
2026-05-28T12:00:00.000000000,403.4454,368.47213
2026-05-28T13:00:00.000000000,420.49342,369.87701
2026-05-28T14:00:00.000000000,400.1195,366.99454
2026-05-28T15:00:00.000000000,375.68867,365.1336
2026-05-28T16:00:00.000000000,355.20151,360.14344
2026-05-28T17:00:00.000000000,337.92721,356.08038
2026-05-28T18:00:00.000000000,323.03452,351.95273
2026-05-28T19:00:00.000000000,318.41676,348.88823
2026-05-28T20:00:00.000000000,312.37422,345.97561
2026-05-28T21:00:00.000000000,299.69267,344.49232
2026-05-28T22:00:00.000000000,305.74729,347.46021
2026-05-28T23:00:00.000000000,355.09589,345.18402
2026-05-23T00:00:00.000000000,280.31901,302.63458
2026-05-23T01:00:00.000000000,331.64709,314.93417
2026-05-23T02:00:00.000000000,394.54145,329.85069
2026-05-23T03:00:00.000000000,420.24988,341.39534
2026-05-23T04:00:00.000000000,398.70778,346.29668
2026-05-23T05:00:00.000000000,389.76316,350.39469
2026-05-23T06:00:00.000000000,381.75273,358.58408
2026-05-23T07:00:00.000000000,368.73888,362.78531
2026-05-23T08:00:00.000000000,371.68533,365.918
2026-05-23T09:00:00.000000000,379.72851,364.38823
2026-05-23T10:00:00.000000000,383.39513,364.36873
2026-05-23T11:00:00.000000000,406.06884,361.30537
2026-05-23T12:00:00.000000000,414.0165,366.08165
2026-05-23T13:00:00.000000000,396.76724,367.43952
2026-05-23T14:00:00.000000000,349.8518,363.96779
2026-05-23T15:00:00.000000000,278.80503,356.63449
2026-05-23T16:00:00.000000000,264.83372,341.92536
2026-05-23T17:00:00.000000000,254.37092,326.20862
2026-05-23T18:00:00.000000000,249.38017,311.49903
2026-05-23T19:00:00.000000000,254.38679,299.14587
2026-05-23T20:00:00.000000000,265.0632,290.83924
2026-05-23T21:00:00.000000000,279.14402,287.84765
2026-05-23T22:00:00.000000000,265.03838,293.5179
2026-05-23T23:00:00.000000000,268.03714,296.36993
2026-05-24T00:00:00.000000000,284.32091,319.6419
2026-05-24T01:00:00.000000000,320.53318,327.74793
2026-05-24T02:00:00.000000000,400.73875,337.53842
2026-05-24T03:00:00.000000000,439.60819,343.11076
2026-05-24T04:00:00.000000000,435.28524,344.24985
2026-05-24T05:00:00.000000000,400.55408,348.10078
2026-05-24T06:00:00.000000000,386.39274,357.53262
2026-05-24T07:00:00.000000000,372.80672,364.04239
2026-05-24T08:00:00.000000000,379.15649,367.8065
