datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,415.12123,419.63446
2026-05-22T01:00:00.000000000,393.24193,451.33011
2026-05-22T02:00:00.000000000,457.05118,473.21903
2026-05-22T03:00:00.000000000,491.9173,486.44199
2026-05-22T04:00:00.000000000,490.63201,494.37415
2026-05-22T05:00:00.000000000,488.21624,489.55288
2026-05-22T06:00:00.000000000,484.30642,488.32994
2026-05-22T07:00:00.000000000,484.981,493.39524
2026-05-22T08:00:00.000000000,492.92493,495.00433
2026-05-22T09:00:00.000000000,498.45692,502.89244
2026-05-22T10:00:00.000000000,499.59202,498.21862
2026-05-22T11:00:00.000000000,497.07278,498.32783
2026-05-22T12:00:00.000000000,490.31658,485.8142
2026-05-22T13:00:00.000000000,490.60216,467.07511
2026-05-22T14:00:00.000000000,432.55194,441.57621
2026-05-22T15:00:00.000000000,356.86689,411.65961
2026-05-22T16:00:00.000000000,331.91818,386.275
2026-05-22T17:00:00.000000000,312.02352,362.96121
2026-05-22T18:00:00.000000000,313.16841,357.87521
2026-05-22T19:00:00.000000000,313.60144,358.13647
2026-05-22T20:00:00.000000000,320.54992,353.88762
2026-05-22T21:00:00.000000000,315.98083,359.96404
2026-05-22T22:00:00.000000000,321.5387,374.16757
2026-05-22T23:00:00.000000000,336.85642,395.37944
2026-05-23T00:00:00.000000000,359.71615,418.59862
2026-05-23T01:00:00.000000000,422.29698,450.04236
2026-05-23T02:00:00.000000000,498.18434,473.31324
2026-05-23T03:00:00.000000000,527.56089,488.31548
2026-05-23T04:00:00.000000000,500.79736,497.50487
2026-05-23T05:00:00.000000000,489.99617,494.52719
2026-05-23T06:00:00.000000000,481.73635,493.60167
2026-05-23T07:00:00.000000000,467.22658,497.99161
2026-05-23T08:00:00.000000000,470.54187,497.90098
2026-05-23T09:00:00.000000000,479.74378,504.9002
2026-05-23T10:00:00.000000000,483.93453,500.80112
2026-05-23T11:00:00.000000000,512.40399,500.8595
2026-05-23T12:00:00.000000000,521.34898,489.35313
2026-05-23T13:00:00.000000000,500.0899,474.05913
2026-05-23T14:00:00.000000000,443.88789,452.09203
2026-05-23T15:00:00.000000000,354.39858,424.16449
2026-05-23T16:00:00.000000000,338.51585,398.88404
2026-05-23T17:00:00.000000000,324.55065,375.80275
2026-05-23T18:00:00.000000000,318.1,368.59072
2026-05-23T19:00:00.000000000,325.37579,367.95255
2026-05-23T20:00:00.000000000,339.37695,362.91261
2026-05-23T21:00:00.000000000,358.32609,367.55293
2026-05-23T22:00:00.000000000,340.6113,379.3401
2026-05-23T23:00:00.000000000,345.03316,397.68943
2026-05-24T00:00:00.000000000,365.8048,422.73093
2026-05-24T01:00:00.000000000,411.06863,452.27361
2026-05-24T02:00:00.000000000,504.7454,474.67073
2026-05-24T03:00:00.000000000,550.864,488.80462
2026-05-24T04:00:00.000000000,543.47943,498.12296
2026-05-24T05:00:00.000000000,501.13945,495.71551
2026-05-24T06:00:00.000000000,486.02348,495.48237
