datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T00:00:00.000000000,191.85,238.26128
2026-05-20T01:00:00.000000000,198.08,239.01702
2026-05-20T02:00:00.000000000,187.97,240.27162
2026-05-20T03:00:00.000000000,194.54,241.10541
2026-05-20T04:00:00.000000000,198.08,242.60954
2026-05-20T05:00:00.000000000,196.33,245.26017
2026-05-20T06:00:00.000000000,198.08,248.03391
2026-05-20T07:00:00.000000000,212.6,246.23293
2026-05-20T08:00:00.000000000,234.69,248.3113
2026-05-20T09:00:00.000000000,247.41,250.90409
2026-05-20T10:00:00.000000000,260.0,251.81152
2026-05-20T11:00:00.000000000,246.67,253.23657
2026-05-20T12:00:00.000000000,242.72,251.46241
2026-05-20T13:00:00.000000000,243.73,247.52606
2026-05-20T14:00:00.000000000,244.72,246.3468
2026-05-20T15:00:00.000000000,247.62,243.95618
2026-05-20T16:00:00.000000000,253.01,241.27635
2026-05-20T17:00:00.000000000,248.55,241.67042
2026-05-20T18:00:00.000000000,251.17,242.47611
2026-05-20T19:00:00.000000000,256.15,242.05821
2026-05-20T20:00:00.000000000,255.96,239.99518
2026-05-20T21:00:00.000000000,245.9,238.83813
2026-05-20T22:00:00.000000000,235.26,240.23147
2026-05-20T23:00:00.000000000,209.94,241.3299
2026-05-21T00:00:00.000000000,213.4,255.0656
2026-05-21T01:00:00.000000000,214.3,253.24503
2026-05-21T02:00:00.000000000,255.0,251.81623
2026-05-21T03:00:00.000000000,252.62,251.9255
2026-05-21T04:00:00.000000000,257.28,252.52965
2026-05-21T05:00:00.000000000,234.92,253.93749
2026-05-21T06:00:00.000000000,204.76,255.32775
2026-05-21T07:00:00.000000000,204.76,252.64528
2026-05-21T08:00:00.000000000,204.76,254.68748
2026-05-21T09:00:00.000000000,219.69,258.80233
2026-05-21T10:00:00.000000000,236.63,261.47542
2026-05-21T11:00:00.000000000,245.91,264.87139
2026-05-21T12:00:00.000000000,249.64,264.06708
2026-05-21T13:00:00.000000000,298.6,261.8248
2026-05-21T14:00:00.000000000,296.34,262.43489
2026-05-21T15:00:00.000000000,280.11,261.27362
2026-05-21T16:00:00.000000000,289.65,259.70457
2026-05-21T17:00:00.000000000,281.12,260.24391
2026-05-21T18:00:00.000000000,293.51,260.91452
2026-05-21T19:00:00.000000000,309.48,260.65829
2026-05-21T20:00:00.000000000,309.25,257.78548
2026-05-21T21:00:00.000000000,302.63,256.71002
