datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T00:00:00.000000000,265.63,327.90717
2026-05-20T01:00:00.000000000,273.47,327.53771
2026-05-20T02:00:00.000000000,260.74,327.8643
2026-05-20T03:00:00.000000000,269.01,329.33543
2026-05-20T04:00:00.000000000,273.47,329.14613
2026-05-20T05:00:00.000000000,271.27,330.12409
2026-05-20T06:00:00.000000000,273.47,331.44071
2026-05-20T07:00:00.000000000,291.76,331.27117
2026-05-20T08:00:00.000000000,319.58,331.51977
2026-05-20T09:00:00.000000000,335.6,330.08227
2026-05-20T10:00:00.000000000,351.46,329.57501
2026-05-20T11:00:00.000000000,334.67,331.49672
2026-05-20T12:00:00.000000000,329.7,328.5623
2026-05-20T13:00:00.000000000,330.97,331.08258
2026-05-20T14:00:00.000000000,332.22,336.44236
2026-05-20T15:00:00.000000000,335.86,340.79979
2026-05-20T16:00:00.000000000,342.66,343.6546
2026-05-20T17:00:00.000000000,337.04,341.85759
2026-05-20T18:00:00.000000000,340.34,336.00058
2026-05-20T19:00:00.000000000,346.62,335.43073
2026-05-20T20:00:00.000000000,346.37,337.0776
2026-05-20T21:00:00.000000000,333.7,335.95733
2026-05-20T22:00:00.000000000,320.3,336.85801
2026-05-20T23:00:00.000000000,288.42,336.02739
2026-05-21T00:00:00.000000000,292.76,344.86667
2026-05-21T01:00:00.000000000,293.9,343.48642
2026-05-21T02:00:00.000000000,345.16,343.2789
2026-05-21T03:00:00.000000000,342.17,344.831
2026-05-21T04:00:00.000000000,348.04,343.42146
2026-05-21T05:00:00.000000000,319.87,343.4144
2026-05-21T06:00:00.000000000,281.88,343.94704
2026-05-21T07:00:00.000000000,281.88,342.14972
2026-05-21T08:00:00.000000000,281.88,341.54444
2026-05-21T09:00:00.000000000,300.69,339.70845
2026-05-21T10:00:00.000000000,322.02,338.20011
2026-05-21T11:00:00.000000000,333.72,339.62998
2026-05-21T12:00:00.000000000,338.41,335.8456
2026-05-21T13:00:00.000000000,400.07,338.18231
2026-05-21T14:00:00.000000000,397.23,343.57812
2026-05-21T15:00:00.000000000,376.79,348.37787
2026-05-21T16:00:00.000000000,388.8,352.88079
2026-05-21T17:00:00.000000000,378.06,352.03597
2026-05-21T18:00:00.000000000,393.66,347.2364
2026-05-21T19:00:00.000000000,413.78,347.66173
2026-05-21T20:00:00.000000000,413.49,349.71238
2026-05-21T21:00:00.000000000,405.15,349.89786
2026-05-21T22:00:00.000000000,403.91,351.24433
2026-05-21T23:00:00.000000000,385.53,350.4189
2026-05-22T00:00:00.000000000,389.77,347.10772
2026-05-22T01:00:00.000000000,378.41,345.61364
2026-05-22T02:00:00.000000000,378.35,345.37405
2026-05-22T03:00:00.000000000,399.13,346.94191
2026-05-22T04:00:00.000000000,388.06,345.48829
2026-05-22T05:00:00.000000000,384.83,345.36554
2026-05-22T06:00:00.000000000,387.16,345.80763
2026-05-22T07:00:00.000000000,399.07,343.84775
2026-05-22T08:00:00.000000000,398.83,343.16201
2026-05-22T09:00:00.000000000,408.21,341.33329
2026-05-22T10:00:00.000000000,407.54,339.72254
