datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,268.46856,266.68788
2026-05-22T01:00:00.000000000,269.5706,264.61451
2026-05-22T02:00:00.000000000,272.22285,263.39756
2026-05-22T03:00:00.000000000,274.94313,262.7501
2026-05-22T04:00:00.000000000,266.47341,262.16373
2026-05-22T05:00:00.000000000,251.02759,262.84632
2026-05-22T06:00:00.000000000,247.53839,262.56356
2026-05-22T07:00:00.000000000,246.93962,262.26418
2026-05-22T08:00:00.000000000,243.38324,262.80783
2026-05-22T09:00:00.000000000,240.06071,263.5795
2026-05-22T10:00:00.000000000,243.00518,264.59397
2026-05-22T11:00:00.000000000,248.39829,264.80176
2026-05-22T12:00:00.000000000,246.75142,264.85559
2026-05-22T13:00:00.000000000,250.4452,264.47914
2026-05-22T14:00:00.000000000,254.08612,264.12007
2026-05-22T15:00:00.000000000,258.00245,264.73209
2026-05-22T16:00:00.000000000,264.47785,263.92862
2026-05-22T17:00:00.000000000,269.33766,263.15493
2026-05-22T18:00:00.000000000,275.20405,262.6854
2026-05-22T19:00:00.000000000,270.12659,262.54358
2026-05-22T20:00:00.000000000,262.92355,262.73245
2026-05-22T21:00:00.000000000,261.34084,262.49093
2026-05-22T22:00:00.000000000,259.37375,263.14123
2026-05-22T23:00:00.000000000,259.77644,262.88799
2026-05-23T00:00:00.000000000,263.8888,265.88249
2026-05-23T01:00:00.000000000,254.92602,263.59403
2026-05-23T02:00:00.000000000,249.42856,262.97416
2026-05-23T03:00:00.000000000,249.93511,262.5166
2026-05-23T04:00:00.000000000,247.84605,262.48074
2026-05-23T05:00:00.000000000,240.0482,263.39496
2026-05-23T06:00:00.000000000,240.0482,263.22277
2026-05-23T07:00:00.000000000,246.93962,262.58458
2026-05-23T08:00:00.000000000,243.38324,263.33918
2026-05-23T09:00:00.000000000,240.06071,264.01959
2026-05-23T10:00:00.000000000,243.00518,264.83187
2026-05-23T11:00:00.000000000,248.39829,264.42405
2026-05-23T12:00:00.000000000,246.75142,264.53909
2026-05-23T13:00:00.000000000,250.4452,264.02959
2026-05-23T14:00:00.000000000,254.08612,263.26046
2026-05-23T15:00:00.000000000,258.00245,263.8382
2026-05-23T16:00:00.000000000,264.47785,263.39106
2026-05-23T17:00:00.000000000,269.33766,262.69493
2026-05-23T18:00:00.000000000,275.20405,262.6725
2026-05-23T19:00:00.000000000,270.12659,262.4241
2026-05-23T20:00:00.000000000,262.92355,262.68831
2026-05-23T21:00:00.000000000,261.34084,262.40433
2026-05-23T22:00:00.000000000,259.37375,262.88774
2026-05-23T23:00:00.000000000,259.77644,262.27595
2026-05-24T00:00:00.000000000,263.8888,265.07237
2026-05-24T01:00:00.000000000,254.92602,262.92512
2026-05-24T02:00:00.000000000,249.42856,262.30672
2026-05-24T03:00:00.000000000,249.93511,261.59028
2026-05-24T04:00:00.000000000,247.84605,261.37676
2026-05-24T05:00:00.000000000,240.0482,262.05001
2026-05-24T06:00:00.000000000,223.19098,261.6842
2026-05-24T07:00:00.000000000,218.74481,260.84576
2026-05-24T08:00:00.000000000,213.58772,261.5993
2026-05-24T09:00:00.000000000,211.6045,262.343
2026-05-24T10:00:00.000000000,210.80266,263.34272
2026-05-24T11:00:00.000000000,210.64376,263.05517
2026-05-24T12:00:00.000000000,213.23223,263.26626
2026-05-24T13:00:00.000000000,218.36763,262.78077
2026-05-24T14:00:00.000000000,226.06503,261.95486
2026-05-24T15:00:00.000000000,226.71096,262.30398
2026-05-24T16:00:00.000000000,226.71712,261.70935
2026-05-24T17:00:00.000000000,224.03743,260.77886
2026-05-24T18:00:00.000000000,226.53709,260.59598
2026-05-24T19:00:00.000000000,220.05167,260.29559
2026-05-24T20:00:00.000000000,218.41245,260.63564
2026-05-24T21:00:00.000000000,217.55725,260.63757
2026-05-24T22:00:00.000000000,217.02272,261.46028
2026-05-24T23:00:00.000000000,220.00737,261.09454
2026-05-25T00:00:00.000000000,221.39857,265.70905
2026-05-25T01:00:00.000000000,231.02824,263.59903
2026-05-25T02:00:00.000000000,236.90468,262.92982
2026-05-25T03:00:00.000000000,233.8416,262.29332
2026-05-25T04:00:00.000000000,233.55428,262.05641
2026-05-25T05:00:00.000000000,224.85644,262.76824
2026-05-25T06:00:00.000000000,220.83258,262.41919
2026-05-25T07:00:00.000000000,188.862,261.66411
2026-05-25T08:00:00.000000000,195.50188,262.38854
2026-05-25T09:00:00.000000000,197.84166,263.15338
2026-05-25T10:00:00.000000000,198.14885,264.1586
2026-05-25T11:00:00.000000000,197.46406,263.93437
2026-05-25T12:00:00.000000000,196.82954,264.14957
2026-05-25T13:00:00.000000000,205.03288,263.64401
2026-05-25T14:00:00.000000000,220.86248,262.85141
2026-05-25T15:00:00.000000000,228.05365,263.25222
2026-05-25T16:00:00.000000000,230.9938,262.59197
2026-05-25T17:00:00.000000000,235.44942,261.62466
2026-05-25T18:00:00.000000000,236.72361,261.37716
2026-05-25T19:00:00.000000000,235.22622,261.03314
2026-05-25T20:00:00.000000000,228.17949,261.3245
2026-05-25T21:00:00.000000000,226.98765,261.2586
2026-05-25T22:00:00.000000000,225.97928,262.05067
2026-05-25T23:00:00.000000000,226.66983,261.71679
2026-05-26T00:00:00.000000000,225.30153,268.50837
2026-05-26T01:00:00.000000000,226.87068,266.25635
2026-05-26T02:00:00.000000000,232.43242,265.54336
2026-05-26T03:00:00.000000000,228.62348,265.15805
2026-05-26T04:00:00.000000000,224.83136,265.02531
2026-05-26T05:00:00.000000000,214.0928,265.87223
2026-05-26T06:00:00.000000000,209.30743,265.598
2026-05-26T07:00:00.000000000,206.36529,264.91524
2026-05-26T08:00:00.000000000,205.54198,265.60434
2026-05-26T09:00:00.000000000,205.49612,266.39599
2026-05-26T10:00:00.000000000,211.01195,267.36506
2026-05-26T11:00:00.000000000,222.94959,267.18847
2026-05-26T12:00:00.000000000,227.74495,267.50026
2026-05-26T13:00:00.000000000,238.61253,267.0671
2026-05-26T14:00:00.000000000,240.35045,266.33233
2026-05-26T15:00:00.000000000,238.37319,266.94504
2026-05-26T16:00:00.000000000,236.36124,266.34293
2026-05-26T17:00:00.000000000,237.20683,265.40675
2026-05-26T18:00:00.000000000,238.26369,265.17282
2026-05-26T19:00:00.000000000,236.34654,264.6801
2026-05-26T20:00:00.000000000,234.78429,264.82002
2026-05-26T21:00:00.000000000,234.48161,264.51509
2026-05-26T22:00:00.000000000,234.17063,265.1232
2026-05-26T23:00:00.000000000,236.19999,264.6379
2026-05-27T00:00:00.000000000,237.49654,270.79366
2026-05-27T01:00:00.000000000,242.49295,268.30331
2026-05-27T02:00:00.000000000,246.35013,267.44393
2026-05-27T03:00:00.000000000,247.00077,267.15533
2026-05-27T04:00:00.000000000,246.89212,267.03932
2026-05-27T05:00:00.000000000,246.84911,267.9941
2026-05-27T06:00:00.000000000,239.00489,267.83306
2026-05-27T07:00:00.000000000,226.11854,267.24381
2026-05-27T08:00:00.000000000,218.7166,267.95126
2026-05-27T09:00:00.000000000,216.38571,268.87516
2026-05-27T10:00:00.000000000,224.41234,269.78927
2026-05-27T11:00:00.000000000,228.87464,269.61558
2026-05-27T12:00:00.000000000,239.27017,269.96532
2026-05-27T13:00:00.000000000,245.89149,269.47376
2026-05-27T14:00:00.000000000,243.57576,268.68499
2026-05-27T15:00:00.000000000,243.29626,269.39566
2026-05-27T16:00:00.000000000,247.27583,268.85572
2026-05-27T17:00:00.000000000,250.11358,267.98668
2026-05-27T18:00:00.000000000,248.17675,267.83321
2026-05-27T19:00:00.000000000,245.13999,267.38296
2026-05-27T20:00:00.000000000,245.02653,267.49322
2026-05-27T21:00:00.000000000,247.28402,267.0854
2026-05-27T22:00:00.000000000,248.50832,267.6059
2026-05-27T23:00:00.000000000,251.51928,266.99122
2026-05-28T00:00:00.000000000,252.22491,272.19897
2026-05-28T01:00:00.000000000,255.71693,269.57582
2026-05-28T02:00:00.000000000,259.7549,268.57987
2026-05-28T03:00:00.000000000,253.70804,268.25356
2026-05-28T04:00:00.000000000,250.3385,268.07961
2026-05-28T05:00:00.000000000,247.62661,269.02674
2026-05-28T06:00:00.000000000,246.00118,268.88866
2026-05-28T07:00:00.000000000,236.54249,268.33617
2026-05-28T08:00:00.000000000,230.76471,269.05367
2026-05-28T09:00:00.000000000,227.02561,270.07829
2026-05-28T10:00:00.000000000,222.84438,271.01102
2026-05-28T11:00:00.000000000,236.18373,270.87857
2026-05-28T12:00:00.000000000,247.97326,271.25428
2026-05-28T13:00:00.000000000,251.17919,270.72264
2026-05-28T14:00:00.000000000,250.24504,269.8845
2026-05-28T15:00:00.000000000,249.93449,270.58714
2026-05-28T16:00:00.000000000,253.47164,270.03798
2026-05-28T17:00:00.000000000,253.14131,269.16954
2026-05-28T18:00:00.000000000,249.17925,269.02105
2026-05-28T19:00:00.000000000,249.23311,268.61657
2026-05-28T20:00:00.000000000,250.45963,268.74753
2026-05-28T21:00:00.000000000,250.88663,268.3822
2026-05-28T22:00:00.000000000,253.68284,268.94991
2026-05-28T23:00:00.000000000,256.4037,268.33296
2026-05-23T00:00:00.000000000,263.8888,254.62444
2026-05-23T01:00:00.000000000,254.92602,253.08564
2026-05-23T02:00:00.000000000,249.42856,252.41065
2026-05-23T03:00:00.000000000,249.93511,251.84617
2026-05-23T04:00:00.000000000,247.84605,251.56942
2026-05-23T05:00:00.000000000,240.0482,252.51185
2026-05-23T06:00:00.000000000,240.0482,252.59517
2026-05-23T07:00:00.000000000,246.93962,252.61974
2026-05-23T08:00:00.000000000,243.38324,253.25671
2026-05-23T09:00:00.000000000,240.06071,253.64331
2026-05-23T10:00:00.000000000,243.00518,254.16826
2026-05-23T11:00:00.000000000,248.39829,253.95386
2026-05-23T12:00:00.000000000,246.75142,253.49768
2026-05-23T13:00:00.000000000,250.4452,252.98661
2026-05-23T14:00:00.000000000,254.08612,252.94554
2026-05-23T15:00:00.000000000,258.00245,253.59545
2026-05-23T16:00:00.000000000,264.47785,253.06078
2026-05-23T17:00:00.000000000,269.33766,252.90554
2026-05-23T18:00:00.000000000,275.20405,252.68602
2026-05-23T19:00:00.000000000,270.12659,253.00822
2026-05-23T20:00:00.000000000,262.92355,253.1879
2026-05-23T21:00:00.000000000,261.34084,252.49667
2026-05-23T22:00:00.000000000,259.37375,252.38678
2026-05-23T23:00:00.000000000,259.77644,251.76411
2026-05-24T00:00:00.000000000,263.8888,242.36317
2026-05-24T01:00:00.000000000,254.92602,241.91411
2026-05-24T02:00:00.000000000,249.42856,241.84082
2026-05-24T03:00:00.000000000,249.93511,241.25706
2026-05-24T04:00:00.000000000,247.84605,240.91128
2026-05-24T05:00:00.000000000,240.0482,241.76503
2026-05-24T06:00:00.000000000,223.19098,241.48901
2026-05-24T07:00:00.000000000,218.74481,240.98504
2026-05-24T08:00:00.000000000,213.58772,241.05799
2026-05-24T09:00:00.000000000,211.6045,240.71733
2026-05-24T10:00:00.000000000,210.80266,240.61716
2026-05-24T11:00:00.000000000,210.64376,239.956
2026-05-24T12:00:00.000000000,213.23223,239.47299
2026-05-24T13:00:00.000000000,218.36763,238.73059
2026-05-24T14:00:00.000000000,226.06503,239.13895
2026-05-24T15:00:00.000000000,226.71096,239.89594
2026-05-24T16:00:00.000000000,226.71712,239.60403
2026-05-24T17:00:00.000000000,224.03743,239.35764
2026-05-24T18:00:00.000000000,226.53709,239.12084
2026-05-24T19:00:00.000000000,220.05167,239.67831
2026-05-24T20:00:00.000000000,218.41245,240.11914
2026-05-24T21:00:00.000000000,217.55725,239.57734
2026-05-24T22:00:00.000000000,217.02272,239.50083
2026-05-24T23:00:00.000000000,220.00737,239.29008
2026-05-25T00:00:00.000000000,221.39857,228.93618
2026-05-25T01:00:00.000000000,231.02824,229.50911
2026-05-25T02:00:00.000000000,236.90468,230.13002
2026-05-25T03:00:00.000000000,233.8416,229.57227
2026-05-25T04:00:00.000000000,233.55428,229.38856
2026-05-25T05:00:00.000000000,224.85644,230.36116
2026-05-25T06:00:00.000000000,220.83258,230.17073
2026-05-25T07:00:00.000000000,188.862,229.55077
2026-05-25T08:00:00.000000000,195.50188,229.58021
2026-05-25T09:00:00.000000000,197.84166,228.896
2026-05-25T10:00:00.000000000,198.14885,228.36735
2026-05-25T11:00:00.000000000,197.46406,227.31853
2026-05-25T12:00:00.000000000,196.82954,226.71397
2026-05-25T13:00:00.000000000,205.03288,225.63928
2026-05-25T14:00:00.000000000,220.86248,226.15573
2026-05-25T15:00:00.000000000,228.05365,226.77248
2026-05-25T16:00:00.000000000,230.9938,226.49324
2026-05-25T17:00:00.000000000,235.44942,226.07424
2026-05-25T18:00:00.000000000,236.72361,225.77365
2026-05-25T19:00:00.000000000,235.22622,226.44582
2026-05-25T20:00:00.000000000,228.17949,226.9938
2026-05-25T21:00:00.000000000,226.98765,226.4243
2026-05-25T22:00:00.000000000,225.97928,226.14021
2026-05-25T23:00:00.000000000,226.66983,226.13554
2026-05-26T00:00:00.000000000,225.30153,220.98902
2026-05-26T01:00:00.000000000,226.87068,222.17816
2026-05-26T02:00:00.000000000,232.43242,223.27936
2026-05-26T03:00:00.000000000,228.62348,222.75292
2026-05-26T04:00:00.000000000,224.83136,222.70844
2026-05-26T05:00:00.000000000,214.0928,223.74245
2026-05-26T06:00:00.000000000,209.30743,223.62605
2026-05-26T07:00:00.000000000,206.36529,222.9639
2026-05-26T08:00:00.000000000,205.54198,223.05915
2026-05-26T09:00:00.000000000,205.49612,222.17676
2026-05-26T10:00:00.000000000,211.01195,221.53306
2026-05-26T11:00:00.000000000,222.94959,220.37184
2026-05-26T12:00:00.000000000,227.74495,219.68992
2026-05-26T13:00:00.000000000,238.61253,218.54019
2026-05-26T14:00:00.000000000,240.35045,219.1468
2026-05-26T15:00:00.000000000,238.37319,219.62538
2026-05-26T16:00:00.000000000,236.36124,219.2934
