datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,325.54615,300.54371
2026-05-22T01:00:00.000000000,326.94869,298.09545
2026-05-22T02:00:00.000000000,329.90587,300.6861
2026-05-22T03:00:00.000000000,332.5535,299.23235
2026-05-22T04:00:00.000000000,323.22213,303.55347
2026-05-22T05:00:00.000000000,307.40494,304.70744
2026-05-22T06:00:00.000000000,303.84597,304.18848
2026-05-22T07:00:00.000000000,302.92359,301.71051
2026-05-22T08:00:00.000000000,298.24456,305.37677
2026-05-22T09:00:00.000000000,293.69356,306.22921
2026-05-22T10:00:00.000000000,298.07984,304.98003
2026-05-22T11:00:00.000000000,304.95531,305.17756
2026-05-22T12:00:00.000000000,302.7905,306.52668
2026-05-22T13:00:00.000000000,306.33754,306.0972
2026-05-22T14:00:00.000000000,309.91202,306.22927
2026-05-22T15:00:00.000000000,314.92,306.46569
2026-05-22T16:00:00.000000000,322.34872,304.00512
2026-05-22T17:00:00.000000000,327.30545,301.79322
2026-05-22T18:00:00.000000000,332.77903,301.98734
2026-05-22T19:00:00.000000000,326.61202,297.59403
2026-05-22T20:00:00.000000000,318.12005,298.89496
2026-05-22T21:00:00.000000000,316.30743,299.09922
2026-05-22T22:00:00.000000000,313.49031,301.51025
2026-05-22T23:00:00.000000000,313.74414,299.12125
2026-05-23T00:00:00.000000000,318.18502,285.12285
2026-05-23T01:00:00.000000000,310.31712,285.31762
2026-05-23T02:00:00.000000000,305.59525,287.03681
2026-05-23T03:00:00.000000000,306.46226,287.37061
2026-05-23T04:00:00.000000000,303.49416,290.8002
2026-05-23T05:00:00.000000000,292.64951,292.61754
2026-05-23T06:00:00.000000000,292.64951,291.39223
2026-05-23T07:00:00.000000000,302.92359,291.4693
2026-05-23T08:00:00.000000000,298.24456,292.75474
2026-05-23T09:00:00.000000000,293.69356,293.88988
2026-05-23T10:00:00.000000000,298.07984,293.49179
2026-05-23T11:00:00.000000000,304.95531,294.65951
2026-05-23T12:00:00.000000000,302.7905,295.01161
2026-05-23T13:00:00.000000000,306.33754,294.53663
2026-05-23T14:00:00.000000000,309.91202,294.43257
2026-05-23T15:00:00.000000000,314.92,293.13005
2026-05-23T16:00:00.000000000,322.34872,289.70067
2026-05-23T17:00:00.000000000,327.30545,288.2497
2026-05-23T18:00:00.000000000,332.77903,288.07172
2026-05-23T19:00:00.000000000,326.61202,284.22173
2026-05-23T20:00:00.000000000,318.12005,284.94263
2026-05-23T21:00:00.000000000,316.30743,285.17985
2026-05-23T22:00:00.000000000,313.49031,286.03926
2026-05-23T23:00:00.000000000,313.74414,286.3985
2026-05-24T00:00:00.000000000,318.18502,268.95231
2026-05-24T01:00:00.000000000,310.31712,268.86252
2026-05-24T02:00:00.000000000,305.59525,271.19652
2026-05-24T03:00:00.000000000,306.46226,271.70461
2026-05-24T04:00:00.000000000,303.49416,273.62205
2026-05-24T05:00:00.000000000,292.64951,275.31026
2026-05-24T06:00:00.000000000,274.28224,274.35382
2026-05-24T07:00:00.000000000,268.70782,273.89468
2026-05-24T08:00:00.000000000,262.84083,275.80265
2026-05-24T09:00:00.000000000,260.30632,277.05977
2026-05-24T10:00:00.000000000,259.20864,276.78777
2026-05-24T11:00:00.000000000,258.85519,277.01248
2026-05-24T12:00:00.000000000,262.42513,278.46894
2026-05-24T13:00:00.000000000,268.79489,276.954
2026-05-24T14:00:00.000000000,279.46863,277.58315
2026-05-24T15:00:00.000000000,278.55798,275.1173
2026-05-24T16:00:00.000000000,278.30443,271.9731
2026-05-24T17:00:00.000000000,275.37665,270.27315
2026-05-24T18:00:00.000000000,279.15566,270.51683
2026-05-24T19:00:00.000000000,271.51862,266.7984
2026-05-24T20:00:00.000000000,269.7149,268.1842
2026-05-24T21:00:00.000000000,268.80711,269.42093
2026-05-24T22:00:00.000000000,268.30447,271.11358
2026-05-24T23:00:00.000000000,271.52726,271.14098
2026-05-25T00:00:00.000000000,272.12359,256.5517
2026-05-25T01:00:00.000000000,283.58137,256.38433
2026-05-25T02:00:00.000000000,290.37494,257.77706
2026-05-25T03:00:00.000000000,286.11659,257.58587
2026-05-25T04:00:00.000000000,285.89642,260.37913
2026-05-25T05:00:00.000000000,275.28201,259.51116
2026-05-25T06:00:00.000000000,271.78162,260.13487
2026-05-25T07:00:00.000000000,236.68371,259.12528
2026-05-25T08:00:00.000000000,243.76683,260.29845
2026-05-25T09:00:00.000000000,246.26838,261.15635
2026-05-25T10:00:00.000000000,246.77432,261.22818
2026-05-25T11:00:00.000000000,246.1322,262.47416
2026-05-25T12:00:00.000000000,245.35768,263.77635
2026-05-25T13:00:00.000000000,256.22941,262.87663
2026-05-25T14:00:00.000000000,273.96086,264.15101
2026-05-25T15:00:00.000000000,281.55023,263.21107
2026-05-25T16:00:00.000000000,284.38401,262.73863
2026-05-25T17:00:00.000000000,289.29998,261.08584
2026-05-25T18:00:00.000000000,291.08606,260.82047
2026-05-25T19:00:00.000000000,290.17808,258.95868
2026-05-25T20:00:00.000000000,281.61324,259.57761
2026-05-25T21:00:00.000000000,279.96038,261.28688
2026-05-25T22:00:00.000000000,278.6051,263.03694
2026-05-25T23:00:00.000000000,279.24879,261.29459
2026-05-26T00:00:00.000000000,277.30217,250.93426
2026-05-26T01:00:00.000000000,279.87014,251.24343
2026-05-26T02:00:00.000000000,286.32467,252.31632
2026-05-26T03:00:00.000000000,281.72913,252.49385
2026-05-26T04:00:00.000000000,276.9629,254.55596
2026-05-26T05:00:00.000000000,264.20734,253.33392
2026-05-26T06:00:00.000000000,260.36345,254.35155
2026-05-26T07:00:00.000000000,257.02002,253.65225
2026-05-26T08:00:00.000000000,255.78528,254.44314
2026-05-26T09:00:00.000000000,255.87388,255.31604
2026-05-26T10:00:00.000000000,262.4597,255.80628
2026-05-26T11:00:00.000000000,275.95466,257.21417
2026-05-26T12:00:00.000000000,281.00616,258.14721
2026-05-26T13:00:00.000000000,292.62081,257.49722
2026-05-26T14:00:00.000000000,295.51929,258.53651
2026-05-26T15:00:00.000000000,293.58562,257.87561
2026-05-26T16:00:00.000000000,291.33328,257.61029
2026-05-26T17:00:00.000000000,291.90428,256.53326
2026-05-26T18:00:00.000000000,293.67353,255.85111
2026-05-26T19:00:00.000000000,291.69054,254.86037
2026-05-26T20:00:00.000000000,289.95808,255.12677
2026-05-26T21:00:00.000000000,289.7211,256.98761
2026-05-26T22:00:00.000000000,289.06598,258.47705
2026-05-26T23:00:00.000000000,291.58793,256.86532
2026-05-27T00:00:00.000000000,293.34125,248.26467
2026-05-27T01:00:00.000000000,298.81364,248.83834
2026-05-27T02:00:00.000000000,302.70207,249.77453
2026-05-27T03:00:00.000000000,302.92797,250.13136
2026-05-27T04:00:00.000000000,302.76756,251.83954
2026-05-27T05:00:00.000000000,302.31956,250.49069
2026-05-27T06:00:00.000000000,291.8223,251.73479
2026-05-27T07:00:00.000000000,278.42341,251.22939
2026-05-27T08:00:00.000000000,270.39104,251.655
2026-05-27T09:00:00.000000000,267.31518,252.7759
2026-05-27T10:00:00.000000000,276.91131,253.37747
2026-05-27T11:00:00.000000000,280.76449,254.8974
2026-05-27T12:00:00.000000000,291.48343,255.55934
2026-05-27T13:00:00.000000000,300.85851,255.09767
2026-05-27T14:00:00.000000000,298.22922,255.90581
2026-05-27T15:00:00.000000000,298.75503,255.35533
2026-05-27T16:00:00.000000000,305.19442,255.10024
2026-05-27T17:00:00.000000000,309.43212,254.43083
2026-05-27T18:00:00.000000000,306.92964,253.45884
2026-05-27T19:00:00.000000000,303.21988,252.7731
2026-05-27T20:00:00.000000000,303.97887,252.89419
2026-05-27T21:00:00.000000000,307.12317,254.82965
2026-05-27T22:00:00.000000000,308.47512,256.0445
2026-05-27T23:00:00.000000000,312.25836,254.70925
2026-05-28T00:00:00.000000000,312.41274,247.51699
2026-05-28T01:00:00.000000000,316.20614,248.15629
2026-05-28T02:00:00.000000000,320.94373,249.09766
2026-05-28T03:00:00.000000000,314.98589,249.52287
2026-05-28T04:00:00.000000000,310.19714,251.03764
2026-05-28T05:00:00.000000000,305.58237,249.70385
2026-05-28T06:00:00.000000000,303.0399,250.98608
2026-05-28T07:00:00.000000000,292.36203,250.56055
2026-05-28T08:00:00.000000000,285.77447,250.87223
2026-05-28T09:00:00.000000000,281.28894,252.06219
2026-05-28T10:00:00.000000000,276.32409,252.68312
2026-05-28T11:00:00.000000000,290.01654,254.20543
2026-05-28T12:00:00.000000000,302.56338,254.75203
2026-05-28T13:00:00.000000000,308.02498,254.40602
2026-05-28T14:00:00.000000000,310.1533,255.10786
2026-05-28T15:00:00.000000000,311.83619,254.55792
2026-05-28T16:00:00.000000000,316.48427,254.27284
2026-05-28T17:00:00.000000000,316.73277,253.76206
2026-05-28T18:00:00.000000000,312.17419,252.729
2026-05-28T19:00:00.000000000,312.03895,252.13367
2026-05-28T20:00:00.000000000,312.91056,252.24291
2026-05-28T21:00:00.000000000,313.07381,254.18974
2026-05-28T22:00:00.000000000,316.51759,255.3192
2026-05-28T23:00:00.000000000,319.35745,254.112
2026-05-23T00:00:00.000000000,318.18502,292.54778
2026-05-23T01:00:00.000000000,310.31712,291.15903
2026-05-23T02:00:00.000000000,305.59525,292.87956
2026-05-23T03:00:00.000000000,306.46226,291.13368
2026-05-23T04:00:00.000000000,303.49416,296.15617
2026-05-23T05:00:00.000000000,292.64951,296.50863
2026-05-23T06:00:00.000000000,292.64951,295.85936
2026-05-23T07:00:00.000000000,302.92359,294.19133
2026-05-23T08:00:00.000000000,298.24456,297.09146
2026-05-23T09:00:00.000000000,293.69356,298.33115
2026-05-23T10:00:00.000000000,298.07984,297.74279
2026-05-23T11:00:00.000000000,304.95531,299.76178
2026-05-23T12:00:00.000000000,302.7905,300.61843
2026-05-23T13:00:00.000000000,306.33754,302.04405
2026-05-23T14:00:00.000000000,309.91202,302.70113
2026-05-23T15:00:00.000000000,314.92,303.95097
2026-05-23T16:00:00.000000000,322.34872,302.87311
2026-05-23T17:00:00.000000000,327.30545,300.71793
2026-05-23T18:00:00.000000000,332.77903,300.5027
2026-05-23T19:00:00.000000000,326.61202,295.7113
2026-05-23T20:00:00.000000000,318.12005,295.46015
2026-05-23T21:00:00.000000000,316.30743,294.80135
2026-05-23T22:00:00.000000000,313.49031,296.44667
2026-05-23T23:00:00.000000000,313.74414,293.36163
2026-05-24T00:00:00.000000000,318.18502,277.93786
2026-05-24T01:00:00.000000000,310.31712,278.58975
2026-05-24T02:00:00.000000000,305.59525,280.32427
2026-05-24T03:00:00.000000000,306.46226,280.79698
2026-05-24T04:00:00.000000000,303.49416,284.24879
2026-05-24T05:00:00.000000000,292.64951,285.5038
2026-05-24T06:00:00.000000000,274.28224,284.78094
2026-05-24T07:00:00.000000000,268.70782,284.53028
