datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2025-12-28T00:00:00.000000000,381.81,480.94262
2025-12-28T01:00:00.000000000,355.07,484.26714
2025-12-28T02:00:00.000000000,323.49,488.62568
2025-12-28T03:00:00.000000000,308.8,494.3063
2025-12-28T04:00:00.000000000,302.25,498.00275
2025-12-28T05:00:00.000000000,265.02,500.40566
2025-12-28T06:00:00.000000000,380.91,506.60165
2025-12-28T07:00:00.000000000,384.84,518.60548
2025-12-28T08:00:00.000000000,383.55,518.77375
2025-12-28T09:00:00.000000000,375.13,521.35121
2025-12-28T10:00:00.000000000,373.4,519.01886
2025-12-28T11:00:00.000000000,373.0,516.07269
2025-12-28T12:00:00.000000000,370.42,512.89517
2025-12-28T13:00:00.000000000,379.12,509.21964
2025-12-28T14:00:00.000000000,394.33,496.2757
2025-12-28T15:00:00.000000000,392.06,485.74233
2025-12-28T16:00:00.000000000,388.75,472.49472
2025-12-28T17:00:00.000000000,337.5,465.37001
2025-12-28T18:00:00.000000000,328.07,463.0348
2025-12-28T19:00:00.000000000,331.64,462.80252
2025-12-28T20:00:00.000000000,330.13,465.13618
2025-12-28T21:00:00.000000000,337.39,469.83164
2025-12-28T22:00:00.000000000,338.97,475.49341
2025-12-28T23:00:00.000000000,336.67,473.43341
2025-12-29T00:00:00.000000000,316.94,471.3134
2025-12-29T01:00:00.000000000,331.59,474.19872
2025-12-29T02:00:00.000000000,319.55,478.15671
2025-12-29T03:00:00.000000000,330.63,483.68539
2025-12-29T04:00:00.000000000,349.03,487.71185
2025-12-29T05:00:00.000000000,353.39,490.53386
2025-12-29T06:00:00.000000000,451.91,496.91481
2025-12-29T07:00:00.000000000,443.36,508.96207
2025-12-29T08:00:00.000000000,441.99,510.2204
2025-12-29T09:00:00.000000000,453.77,514.04188
2025-12-29T10:00:00.000000000,459.73,512.59393
2025-12-29T11:00:00.000000000,467.01,509.05401
2025-12-29T12:00:00.000000000,480.26,505.27609
2025-12-29T13:00:00.000000000,480.19,501.9984
2025-12-29T14:00:00.000000000,485.65,491.50248
2025-12-29T15:00:00.000000000,491.2,483.77909
2025-12-29T16:00:00.000000000,453.81,473.92172
2025-12-29T17:00:00.000000000,413.23,468.73202
2025-12-29T18:00:00.000000000,397.33,467.57346
2025-12-29T19:00:00.000000000,406.05,467.08298
2025-12-29T20:00:00.000000000,411.9,467.98346
2025-12-29T21:00:00.000000000,391.55,470.67118
2025-12-29T22:00:00.000000000,367.66,474.8458
2025-12-29T23:00:00.000000000,380.53,471.73949
2025-12-30T00:00:00.000000000,457.21,487.02706
2025-12-30T01:00:00.000000000,464.35,488.35083
2025-12-30T02:00:00.000000000,458.48,490.99605
