datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2025-12-28T00:00:00.000000000,430.61,560.81259
2025-12-28T01:00:00.000000000,400.6,566.50859
2025-12-28T02:00:00.000000000,366.82,569.88415
2025-12-28T03:00:00.000000000,351.46,570.84289
2025-12-28T04:00:00.000000000,344.68,575.18306
2025-12-28T05:00:00.000000000,304.54,579.69829
2025-12-28T06:00:00.000000000,426.84,581.09566
2025-12-28T07:00:00.000000000,429.82,580.80438
2025-12-28T08:00:00.000000000,428.58,580.8166
2025-12-28T09:00:00.000000000,419.68,581.10747
2025-12-28T10:00:00.000000000,419.08,579.7687
2025-12-28T11:00:00.000000000,418.52,574.44556
2025-12-28T12:00:00.000000000,414.7,564.73696
2025-12-28T13:00:00.000000000,423.82,553.84552
2025-12-28T14:00:00.000000000,440.7,543.00981
2025-12-28T15:00:00.000000000,438.34,531.67423
2025-12-28T16:00:00.000000000,435.64,520.94744
2025-12-28T17:00:00.000000000,383.2,512.49484
2025-12-28T18:00:00.000000000,373.06,506.55852
2025-12-28T19:00:00.000000000,377.36,504.56867
2025-12-28T20:00:00.000000000,376.38,506.30877
2025-12-28T21:00:00.000000000,384.46,509.64768
2025-12-28T22:00:00.000000000,386.73,516.14202
2025-12-28T23:00:00.000000000,383.4,525.11411
2025-12-29T00:00:00.000000000,361.1,570.7689
2025-12-29T01:00:00.000000000,375.47,573.10364
2025-12-29T02:00:00.000000000,361.89,574.21768
2025-12-29T03:00:00.000000000,374.08,572.43371
2025-12-29T04:00:00.000000000,395.78,572.14594
2025-12-29T05:00:00.000000000,399.42,572.12028
2025-12-29T06:00:00.000000000,502.36,572.85924
2025-12-29T07:00:00.000000000,492.47,576.75795
2025-12-29T08:00:00.000000000,491.26,583.18422
2025-12-29T09:00:00.000000000,504.21,588.0964
2025-12-29T10:00:00.000000000,510.87,587.93966
2025-12-29T11:00:00.000000000,519.69,580.0905
2025-12-29T12:00:00.000000000,535.78,568.03978
2025-12-29T13:00:00.000000000,536.39,557.42737
2025-12-29T14:00:00.000000000,543.89,548.19645
2025-12-29T15:00:00.000000000,549.55,537.81415
2025-12-29T16:00:00.000000000,507.32,527.33698
2025-12-29T17:00:00.000000000,466.15,519.00389
2025-12-29T18:00:00.000000000,449.3,514.78954
2025-12-29T19:00:00.000000000,458.88,515.40361
2025-12-29T20:00:00.000000000,464.39,518.51756
2025-12-29T21:00:00.000000000,443.63,521.32721
2025-12-29T22:00:00.000000000,419.5,526.05833
2025-12-29T23:00:00.000000000,435.84,532.31471
2025-12-30T00:00:00.000000000,519.57,579.42215
2025-12-30T01:00:00.000000000,526.23,578.79591
2025-12-30T02:00:00.000000000,518.81,576.87575
2025-12-30T03:00:00.000000000,504.92,574.02471
2025-12-30T04:00:00.000000000,487.24,574.50115
2025-12-30T05:00:00.000000000,486.77,575.53124
2025-12-30T06:00:00.000000000,502.98,574.8493
2025-12-30T07:00:00.000000000,506.41,576.18053
2025-12-30T08:00:00.000000000,500.21,581.28077
2025-12-30T09:00:00.000000000,502.65,587.83732
2025-12-30T10:00:00.000000000,495.56,590.63733
2025-12-30T11:00:00.000000000,497.46,584.26142
2025-12-30T12:00:00.000000000,493.94,572.19034
2025-12-30T13:00:00.000000000,494.3,560.54941
2025-12-30T14:00:00.000000000,482.87,550.97528
2025-12-30T15:00:00.000000000,477.03,540.9428
2025-12-30T16:00:00.000000000,429.69,530.6088
2025-12-30T17:00:00.000000000,412.03,522.05494
2025-12-30T18:00:00.000000000,423.89,518.27139
2025-12-30T19:00:00.000000000,396.88,520.32142
2025-12-30T20:00:00.000000000,349.88,524.72538
2025-12-30T21:00:00.000000000,332.75,527.61075
2025-12-30T22:00:00.000000000,340.77,531.34156
2025-12-30T23:00:00.000000000,360.18,536.22215
2025-12-31T00:00:00.000000000,427.36,585.50959
2025-12-31T01:00:00.000000000,472.01,584.04853
2025-12-31T02:00:00.000000000,497.95,581.44401
2025-12-31T03:00:00.000000000,523.8,577.94193
2025-12-31T04:00:00.000000000,551.14,577.69977
2025-12-31T05:00:00.000000000,551.24,577.96126
2025-12-31T06:00:00.000000000,569.57,576.7992
2025-12-31T07:00:00.000000000,565.34,578.4109
2025-12-31T08:00:00.000000000,547.59,584.17438
2025-12-31T09:00:00.000000000,532.36,591.07613
2025-12-31T10:00:00.000000000,515.74,593.69372
2025-12-31T11:00:00.000000000,487.52,586.6873
2025-12-31T12:00:00.000000000,469.99,574.09234
2025-12-31T13:00:00.000000000,453.19,562.31916
2025-12-31T14:00:00.000000000,444.89,552.75424
2025-12-31T15:00:00.000000000,436.22,542.63507
2025-12-31T16:00:00.000000000,409.27,532.1408
2025-12-31T17:00:00.000000000,388.82,523.3708
2025-12-31T18:00:00.000000000,405.33,519.54354
2025-12-31T19:00:00.000000000,419.55,521.91914
2025-12-31T20:00:00.000000000,392.44,527.15105
2025-12-31T21:00:00.000000000,376.52,530.83366
2025-12-31T22:00:00.000000000,368.36,534.68525
2025-12-31T23:00:00.000000000,443.23,538.99805
2026-01-01T00:00:00.000000000,549.9,588.80491
2026-01-01T01:00:00.000000000,576.74,586.63137
2026-01-01T02:00:00.000000000,583.77,585.00282
2026-01-01T03:00:00.000000000,598.14,582.56406
2026-01-01T04:00:00.000000000,588.83,582.02478
2026-01-01T05:00:00.000000000,595.64,580.81714
2026-01-01T06:00:00.000000000,599.38,578.79127
2026-01-01T07:00:00.000000000,576.35,580.83325
2026-01-01T08:00:00.000000000,546.03,587.19193
2026-01-01T09:00:00.000000000,542.13,592.84372
2026-01-01T10:00:00.000000000,539.15,593.59808
2026-01-01T11:00:00.000000000,537.06,585.73244
2026-01-01T12:00:00.000000000,532.92,574.64851
2026-01-01T13:00:00.000000000,542.32,565.98163
2026-01-01T14:00:00.000000000,548.83,558.58544
2026-01-01T15:00:00.000000000,554.79,549.36176
2026-01-01T16:00:00.000000000,566.21,538.83431
2026-01-01T17:00:00.000000000,576.69,529.28905
2026-01-01T18:00:00.000000000,569.6,523.81938
2026-01-01T19:00:00.000000000,561.07,524.28533
2026-01-01T20:00:00.000000000,560.38,528.77222
2026-01-01T21:00:00.000000000,562.29,532.26427
2026-01-01T22:00:00.000000000,576.54,535.16003
2026-01-01T23:00:00.000000000,589.44,537.56059
2026-01-02T00:00:00.000000000,601.71,606.55633
2026-01-02T01:00:00.000000000,609.48,603.72445
2026-01-02T02:00:00.000000000,609.65,602.72127
2026-01-02T03:00:00.000000000,608.94,600.69016
2026-01-02T04:00:00.000000000,603.07,597.49747
2026-01-02T05:00:00.000000000,627.45,591.85637
2026-01-02T06:00:00.000000000,635.09,587.39599
2026-01-02T07:00:00.000000000,628.61,589.68481
2026-01-02T08:00:00.000000000,629.81,597.14499
2026-01-02T09:00:00.000000000,612.8,601.59465
2026-01-02T10:00:00.000000000,597.17,599.52217
2026-01-02T11:00:00.000000000,589.97,588.43933
2026-01-02T12:00:00.000000000,602.77,576.46679
2026-01-02T13:00:00.000000000,603.2,570.36378
2026-01-02T14:00:00.000000000,583.61,565.64991
2026-01-02T15:00:00.000000000,560.99,557.51016
2026-01-02T16:00:00.000000000,560.81,546.82268
2026-01-02T17:00:00.000000000,550.94,536.23885
2026-01-02T18:00:00.000000000,532.07,529.86307
2026-01-02T19:00:00.000000000,517.88,529.7714
2026-01-02T20:00:00.000000000,489.24,534.94657
2026-01-02T21:00:00.000000000,494.25,539.66846
2026-01-02T22:00:00.000000000,450.08,543.62391
2026-01-02T23:00:00.000000000,430.35,546.01286
2026-01-03T00:00:00.000000000,479.36,597.06429
2026-01-03T01:00:00.000000000,472.9,596.57122
2026-01-03T02:00:00.000000000,462.27,598.45988
2026-01-03T03:00:00.000000000,476.35,597.93172
2026-01-03T04:00:00.000000000,504.18,594.49876
2026-01-03T05:00:00.000000000,516.03,587.79626
2026-01-03T06:00:00.000000000,532.98,583.33534
2026-01-03T07:00:00.000000000,527.73,586.08827
2026-01-03T08:00:00.000000000,504.83,593.3628
2026-01-03T09:00:00.000000000,496.65,595.8078
2026-01-03T10:00:00.000000000,513.9,591.29751
2026-01-03T11:00:00.000000000,528.12,579.22824
2026-01-03T12:00:00.000000000,523.11,568.44066
2026-01-03T13:00:00.000000000,523.73,565.25887
2026-01-03T14:00:00.000000000,524.2,563.22463
2026-01-03T15:00:00.000000000,545.99,557.20312
2026-01-03T16:00:00.000000000,543.2,547.93482
2026-01-03T17:00:00.000000000,534.27,538.04212
2026-01-03T18:00:00.000000000,524.86,530.99944
2026-01-03T19:00:00.000000000,498.07,528.93418
2026-01-03T20:00:00.000000000,452.58,531.80706
2026-01-03T21:00:00.000000000,434.85,534.66305
2026-01-03T22:00:00.000000000,434.27,537.73042
2026-01-03T23:00:00.000000000,447.69,540.28242
2025-12-29T00:00:00.000000000,361.1,512.48992
2025-12-29T01:00:00.000000000,375.47,521.01941
2025-12-29T02:00:00.000000000,361.89,529.8346
2025-12-29T03:00:00.000000000,374.08,538.00224
2025-12-29T04:00:00.000000000,395.78,548.84194
2025-12-29T05:00:00.000000000,399.42,558.9784
2025-12-29T06:00:00.000000000,502.36,564.94222
2025-12-29T07:00:00.000000000,492.47,567.29199
2025-12-29T08:00:00.000000000,491.26,568.92702
2025-12-29T09:00:00.000000000,504.21,570.88113
2025-12-29T10:00:00.000000000,510.87,572.83473
2025-12-29T11:00:00.000000000,519.69,573.14211
2025-12-29T12:00:00.000000000,535.78,570.07047
2025-12-29T13:00:00.000000000,536.39,563.99986
2025-12-29T14:00:00.000000000,543.89,554.77219
2025-12-29T15:00:00.000000000,549.55,543.38746
2025-12-29T16:00:00.000000000,507.32,530.19557
2025-12-29T17:00:00.000000000,466.15,517.58273
2025-12-29T18:00:00.000000000,449.3,506.73133
2025-12-29T19:00:00.000000000,458.88,500.43966
2025-12-29T20:00:00.000000000,464.39,496.59472
2025-12-29T21:00:00.000000000,443.63,492.40636
2025-12-29T22:00:00.000000000,419.5,492.69279
2025-12-29T23:00:00.000000000,435.84,498.73354
2025-12-30T00:00:00.000000000,519.57,562.71364
2025-12-30T01:00:00.000000000,526.23,565.0155
2025-12-30T02:00:00.000000000,518.81,566.06016
2025-12-30T03:00:00.000000000,504.92,565.82307
2025-12-30T04:00:00.000000000,487.24,568.77063
2025-12-30T05:00:00.000000000,486.77,571.76883
2025-12-30T06:00:00.000000000,502.98,571.95741
2025-12-30T07:00:00.000000000,506.41,572.46192
2025-12-30T08:00:00.000000000,500.21,575.67083
2025-12-30T09:00:00.000000000,502.65,580.42108
2025-12-30T10:00:00.000000000,495.56,582.84387
2025-12-30T11:00:00.000000000,497.46,578.78605
2025-12-30T12:00:00.000000000,493.94,569.87673
2025-12-30T13:00:00.000000000,494.3,560.45868
2025-12-30T14:00:00.000000000,482.87,551.41557
2025-12-30T15:00:00.000000000,477.03,540.92733
2025-12-30T16:00:00.000000000,429.69,529.57699
2025-12-30T17:00:00.000000000,412.03,519.97854
2025-12-30T18:00:00.000000000,423.89,514.41224
2025-12-30T19:00:00.000000000,396.88,514.20898
2025-12-30T20:00:00.000000000,349.88,516.33276
2025-12-30T21:00:00.000000000,332.75,517.32951
2025-12-30T22:00:00.000000000,340.77,520.20122
2025-12-30T23:00:00.000000000,360.18,525.69008
2025-12-31T00:00:00.000000000,427.36,580.67188
2025-12-31T01:00:00.000000000,472.01,580.16238
2025-12-31T02:00:00.000000000,497.95,578.51032
2025-12-31T03:00:00.000000000,523.8,575.78642
2025-12-31T04:00:00.000000000,551.14,576.17514
2025-12-31T05:00:00.000000000,551.24,576.84464
2025-12-31T06:00:00.000000000,569.57,575.81039
2025-12-31T07:00:00.000000000,565.34,577.15765
2025-12-31T08:00:00.000000000,547.59,582.41745
2025-12-31T09:00:00.000000000,532.36,588.86861
2025-12-31T10:00:00.000000000,515.74,591.44506
2025-12-31T11:00:00.000000000,487.52,585.18747
2025-12-31T12:00:00.000000000,469.99,573.58381
2025-12-31T13:00:00.000000000,453.19,562.54742
2025-12-31T14:00:00.000000000,444.89,553.15868
2025-12-31T15:00:00.000000000,436.22,542.78374
2025-12-31T16:00:00.000000000,409.27,531.82599
2025-12-31T17:00:00.000000000,388.82,522.65054
2025-12-31T18:00:00.000000000,405.33,518.30039
2025-12-31T19:00:00.000000000,419.55,520.06574
2025-12-31T20:00:00.000000000,392.44,524.65225
2025-12-31T21:00:00.000000000,376.52,527.77337
