datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,135.5668,103.44793
2026-05-22T01:00:00.000000000,100.90909,76.57698
2026-05-22T02:00:00.000000000,60.03527,60.28227
2026-05-22T03:00:00.000000000,47.47559,48.44997
2026-05-22T04:00:00.000000000,48.80287,46.69857
2026-05-22T05:00:00.000000000,59.35355,49.17533
2026-05-22T06:00:00.000000000,50.10795,54.68856
2026-05-22T07:00:00.000000000,37.31988,59.44356
2026-05-22T08:00:00.000000000,51.90865,66.9151
2026-05-22T09:00:00.000000000,69.26941,76.82509
2026-05-22T10:00:00.000000000,66.21053,83.45123
2026-05-22T11:00:00.000000000,73.11905,83.3277
2026-05-22T12:00:00.000000000,87.15935,81.21662
2026-05-22T13:00:00.000000000,78.20538,75.55964
2026-05-22T14:00:00.000000000,49.54304,76.54227
2026-05-22T15:00:00.000000000,89.58541,80.97347
2026-05-22T16:00:00.000000000,80.66351,95.10179
2026-05-22T17:00:00.000000000,98.97666,109.45656
2026-05-22T18:00:00.000000000,120.30246,123.82826
2026-05-22T19:00:00.000000000,116.90756,133.80863
2026-05-22T20:00:00.000000000,118.23529,140.56653
2026-05-22T21:00:00.000000000,107.17613,142.35782
2026-05-22T22:00:00.000000000,85.3453,134.84713
2026-05-22T23:00:00.000000000,100.75117,121.31066
2026-05-23T00:00:00.000000000,116.41745,119.10956
2026-05-23T01:00:00.000000000,98.38951,97.10429
2026-05-23T02:00:00.000000000,62.53909,81.60894
2026-05-23T03:00:00.000000000,52.17949,67.62149
2026-05-23T04:00:00.000000000,59.10284,62.445
2026-05-23T05:00:00.000000000,61.50895,61.88077
2026-05-23T06:00:00.000000000,41.68111,64.66368
2026-05-23T07:00:00.000000000,56.17162,67.44548
2026-05-23T08:00:00.000000000,76.56335,72.31405
2026-05-23T09:00:00.000000000,84.60366,79.52171
2026-05-23T10:00:00.000000000,77.42291,84.87617
2026-05-23T11:00:00.000000000,94.61429,86.64919
2026-05-23T12:00:00.000000000,99.76888,86.87393
2026-05-23T13:00:00.000000000,90.94276,82.4874
2026-05-23T14:00:00.000000000,91.72702,81.12339
2026-05-23T15:00:00.000000000,69.81132,81.26074
2026-05-23T16:00:00.000000000,79.9812,90.44809
2026-05-23T17:00:00.000000000,124.6114,102.93912
2026-05-23T18:00:00.000000000,101.26911,116.97887
2026-05-23T19:00:00.000000000,96.26453,127.77933
2026-05-23T20:00:00.000000000,95.8466,134.96615
2026-05-23T21:00:00.000000000,95.60584,138.81999
2026-05-23T22:00:00.000000000,91.7313,135.75943
2026-05-23T23:00:00.000000000,77.55269,128.89218
2026-05-24T00:00:00.000000000,83.51828,119.70971
2026-05-24T01:00:00.000000000,81.54605,98.53585
2026-05-24T02:00:00.000000000,74.26523,83.424
2026-05-24T03:00:00.000000000,60.54054,69.73238
2026-05-24T04:00:00.000000000,57.04061,64.47496
2026-05-24T05:00:00.000000000,55.5297,63.74191
2026-05-24T06:00:00.000000000,60.84444,66.24483
2026-05-24T07:00:00.000000000,78.22148,68.62768
2026-05-24T08:00:00.000000000,69.07072,73.12734
2026-05-24T09:00:00.000000000,68.57284,79.84666
2026-05-24T10:00:00.000000000,101.53736,84.85339
2026-05-24T11:00:00.000000000,140.77689,86.59355
2026-05-24T12:00:00.000000000,133.50515,86.83943
2026-05-24T13:00:00.000000000,93.86577,82.46826
2026-05-24T14:00:00.000000000,108.64476,80.769
2026-05-24T15:00:00.000000000,88.67769,80.51646
2026-05-24T16:00:00.000000000,85.10721,89.16421
2026-05-24T17:00:00.000000000,105.71429,101.27176
2026-05-24T18:00:00.000000000,112.34323,115.04685
2026-05-24T19:00:00.000000000,114.78916,125.6489
2026-05-24T20:00:00.000000000,102.17158,132.77758
2026-05-24T21:00:00.000000000,93.867,136.84212
2026-05-24T22:00:00.000000000,84.18424,134.44284
2026-05-24T23:00:00.000000000,78.37067,128.43103
2026-05-25T00:00:00.000000000,76.9899,118.52019
2026-05-25T01:00:00.000000000,62.32865,97.30303
2026-05-25T02:00:00.000000000,55.82665,82.67309
2026-05-25T03:00:00.000000000,42.11858,69.89984
2026-05-25T04:00:00.000000000,33.80871,65.37642
2026-05-25T05:00:00.000000000,29.4974,64.81853
2026-05-25T06:00:00.000000000,52.06587,67.38971
2026-05-25T07:00:00.000000000,53.56902,69.97844
2026-05-25T08:00:00.000000000,45.6994,74.8543
2026-05-25T09:00:00.000000000,60.57384,81.66838
2026-05-25T10:00:00.000000000,72.22603,86.27261
2026-05-25T11:00:00.000000000,89.46537,87.25981
2026-05-25T12:00:00.000000000,96.73854,86.57135
2026-05-25T13:00:00.000000000,80.45168,81.98913
2026-05-25T14:00:00.000000000,65.46473,80.9669
2026-05-25T15:00:00.000000000,110.14675,81.64925
2026-05-25T16:00:00.000000000,97.11755,91.05767
2026-05-25T17:00:00.000000000,93.42809,103.20322
2026-05-25T18:00:00.000000000,109.18881,116.62949
2026-05-25T19:00:00.000000000,120.89109,126.92776
2026-05-25T20:00:00.000000000,99.19571,133.98303
2026-05-25T21:00:00.000000000,100.4222,137.75862
2026-05-25T22:00:00.000000000,81.31868,134.75935
2026-05-25T23:00:00.000000000,84.22764,127.98945
2026-05-26T00:00:00.000000000,60.79812,117.43211
2026-05-26T01:00:00.000000000,70.89343,98.59913
2026-05-26T02:00:00.000000000,67.56778,85.07877
2026-05-26T03:00:00.000000000,55.15831,72.9227
2026-05-26T04:00:00.000000000,49.42402,68.06789
2026-05-26T05:00:00.000000000,51.84261,67.15456
2026-05-26T06:00:00.000000000,56.65779,69.1226
2026-05-26T07:00:00.000000000,51.31889,70.73237
2026-05-26T08:00:00.000000000,52.92985,74.54989
2026-05-26T09:00:00.000000000,59.28038,79.98743
2026-05-26T10:00:00.000000000,68.97314,83.72903
2026-05-26T11:00:00.000000000,71.6913,84.77116
2026-05-26T12:00:00.000000000,68.31699,84.57818
2026-05-26T13:00:00.000000000,52.52119,80.43171
2026-05-26T14:00:00.000000000,44.7787,78.60213
2026-05-26T15:00:00.000000000,51.30859,78.24044
2026-05-26T16:00:00.000000000,58.42105,85.94775
2026-05-26T17:00:00.000000000,54.54345,96.92348
2026-05-26T18:00:00.000000000,58.48946,109.62595
2026-05-26T19:00:00.000000000,55.02775,119.49108
2026-05-26T20:00:00.000000000,51.06243,126.30566
2026-05-26T21:00:00.000000000,51.5708,130.46724
2026-05-26T22:00:00.000000000,49.91761,129.00746
2026-05-26T23:00:00.000000000,50.38462,124.3898
2026-05-27T00:00:00.000000000,57.7561,117.25846
2026-05-27T01:00:00.000000000,62.9708,98.89722
2026-05-27T02:00:00.000000000,58.55563,84.90538
2026-05-27T03:00:00.000000000,61.50895,71.5678
2026-05-27T04:00:00.000000000,57.73406,65.62928
2026-05-27T05:00:00.000000000,52.28261,64.4936
2026-05-27T06:00:00.000000000,61.79649,66.40082
2026-05-27T07:00:00.000000000,50.17404,67.65986
2026-05-27T08:00:00.000000000,50.78431,70.85015
2026-05-27T09:00:00.000000000,50.48598,75.86076
2026-05-27T10:00:00.000000000,63.34087,79.91367
2026-05-27T11:00:00.000000000,63.95062,81.95014
2026-05-27T12:00:00.000000000,61.52932,83.19674
2026-05-27T13:00:00.000000000,49.8638,79.4882
2026-05-27T14:00:00.000000000,44.74419,76.59386
2026-05-27T15:00:00.000000000,66.32075,74.7802
2026-05-27T16:00:00.000000000,78.23529,81.16811
2026-05-27T17:00:00.000000000,43.9539,91.91372
2026-05-27T18:00:00.000000000,36.17318,105.04105
2026-05-27T19:00:00.000000000,34.65699,115.29514
2026-05-27T20:00:00.000000000,49.72543,122.12396
2026-05-27T21:00:00.000000000,42.08044,126.63631
2026-05-27T22:00:00.000000000,59.52174,126.13346
2026-05-27T23:00:00.000000000,63.86651,122.81614
2026-05-28T00:00:00.000000000,69.49051,119.55926
2026-05-28T01:00:00.000000000,66.62731,101.06499
2026-05-28T02:00:00.000000000,58.27839,86.60628
2026-05-28T03:00:00.000000000,39.93651,72.66489
2026-05-28T04:00:00.000000000,45.43038,66.234
2026-05-28T05:00:00.000000000,39.40139,64.90694
2026-05-28T06:00:00.000000000,38.60661,66.70016
2026-05-28T07:00:00.000000000,44.66909,67.7982
2026-05-28T08:00:00.000000000,64.63695,70.82597
2026-05-28T09:00:00.000000000,68.55728,75.85195
2026-05-28T10:00:00.000000000,85.49111,80.20137
2026-05-28T11:00:00.000000000,91.62571,82.6767
2026-05-28T12:00:00.000000000,86.39929,84.34494
2026-05-28T13:00:00.000000000,63.56964,80.56547
2026-05-28T14:00:00.000000000,69.23605,77.19365
2026-05-28T15:00:00.000000000,100.15924,74.76653
2026-05-28T16:00:00.000000000,68.45,80.78898
2026-05-28T17:00:00.000000000,59.90933,91.60755
2026-05-28T18:00:00.000000000,76.21557,105.02896
2026-05-28T19:00:00.000000000,91.2259,115.46965
2026-05-28T20:00:00.000000000,88.86236,122.45516
2026-05-28T21:00:00.000000000,76.20596,127.27765
2026-05-28T22:00:00.000000000,94.801,127.30481
2026-05-28T23:00:00.000000000,75.65363,124.51787
2026-05-23T00:00:00.000000000,116.41745,103.464
2026-05-23T01:00:00.000000000,98.38951,87.02548
2026-05-23T02:00:00.000000000,62.53909,75.89291
2026-05-23T03:00:00.000000000,52.17949,65.69861
2026-05-23T04:00:00.000000000,59.10284,62.18405
2026-05-23T05:00:00.000000000,61.50895,62.21551
2026-05-23T06:00:00.000000000,41.68111,64.72192
2026-05-23T07:00:00.000000000,56.17162,66.40124
2026-05-23T08:00:00.000000000,76.56335,69.62415
2026-05-23T09:00:00.000000000,84.60366,73.44532
2026-05-23T10:00:00.000000000,77.42291,75.40377
2026-05-23T11:00:00.000000000,94.61429,75.24894
2026-05-23T12:00:00.000000000,99.76888,75.20727
2026-05-23T13:00:00.000000000,90.94276,72.69347
2026-05-23T14:00:00.000000000,91.72702,72.27073
2026-05-23T15:00:00.000000000,69.81132,73.42345
2026-05-23T16:00:00.000000000,79.9812,80.95943
2026-05-23T17:00:00.000000000,124.6114,90.95399
2026-05-23T18:00:00.000000000,101.26911,102.46602
2026-05-23T19:00:00.000000000,96.26453,111.584
2026-05-23T20:00:00.000000000,95.8466,117.3312
2026-05-23T21:00:00.000000000,95.60584,119.88932
2026-05-23T22:00:00.000000000,91.7313,116.73271
2026-05-23T23:00:00.000000000,77.55269,111.19461
2026-05-24T00:00:00.000000000,83.51828,110.83383
2026-05-24T01:00:00.000000000,81.54605,93.87487
2026-05-24T02:00:00.000000000,74.26523,81.75197
2026-05-24T03:00:00.000000000,60.54054,70.64034
2026-05-24T04:00:00.000000000,57.04061,66.17693
2026-05-24T05:00:00.000000000,55.5297,65.47844
2026-05-24T06:00:00.000000000,60.84444,67.40445
2026-05-24T07:00:00.000000000,78.22148,68.66601
2026-05-24T08:00:00.000000000,69.07072,71.90227
2026-05-24T09:00:00.000000000,68.57284,76.25471
2026-05-24T10:00:00.000000000,101.53736,79.00912
2026-05-24T11:00:00.000000000,140.77689,79.63707
2026-05-24T12:00:00.000000000,133.50515,79.68638
2026-05-24T13:00:00.000000000,93.86577,76.30458
