Number of param entries: 11420
param='5WAVH'         | 5-wave geopotential height
param='ABS V'         | Absolute vorticity
param='ALBDO'         | Albedo
param='APTMP'         | Apparent temperature
param='4LFTX'         | Best (4 layer) lifted index
param='CFRZR'         | Categorical freezing rain (yes=1; no=0)
param='CICEP'         | Categorical ice pellets (yes=1; no=0)
param='CRAIN'         | Categorical rain (yes=1; no=0)
param='CSNOW'         | Categorical snow (yes=1; no=0)
param='CDUVB'         | Clear sky UV-B downward solar flux
param='C WAT'         | Cloud water
param='CLWMR'         | Cloud water mixing ratio
param='CWORK'         | Cloud workfunction
param='CAPE'          | Convective available potential energy
param='CIN'           | Convective inhibition
param='ACPCP'         | Convective precipitation
param='CPRAT'         | Convective precipitation rate
param='REFD'          | Derived radar reflectivity
param='DPT'           | Dewpoint temperature
param='DLWRF'         | Downward longwave radiation flux
param='DSWRF'         | Downward shortwave radiation flux
param='FLDCP'         | Field capacity
param='FRICV'         | Frictional velocity
param='HGT'           | Geopotential height
param='GRLE'          | Graupel
param='GFLUX'         | Ground heat flux
param='HINDEX'        | Haines index
param='H CDC'         | High cloud cover
param='ICAHT'         | ICAO standard atmosphere reference height
param='ICEC'          | Ice cover
param='ICEG'          | Ice growth rate
param='ICETMP'        | Ice temperature
param='ICETK'         | Ice thickness
param='ICMR'          | Ice water mixing ratio
param='ICSEV'         | Icing severity
param='LAND'          | Land cover (0=sea, 1=land)
param='LANDN'         | Land-sea coverage (nearest neighbor) [land=1, sea=0]
param='LHTFL'         | Latent heat flux
param='SOILL'         | Liquid volumetric soil moisture (non-frozen)
param='L CDC'         | Low cloud cover
param='MSLET'         | MSLP (Eta model reduction)
param='T MAX'         | Maximum temperature
param='REFC'          | Maximum/Composite radar reflectivity
param='M CDC'         | Medium cloud cover
param='V-GWD'         | Meridional flux of gravity wave stress
param='T MIN'         | Minimum temperature
param='U FLX'         | Momentum flux, u-component
param='V FLX'         | Momentum flux, v-component
param='O3MR'          | Ozone mixing ratio
param='CPOFP'         | Percent frozen precipitation
param='HPBL'          | Planetary boundary layer height
param='CNWAT'         | Plant canopy surface water
param='PEVPR'         | Potential evaporation rate
param='POT'           | Potential temperature
param='P WAT'         | Precipitable water
param='PRATE'         | Precipitation rate
param='PRES'          | Pressure
param='PLPL'          | Pressure of level from which parcel was lifted
param='PRMSL'         | Pressure reduced to MSL
param='RWMR'          | Rain water mixing ratio
param='R H'           | Relative humidity
param='SHTFL'         | Sensible heat flux
param='SNO D'         | Snow depth
param='SNMR'          | Snow water mixing ratio
param='TSOIL'         | Soil temperature
param='SOTYP'         | Soil type
param='SPF H'         | Specific humidity
param='HLCY'          | Storm relative helicity
param='SUNSD'         | Sunshine duration
param='LFT X'         | Surface lifted index
param='SFC R'         | Surface roughness
param='TMP'           | Temperature
param='T CDC'         | Total cloud cover
param='TOZNE'         | Total ozone
param='A PCP'         | Total precipitation
param='DUVB'          | UV-B downward solar flux
param='ULWRF'         | Upward longwave radiation flux
param='USWRF'         | Upward shortwave radiation flux
param='VEG'           | Vegetation
param='VRATE'         | Ventilation rate
param='VW SH'         | Vertical speed shear
param='DZDT'          | Vertical velocity (geometric)
param='V VEL'         | Vertical velocity (pressure)
param='VIS'           | Visibility
param='SOILW'         | Volumetric soil moisture content
param='WEASD'         | Water equivalent of accumulated snow depth
param='WATR'          | Water runoff
param='WILT'          | Wilting point
param='GUST'          | Wind speed (gust)
param='U-GWD'         | Zonal flux of gravity wave stress
param='USTM'          | u-component of storm motion
param='U GRD'         | u-component of wind
param='VSTM'          | v-component of storm motion
param='V GRD'         | v-component of wind
